Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,IAD,DEN,20580,31069,88
I01,F00-F01,IAD,SFO,20580,56471,15
I02,F01,DEN,SFO,49487,56471,113
I03,F02,DTW,ATL,20040,24351,52
I04,F03,ATL,DTW,47299,51610,96
I05,F04,DTW,BWI,84523,87475,96
I06,F05,MIA,BOS,20700,29826,125
I07,F05-F06,MIA,IAH,20700,53990,19
I08,F06,BOS,IAH,42439,53990,110
I09,F06-F07,BOS,ORD,42439,81391,16
I10,F07,IAH,ORD,74686,81391,112
I11,F07-F08,IAH,EWR,74686,90513,17
I12,F08,ORD,EWR,85320,90513,143
I13,F09,FLL,DFW,19800,27891,110
I14,F09-F10,FLL,IAD,19800,49553,19
I15,F10,DFW,IAD,41084,49553,110
I16,F10-F11,DFW,ORD,41084,57759,16
I17,F11,IAD,ORD,53507,57759,112
I18,F07-F12,IAH,IAD,74686,91285,15
I19,F12,ORD,IAD,87033,91285,145
I20,F13,DTW,DFW,20700,27837,100
I21,F09-F14,FLL,MSP,19800,59975,16
I22,F13-F14,DTW,MSP,20700,59975,15
I23,F14,DFW,MSP,53801,59975,76
I24,F14-F15,DFW,LAS,53801,89643,11
I25,F15,MSP,LAS,80252,89643,117
I26,F16,MIA,IAH,20880,27850,128
I27,F06-F17,BOS,MIA,42439,64714,15
I28,F17,IAH,MIA,57744,64714,100
I29,F18,ORD,EWR,20040,25233,96
I30,F19,EWR,ORD,55845,61038,75
I31,F11-F20,IAD,PHX,53507,91734,17
I32,F19-F20,EWR,PHX,55845,91734,11
I33,F20,ORD,PHX,81326,91734,68
I34,F21,PHL,MCO,20580,26826,125
I35,F21-F22,PHL,DCA,20580,56714,19
I36,F22,MCO,DCA,51206,56714,141
I37,F23,DCA,MCO,85645,91153,160
I38,F24,CLT,BOS,19800,25065,85
I39,F05-F25,MIA,DFW,20700,45694,16
I40,F24-F25,CLT,DFW,19800,45694,11
I41,F25,BOS,DFW,34404,45694,48
I42,F26,DFW,BOS,75398,86688,96
I43,F27,FLL,IAD,20820,27358,160
I44,F28,IAD,FLL,33413,39951,141
I45,F29,FLL,IAD,70139,76677,141
I46,F29-F30,FLL,DTW,70139,84379,19
I47,F30,IAD,DTW,81607,84379,141
I48,F31,DCA,ATL,19980,23940,52
I49,F02-F32,DTW,MSP,20040,34394,11
I50,F31-F32,DCA,MSP,19980,34394,11
I51,F32,ATL,MSP,27829,34394,66
I52,F32-F33,ATL,LGA,27829,64789,8
I53,F33,MSP,LGA,57418,64789,69
I54,F33-F34,MSP,ORD,57418,74346,10
I55,F34,LGA,ORD,69050,74346,76
I56,F11-F35,IAD,DFW,53507,84038,15
I57,F19-F35,EWR,DFW,55845,84038,10
I58,F34-F35,LGA,DFW,69050,84038,10
I59,F35,ORD,DFW,78233,84038,61
I60,F36,MSP,ATL,20880,27445,110
I61,F37,ATL,MSP,62300,68865,141
I62,F38,DFW,JFK,20940,30993,113
I63,F38-F39,DFW,TPA,20940,40529,15
I64,F39,JFK,TPA,33244,40529,113
I65,F40,TPA,LGA,72247,79573,128
I66,F41,ATL,IAD,20640,24505,160
I67,F42,IAD,ATL,27867,31732,141
I68,F02-F43,DTW,IAD,20040,45609,10
I69,F31-F43,DCA,IAD,19980,45609,10
I70,F36-F43,MSP,IAD,20880,45609,19
I71,F43,ATL,IAD,41744,45609,95
I72,F10-F44,DFW,DEN,41084,67743,15
I73,F43-F44,ATL,DEN,41744,67743,14
I74,F44,IAD,DEN,57254,67743,116
I75,F45,MDW,LAS,20580,31564,113
I76,F45-F46,MDW,DEN,20580,58238,15
I77,F46,LAS,DEN,53698,58238,88
I78,F46-F47,LAS,PHX,53698,72023,13
I79,F47,DEN,PHX,67667,72023,115
I80,F48,PHL,ATL,20580,25399,141
I81,F02-F49,DTW,PHL,20040,37684,9
I82,F31-F49,DCA,PHL,19980,37684,9
I83,F36-F49,MSP,PHL,20880,37684,16
I84,F49,ATL,PHL,32865,37684,111
I85,F49-F50,ATL,IAH,32865,73055,15
I86,F50,PHL,IAH,63475,73055,145
I87,F51,MSP,IAD,20400,26961,96
I88,F43-F52,ATL,DFW,41744,64899,12
I89,F52,IAD,DFW,56430,64899,66
I90,F25-F53,BOS,JFK,34404,83181,8
I91,F52-F53,IAD,JFK,56430,83181,10
I92,F53,DFW,JFK,73128,83181,78
I93,F54,BWI,DFW,20580,29373,128
I94,F09-F55,FLL,BWI,19800,64498,15
I95,F13-F55,DTW,BWI,20700,64498,13
I96,F25-F55,BOS,BWI,34404,64498,7
I97,F55,DFW,BWI,55705,64498,93
I98,F56,LGA,MIA,21000,28956,85
I99,F57,MIA,LGA,54304,62260,85
I100,F33-F58,MSP,DEN,57418,92020,9
I101,F57-F58,MIA,DEN,54304,92020,11
I102,F58,LGA,DEN,80325,92020,76
I103,F59,TPA,ATL,20280,23223,75
I104,F02-F60,DTW,LAS,20040,59897,7
I105,F31-F60,DCA,LAS,19980,59897,7
I106,F36-F60,MSP,LAS,20880,59897,15
I107,F42-F60,IAD,LAS,27867,59897,19
I108,F48-F60,PHL,LAS,20580,59897,19
I109,F59-F60,TPA,LAS,20280,59897,11
I110,F60,ATL,LAS,47279,59897,18
I111,F61,LAS,ATL,71218,83836,75
I112,F61-F62,LAS,DFW,71218,92309,11
I113,F62,ATL,DFW,87026,92309,85
I114,F63,TPA,DFW,20940,27654,96
I115,F25-F64,BOS,ATL,34404,65609,6
I116,F64,DFW,ATL,60326,65609,80
I117,F61-F65,LAS,DFW,71218,91089,10
I118,F65,ATL,DFW,85806,91089,86
I119,F66,LAS,MSP,20400,29791,85
I120,F66-F67,LAS,DEN,20400,39709,11
I121,F67,MSP,DEN,34795,39709,75
I122,F00-F68,IAD,MSP,20580,55644,13
I123,F68,DEN,MSP,50730,55644,74
I124,F14-F69,DFW,EWR,53801,84679,10
I125,F37-F69,ATL,EWR,62300,84679,19
I126,F68-F69,DEN,EWR,50730,84679,9
I127,F69,MSP,EWR,77398,84679,58
I128,F70,CLT,MCO,19860,23257,160
I129,F21-F71,PHL,CLT,20580,53374,16
I130,F71,MCO,CLT,49977,53374,144
I131,F72,CLT,MCO,65407,68804,160
I132,F73,DFW,MIA,20700,28809,113
I133,F56-F74,LGA,CLT,21000,36622,11
I134,F73-F74,DFW,CLT,20700,36622,15
I135,F74,MIA,CLT,31902,36622,90
I136,F75,CLT,MIA,43745,48465,113
I137,F17-F76,IAH,EWR,57744,77445,13
I138,F75-F76,CLT,EWR,43745,77445,15
I139,F76,MIA,EWR,69570,77445,88
I140,F76-F77,MIA,MDW,69570,87351,12
I141,F77,EWR,MDW,82217,87351,116
I142,F78,DTW,CLT,20340,23962,141
I143,F74-F79,MIA,EWR,31902,49590,12
I144,F78-F79,DTW,EWR,20340,49590,19
I145,F79,CLT,EWR,45765,49590,114
I146,F79-F80,CLT,DEN,45765,75578,15
I147,F80,EWR,DEN,63986,75578,128
I148,F81,SAN,DEN,19800,25969,96
I149,F00-F82,IAD,SAN,20580,57088,12
I150,F67-F82,MSP,SAN,34795,57088,10
I151,F82,DEN,SAN,50919,57088,74
I152,F83,SAN,DEN,72498,78667,85
I153,F44-F84,IAD,ORD,57254,88323,15
I154,F46-F84,LAS,ORD,53698,88323,12
I155,F80-F84,EWR,ORD,63986,88323,17
I156,F83-F84,SAN,ORD,72498,88323,11
I157,F84,DEN,ORD,81906,88323,41
I158,F85,IAH,SAN,20820,30238,113
I159,F85-F86,IAH,DFW,20820,60889,15
I160,F86,SAN,DFW,52429,60889,100
I161,F52-F87,IAD,FLL,56430,92612,8
I162,F86-F87,SAN,FLL,52429,92612,13
I163,F87,DFW,FLL,84521,92612,107
I164,F88,FLL,BWI,20160,26874,128
I165,F89,BWI,FLL,29005,35719,113
I166,F28-F90,IAD,IAH,33413,55382,19
I167,F89-F90,BWI,IAH,29005,55382,15
I168,F90,FLL,IAH,48403,55382,94
I169,F91,PHL,ATL,20340,25159,128
I170,F02-F92,DTW,PHL,20040,34047,7
I171,F31-F92,DCA,PHL,19980,34047,7
I172,F59-F92,TPA,PHL,20280,34047,10
I173,F92,ATL,PHL,29228,34047,104
I174,F93,PHL,ATL,65563,70382,128
I175,F64-F94,DFW,PHL,60326,84699,10
I176,F94,ATL,PHL,79880,84699,118
I177,F95,SLC,SFO,20040,24364,85
I178,F95-F96,SLC,ORD,20040,52196,11
I179,F96,SFO,ORD,38863,52196,85
I180,F97,ORD,SFO,55145,68478,96
