Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,4,JFK,DFW,19920.0,29973.0,0.0,0.0,05:32 -> 08:19
I01,I01,F01,F01,3,DFW,ATL,50745.0,56028.0,3600.0,184.4,14:05 -> 15:33
I02,I02,F02,F02,4,ATL,ORD,57828.0,62220.0,2631.0,179.6,16:03 -> 17:17
I03,I03,F03,F03,3,ORD,JFK,64019.99999999993,69360.99999999993,2558.9999999999272,131.0,17:46 -> 19:16
I04,I04,F04,F04,3,JFK,ATL,19800.0,25299.0,0.0,0.0,05:30 -> 07:01
I05,I05,F05,F05,4,ATL,JFK,34506.0,40005.0,0.0,0.0,09:35 -> 11:06
I06,I06,F06,F06,4,JFK,DFW,49386.0,59439.0,0.0,0.0,13:43 -> 16:30
I07,I07,F07,F07,4,DFW,JFK,69134.0,79187.0,0.0,0.0,19:12 -> 21:59
I08,I08,F08,F08,3,DFW,ORD,20820.0,26625.0,0.0,0.0,05:47 -> 07:23
I09,I09,F09,F09,4,ORD,ATL,49948.0,54340.0,0.0,0.0,13:52 -> 15:05
I10,I10,F01-F10,F01-F10,1,DFW,ORD,50745.0,91160.0,0.0,0.0,14:05 -> 01:19 (+1)
I11,I11,F04-F10,F04-F10,1,JFK,ORD,19800.0,91160.0,0.0,0.0,05:30 -> 01:19 (+1)
I12,I12,F10,F10,2,ATL,ORD,86768.0,91160.0,0.0,0.0,00:06 (+1) -> 01:19 (+1)
I13,I13,F11,F11,6,JFK,ORD,27060.0,32401.0,7200.0,737.4,07:31 -> 09:00
I14,I14,F08-F12,F08-F12,1,DFW,ATL,20820.0,45219.0,0.0,0.0,05:47 -> 12:33
I15,I15,F12,F12,4,ORD,ATL,40827.0,45219.0,0.0,0.0,11:20 -> 12:33
I16,I16,F12-F13,F12-F13,1,ORD,JFK,40827.0,55475.0,0.0,0.0,11:20 -> 15:24
I17,I17,F13,F13,5,ATL,JFK,49976.0,55475.0,0.0,0.0,13:52 -> 15:24
I18,I18,F03-F14,F03-F14,1,ORD,ATL,64019.99999999993,87834.0,0.0,0.0,17:46 -> 00:23 (+1)
I19,I19,F14,F14,5,JFK,ATL,82335.0,87834.0,0.0,0.0,22:52 -> 00:23 (+1)
