index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,ATL,20820.0,25212.0,4392.0,2591.9999998037288,976,6,4,05:47 -> 07:00,,0
1,T00,F01,C00,ATL,ORD,37535.0,41927.0,4392.0,2591.999999792645,976,6,4,10:25 -> 11:38,,0
2,T00,F02,C00,ORD,ATL,63902.0,68294.0,4392.0,2592.0,976,6,4,17:45 -> 18:58,,0
3,T00,F03,C00,ATL,ORD,74350.0,78742.0,4392.0,2592.0,976,6,4,20:39 -> 21:52,,0
4,T01,F04,C01,ORD,ATL,20040.0,24432.0,4392.0,2591.9999997982372,976,6,4,05:34 -> 06:47,,0
5,T01,F05,C01,ATL,ORD,42687.0,47079.0,4392.0,2591.9999998092394,976,6,4,11:51 -> 13:04,,0
6,T01,F06,C01,ORD,LAX,69311.0,81920.0,12609.0,10808.999997652147,2802,6,0,19:15 -> 22:45,01:00,1
7,T02,F07,C02,LAX,ORD,35280.0,47889.0,12609.0,10808.999994617097,2802,8,6,09:48 -> 13:18,04:00,1
8,T02,F08,C02,ORD,LAX,55072.0,67681.0,12609.0,10808.99999831047,2802,8,8,15:17 -> 18:48,00:04,2
9,T03,F09,C03,ORD,LAX,20460.0,33069.0,12609.0,10809.000002948189,2802,8,6,05:41 -> 09:11,,0
10,T03,F10,C03,LAX,ORD,40027.0,52636.0,12609.0,10808.999995736927,2802,8,6,11:07 -> 14:37,,0
11,T03,F11,C04,ORD,LAX,65872.0,78481.0,12609.0,10808.999995433598,2802,8,8,18:17 -> 21:48,03:00,1
