Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ORD,ATL,20820,25212,4392,6,4,05:47 -> 07:00,,0
T00,F01,C00,ATL,ORD,37535,41927,4392,6,4,10:25 -> 11:38,,0
T00,F02,C00,ORD,ATL,63902,68294,4392,6,4,17:45 -> 18:58,,0
T00,F03,C00,ATL,ORD,74350,78742,4392,6,4,20:39 -> 21:52,,0
T01,F04,C01,ORD,ATL,20040,24432,4392,6,4,05:34 -> 06:47,,0
T01,F05,C01,ATL,ORD,42687,47079,4392,6,4,11:51 -> 13:04,,0
T01,F06,C01,ORD,LAX,69311,81920,12609,6,0,19:15 -> 22:45,01:00,1
T02,F07,C02,LAX,ORD,35280,47889,12609,8,6,09:48 -> 13:18,04:00,1
T02,F08,C02,ORD,LAX,55072,67681,12609,8,8,15:17 -> 18:48,00:04,2
T03,F09,C03,ORD,LAX,20460,33069,12609,8,6,05:41 -> 09:11,,0
T03,F10,C03,LAX,ORD,40027,52636,12609,8,6,11:07 -> 14:37,,0
T03,F11,C04,ORD,LAX,65872,78481,12609,8,8,18:17 -> 21:48,03:00,1
