Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ORD,ATL,20820,25212,4392,6,4,05:47 -> 07:00,,0
T00,F01,C00,ATL,ORD,37535,41927,4392,6,4,10:25 -> 11:38,,0
T00,F02,C00,ORD,ATL,71102,75494,4392,6,4,19:45 -> 20:58,02:00,1
T00,F03,C00,ATL,ORD,77294,81686,4392,6,4,21:28 -> 22:41,00:49,2
T01,F04,C01,ORD,ATL,20040,24432,4392,6,4,05:34 -> 06:47,,0
T01,F05,C01,ATL,ORD,42687,47079,4392,6,4,11:51 -> 13:04,,0
T01,F11,C01,ORD,LAX,55072,67681,12609,6,6,15:17 -> 18:48,,0
T02,F07,C02,LAX,ORD,20880,33489,12609,8,6,05:48 -> 09:18,,0
T02,F08,C02,ORD,LAX,54799,67408,12609,8,6,15:13 -> 18:43,,0
T03,F09,C03,ORD,LAX,20460,33069,12609,8,6,05:41 -> 09:11,,0
T03,F10,C03,LAX,ORD,47227,59836,12609,8,6,13:07 -> 16:37,02:00,1
T03,F06,C04,ORD,LAX,76511,89120,12609,8,4,21:15 -> 00:45 (+1),03:00,1
