index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,ATL,20820.0,25212.0,4392.0,2591.9999993641186,976,6,4,05:47 -> 07:00,,0
1,T00,F01,C00,ATL,ORD,37535.0,41927.0,4392.0,2591.999998578132,976,6,4,10:25 -> 11:38,,0
2,T00,F02,C00,ORD,ATL,71102.0,75494.0,4392.0,2591.9999991517834,976,6,4,19:45 -> 20:58,02:00,1
3,T00,F03,C00,ATL,ORD,77293.99999999996,81685.99999999996,4392.0,2591.999999229438,976,6,4,21:28 -> 22:41,00:49,2
4,T01,F04,C01,ORD,ATL,20040.0,24432.0,4392.0,2591.999999694355,976,6,4,05:34 -> 06:47,,0
5,T01,F05,C01,ATL,ORD,42687.0,47079.0,4392.0,2591.99999934935,976,6,4,11:51 -> 13:04,,0
6,T01,F11,C04,ORD,LAX,55072.0,67681.0,12609.0,10809.000005249427,2802,6,6,15:17 -> 18:48,,0
7,T02,F07,C02,LAX,ORD,20880.0,33489.0,12609.0,10808.99999064756,2802,8,6,05:48 -> 09:18,,0
8,T02,F08,C02,ORD,LAX,54799.0,67408.0,12609.0,10809.000003310606,2802,8,7,15:13 -> 18:43,,0
9,T03,F09,C03,ORD,LAX,20460.0,33069.0,12609.0,10808.999992614798,2802,8,6,05:41 -> 09:11,,0
10,T03,F10,C03,LAX,ORD,47227.0,59836.0,12609.0,10808.999994580596,2802,8,6,13:07 -> 16:37,02:00,1
11,T03,F06,C01,ORD,LAX,76511.0,89120.0,12609.0,10809.000006250977,2802,8,3,21:15 -> 00:45 (+1),03:00,1
