Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,MCO,LGA,19860,26745,113
I01,F00-F01,MCO,IAH,19860,52639,15
I02,F01,LGA,IAH,42393,52639,100
I03,F01-F02,LGA,JFK,42393,80984,13
I04,F02,IAH,JFK,70738,80984,115
I05,F03,LGA,ATL,20280,25788,66
I06,F03-F04,LGA,ORD,20280,56096,11
I07,F04,ATL,ORD,51704,56096,75
I08,F05,ORD,ATL,61273,65665,85
I09,F06,MCO,ATL,20400,23325,100
I10,F07,ATL,DEN,58182,66849,100
I11,F07-F08,ATL,SFO,58182,84541,15
I12,F08,DEN,SFO,77557,84541,113
I13,F09,ATL,DEN,20940,29607,160
I14,F10,DEN,ATL,39748,48415,110
I15,F10-F11,DEN,ORD,39748,61141,19
I16,F11,ATL,ORD,56749,61141,125
I17,F12,MIA,JFK,20760,28666,96
I18,F13,JFK,MIA,40775,48681,66
I19,F13-F14,JFK,EWR,40775,62624,11
I20,F14,MIA,EWR,54749,62624,66
I21,F14-F15,MIA,IAH,54749,81498,10
I22,F15,EWR,IAH,71373,81498,86
I23,F16,MIA,ATL,20880,25195,113
I24,F10-F17,DEN,MIA,39748,59404,16
I25,F17,ATL,MIA,55089,59404,112
I26,F18,ORD,LAX,20040,32649,85
I27,F19,LAX,SEA,63261,70173,96
I28,F20,DTW,MSP,20220,24036,113
I29,F20-F21,DTW,ATL,20220,52572,15
I30,F21,MSP,ATL,46007,52572,100
I31,F05-F22,ORD,MCO,61273,72706,11
I32,F10-F22,DEN,MCO,39748,72706,15
I33,F21-F22,MSP,MCO,46007,72706,13
I34,F22,ATL,MCO,69781,72706,89
I35,F23,DFW,LAX,20700,29623,160
I36,F18-F24,ORD,DFW,20040,46856,11
I37,F24,LAX,DFW,37933,46856,117
I38,F25,DFW,LAX,57925,66848,141
I39,F25-F26,DFW,DEN,57925,80710,19
I40,F26,LAX,DEN,74478,80710,141
I41,F27,BOS,MIA,20940,30066,125
I42,F13-F28,JFK,DEN,40775,65948,10
I43,F27-F28,BOS,DEN,20940,65948,19
I44,F28,MIA,DEN,53582,65948,116
I45,F07-F29,ATL,MCO,58182,92314,13
I46,F28-F29,MIA,MCO,53582,92314,15
I47,F29,DEN,MCO,81127,92314,132
I48,F30,DFW,EWR,20700,30618,96
I49,F14-F31,MIA,DFW,54749,74380,9
I50,F31,EWR,DFW,64462,74380,87
I51,F32,ORD,ATL,20220,24612,113
I52,F03-F33,LGA,ORD,20280,45717,10
I53,F06-F33,MCO,ORD,20400,45717,15
I54,F16-F33,MIA,ORD,20880,45717,15
I55,F33,ATL,ORD,41325,45717,78
I56,F04-F34,ATL,MIA,51704,72177,10
I57,F11-F34,ATL,MIA,56749,72177,16
I58,F33-F34,ATL,MIA,41325,72177,10
I59,F34,ORD,MIA,63492,72177,92
I60,F35,MSP,DFW,20880,27054,160
I61,F24-F36,LAX,MSP,37933,68083,17
I62,F36,DFW,MSP,61909,68083,143
I63,F37,DFW,SEA,20940,32946,100
I64,F37-F38,DFW,PHX,20940,43211,15
I65,F38,SEA,PHX,35197,43211,113
I66,F39,PHX,IAH,74929,82219,128
I67,F40,ATL,MIA,20640,24955,160
I68,F41,MIA,ATL,28317,32632,160
I69,F03-F42,LGA,MIA,20280,46959,9
I70,F06-F42,MCO,MIA,20400,46959,13
I71,F32-F42,ORD,MIA,20220,46959,15
I72,F42,ATL,MIA,42644,46959,109
I73,F13-F43,JFK,CLT,40775,63324,9
I74,F27-F43,BOS,CLT,20940,63324,16
I75,F42-F43,ATL,CLT,42644,63324,14
I76,F43,MIA,CLT,58604,63324,107
I77,F43-F44,MIA,ORD,58604,91136,14
I78,F44,CLT,ORD,86798,91136,146
I79,F45,LGA,DTW,20160,23782,85
I80,F45-F46,LGA,BOS,20160,37774,11
I81,F46,DTW,BOS,33211,37774,75
I82,F46-F47,DTW,MIA,33211,71743,10
I83,F47,BOS,MIA,62617,71743,86
I84,F48,LAX,IAH,20100,30067,125
I85,F48-F49,LAX,PHL,20100,46839,19
I86,F49,IAH,PHL,37259,46839,125
I87,F49-F50,IAH,CLT,37259,71083,16
I88,F50,PHL,CLT,67839,71083,144
I89,F51,SFO,PHX,20820,25527,113
I90,F51-F52,SFO,SEA,20820,38195,15
I91,F52,PHX,SEA,30181,38195,88
I92,F52-F53,PHX,DFW,30181,65743,13
I93,F53,SEA,DFW,53737,65743,102
I94,F24-F54,LAX,JFK,37933,84898,15
I95,F53-F54,SEA,JFK,53737,84898,13
I96,F54,DFW,JFK,74845,84898,100
I97,F55,LGA,IAH,21000,31246,96
I98,F48-F56,LAX,LGA,20100,66840,16
I99,F56,IAH,LGA,56594,66840,71
I100,F56-F57,IAH,MCO,56594,91790,9
I101,F57,LGA,MCO,84905,91790,87
I102,F58,LAS,SEA,20040,26317,96
I103,F37-F59,DFW,LAS,20940,56450,13
I104,F52-F59,PHX,LAS,30181,56450,12
I105,F59,SEA,LAS,50173,56450,63
I106,F59-F60,SEA,ORD,50173,74470,8
I107,F60,LAS,ORD,63531,74470,88
