Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,SEA,DFW,20580,32586,12006,10206,2668,160,128,05:43 -> 09:03
T00,F01,C00,DFW,SEA,51004,63010,12006,10206,2668,160,128,14:10 -> 17:30
T01,F02,C01,LAS,ORD,20040,30979,10939,9139,2431,120,96,05:34 -> 08:36
T01,F03,C01,ORD,LAS,53927,64866,10939,9139,2431,120,96,14:58 -> 18:01
T02,F04,C02,JFK,ORD,19980,25321,5341,3541,1187,120,96,05:33 -> 07:02
T02,F05,C02,ORD,DEN,50513,56930,6417,4617,1426,120,96,14:01 -> 15:48
T03,F06,C03,JFK,DEN,19860,31600,11740,9940,2609,200,160,05:31 -> 08:46
T03,F07,C03,DEN,LAX,33880,40112,6232,4432,1385,200,160,09:24 -> 11:08
T03,F08,C04,LAX,DEN,64762,70994,6232,4432,1385,200,160,17:59 -> 19:43
T04,F09,C05,IAH,ORD,19920,26625,6705,4905,1490,160,128,05:32 -> 07:23
T04,F10,C05,ORD,ATL,36585,40977,4392,2592,976,160,128,10:09 -> 11:22
T04,F11,C05,ATL,PHX,60148,71618,11470,9670,2549,160,128,16:42 -> 19:53
T05,F12,C06,DFW,MIA,20940,29049,8109,6309,1802,200,160,05:49 -> 08:04
T05,F13,C06,MIA,CLT,33982,38702,4720,2920,1049,200,160,09:26 -> 10:45
T05,F14,C06,CLT,DEN,46790,56456,9666,7866,2148,200,160,12:59 -> 15:40
T05,F15,C02,DEN,DFW,60618,65262,4644,2844,1032,200,160,16:50 -> 18:07
T06,F16,C07,JFK,ORD,20760,26101,5341,3541,1187,200,160,05:46 -> 07:15
T06,F17,C07,ORD,LAX,58511,71120,12609,10809,2802,200,160,16:15 -> 19:45
T07,F18,C08,LAX,DEN,20700,26932,6232,4432,1385,200,160,05:45 -> 07:28
T07,F19,C08,DEN,LAX,35242,41474,6232,4432,1385,200,160,09:47 -> 11:31
T07,F20,C03,LAX,DEN,67396,73628,6232,4432,1385,200,160,18:43 -> 20:27
T08,F21,C09,IAH,ORD,20220,26925,6705,4905,1490,120,96,05:37 -> 07:28
T08,F22,C09,ORD,ATL,59847,64239,4392,2592,976,120,96,16:37 -> 17:50
T08,F23,C09,ATL,IAH,78697,83678,4981,3181,1107,120,96,21:51 -> 23:14
T09,F24,C10,MIA,IAH,19800,26770,6970,5170,1549,120,96,05:30 -> 07:26
T09,F25,C10,IAH,MIA,57157,64127,6970,5170,1549,120,96,15:52 -> 17:48
T09,F26,C10,MIA,ATL,68388,72703,4315,2515,959,120,96,18:59 -> 20:11
T10,F27,C11,DEN,SFO,20700,27684,6984,5184,1552,160,128,05:45 -> 07:41
T10,F28,C11,SFO,DEN,35278,42262,6984,5184,1552,160,128,09:47 -> 11:44
T10,F29,C11,DEN,SEA,46047,53449,7402,5602,1645,160,128,12:47 -> 14:50
T10,F30,C00,SEA,DEN,70376,77778,7402,5602,1645,160,128,19:32 -> 21:36
T11,F31,C12,MIA,IAH,20460,27430,6970,5170,1549,160,128,05:41 -> 07:37
T11,F32,C12,IAH,LAX,34476,44443,9967,8167,2215,160,128,09:34 -> 12:20
T11,F33,C08,LAX,IAH,64858,74825,9967,8167,2215,160,128,18:00 -> 20:47
T12,F34,C13,PHX,ATL,20040,31510,11470,9670,2549,200,160,05:34 -> 08:45
T12,F35,C13,ATL,IAH,47483,52464,4981,3181,1107,200,160,13:11 -> 14:34
T12,F36,C14,IAH,PHX,62452,69742,7290,5490,1620,200,160,17:20 -> 19:22
T13,F37,C15,ORD,ATL,20640,25032,4392,2592,976,120,96,05:44 -> 06:57
T13,F38,C15,ATL,DFW,42097,47380,5283,3483,1174,120,96,11:41 -> 13:09
T13,F39,C15,DFW,SEA,50510,62516,12006,10206,2668,120,96,14:01 -> 17:21
T14,F40,C16,MIA,DFW,19920,28029,8109,6309,1802,200,160,05:32 -> 07:47
T14,F41,C16,DFW,LAX,30332,39255,8923,7123,1983,200,160,08:25 -> 10:54
T14,F42,C17,LAX,ORD,41543,54152,12609,10809,2802,200,160,11:32 -> 15:02
T14,F43,C17,ORD,LAX,76884,89493,12609,10809,2802,200,160,21:21 -> 00:51 (+1)
T15,F44,C18,JFK,IAH,20640,30886,10246,8446,2277,120,96,05:44 -> 08:34
T15,F45,C18,IAH,DEN,41457,47698,6241,4441,1387,120,96,11:30 -> 13:14
T15,F46,C03,DEN,IAH,78610,84851,6241,4441,1387,120,96,21:50 -> 23:34
T16,F47,C19,DEN,LAX,20820,27052,6232,4432,1385,160,128,05:47 -> 07:30
T16,F48,C19,LAX,DEN,38805,45037,6232,4432,1385,160,128,10:46 -> 12:30
T16,F49,C18,DEN,LAX,56117,62349,6232,4432,1385,160,128,15:35 -> 17:19
T16,F50,C07,LAX,DEN,73370,79602,6232,4432,1385,160,128,20:22 -> 22:06
T17,F51,C20,IAH,DEN,19920,26161,6241,4441,1387,200,160,05:32 -> 07:16
T17,F52,C20,DEN,IAH,38194,44435,6241,4441,1387,200,160,10:36 -> 12:20
T17,F53,C13,IAH,DEN,57763,64004,6241,4441,1387,200,160,16:02 -> 17:46
T17,F54,C04,DEN,DFW,77263,81907,4644,2844,1032,200,160,21:27 -> 22:45
T18,F55,C21,DEN,LAS,20220,24760,4540,2740,1009,120,96,05:37 -> 06:52
T18,F56,C21,LAS,SEA,53136,59413,6277,4477,1395,120,96,14:45 -> 16:30
T19,F57,C22,SEA,ORD,20160,32584,12424,10624,2761,160,128,05:36 -> 09:03
T19,F58,C22,ORD,SEA,41471,53895,12424,10624,2761,160,128,11:31 -> 14:58
T19,F59,C11,SEA,DFW,60870,72876,12006,10206,2668,160,128,16:54 -> 20:14
T20,F60,C23,CLT,ORD,20700,25038,4338,2538,964,160,128,05:45 -> 06:57
T20,F61,C23,ORD,IAH,45402,52107,6705,4905,1490,160,128,12:36 -> 14:28
