Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,SEA,DFW,20580,32586,11
I01,F01,DFW,SEA,51004,63010,51
I02,F02,LAS,ORD,20040,30979,2
I03,F03,ORD,LAS,53927,64866,96
I04,F04,JFK,ORD,19980,25321,5
I05,F05,ORD,DEN,50513,56930,34
I06,F06,JFK,DEN,19860,31600,3
I07,F07,DEN,LAX,33880,40112,78
I08,F08,LAX,DEN,64762,70994,160
I09,F09,IAH,ORD,19920,26625,3
I10,F10,ORD,ATL,36585,40977,16
I11,F11,ATL,PHX,60148,71618,128
I12,F12,DFW,MIA,20940,29049,160
I13,F13,MIA,CLT,33982,38702,33
I14,F13-F14,MIA,DEN,33982,56456,39
I15,F14,CLT,DEN,46790,56456,25
I16,F15,DEN,DFW,60618,65262,55
I17,F16,JFK,ORD,20760,26101,3
I18,F16-F17,JFK,LAX,20760,71120,46
I19,F17,ORD,LAX,58511,71120,46
I20,F18,LAX,DEN,20700,26932,11
I21,F19,DEN,LAX,35242,41474,96
I22,F20,LAX,DEN,67396,73628,99
I23,F21,IAH,ORD,20220,26925,3
I24,F22,ORD,ATL,59847,64239,34
I25,F22-F23,ORD,IAH,59847,83678,32
I26,F23,ATL,IAH,78697,83678,64
I27,F24,MIA,IAH,19800,26770,25
I28,F25,IAH,MIA,57157,64127,33
I29,F26,MIA,ATL,68388,72703,96
I30,F27,DEN,SFO,20700,27684,128
I31,F28,SFO,DEN,35278,42262,2
I32,F29,DEN,SEA,46047,53449,128
I33,F30,SEA,DEN,70376,77778,128
I34,F31,MIA,IAH,20460,27430,128
I35,F32,IAH,LAX,34476,44443,20
I36,F33,LAX,IAH,64858,74825,128
I37,F34,PHX,ATL,20040,31510,26
I38,F35,ATL,IAH,47483,52464,64
I39,F24-F36,MIA,PHX,19800,69742,39
I40,F36,IAH,PHX,62452,69742,71
I41,F37,ORD,ATL,20640,25032,4
I42,F38,ATL,DFW,42097,47380,7
I43,F39,DFW,SEA,50510,62516,96
I44,F40,MIA,DFW,19920,28029,31
I45,F41,DFW,LAX,30332,39255,63
I46,F42,LAX,ORD,41543,54152,4
I47,F43,ORD,LAX,76884,89493,160
I48,F44,JFK,IAH,20640,30886,60
I49,F45,IAH,DEN,41457,47698,13
I50,F28-F46,SFO,IAH,35278,84851,53
I51,F46,DEN,IAH,78610,84851,43
I52,F47,DEN,LAX,20820,27052,22
I53,F48,LAX,DEN,38805,45037,5
I54,F49,DEN,LAX,56117,62349,128
I55,F32-F50,IAH,DEN,34476,79602,41
I56,F50,LAX,DEN,73370,79602,52
I57,F51,IAH,DEN,19920,26161,4
I58,F52,DEN,IAH,38194,44435,64
I59,F53,IAH,DEN,57763,64004,27
I60,F13-F14-F54,MIA,DFW,33982,81907,17
I61,F53-F54,IAH,DFW,57763,81907,73
I62,F54,DEN,DFW,77263,81907,70
I63,F55,DEN,LAS,20220,24760,29
I64,F56,LAS,SEA,53136,59413,36
I65,F57,SEA,ORD,20160,32584,3
I66,F02-F58,LAS,SEA,20040,53895,20
I67,F58,ORD,SEA,41471,53895,34
I68,F59,SEA,DFW,60870,72876,22
I69,F60,CLT,ORD,20700,25038,4
I70,F61,ORD,IAH,45402,52107,128
I71,F62,PHX,DFW,20340,26608,6
I72,F40-F63,MIA,PHX,19920,36945,49
I73,F63,DFW,PHX,30677,36945,25
I74,F64,PHX,DFW,46443,52711,49
I75,F62-F65,PHX,LAS,20340,62656,51
I76,F64-F65,PHX,LAS,46443,62656,51
I77,F65,DFW,LAS,55033,62656,10
I78,F66,LAX,DEN,20580,26812,13
I79,F51-F67,IAH,SEA,19920,54325,73
I80,F67,DEN,SEA,46923,54325,38
I81,F68,SEA,DEN,56133,63535,160
I82,F69,DEN,MIA,67579,79945,160
I83,F70,IAH,PHX,20040,27330,66
I84,F71,PHX,SFO,30333,35040,27
I85,F72,SFO,PHX,63452,68159,160
I86,F73,PHX,DFW,74497,80765,160
I87,F00-F74,SEA,ORD,20580,90427,55
I88,F15-F74,DEN,ORD,60618,90427,70
I89,F74,DFW,ORD,84622,90427,35
I90,F75,CLT,DEN,20460,30126,2
I91,F06-F76,JFK,ORD,19860,39869,55
I92,F76,DEN,ORD,33452,39869,2
I93,F57-F77,SEA,ATL,20160,74084,35
I94,F77,ORD,ATL,69692,74084,22
I95,F78,SFO,DEN,20580,27564,74
I96,F28-F79,SFO,DFW,35278,66916,18
I97,F48-F79,LAX,DFW,38805,66916,43
I98,F75-F79,CLT,DFW,20460,66916,31
I99,F79,DEN,DFW,62272,66916,7
I100,F38-F80,ATL,DEN,42097,85984,32
I101,F62-F80,PHX,DEN,20340,85984,25
I102,F64-F80,PHX,DEN,46443,85984,28
I103,F80,DFW,DEN,81340,85984,43
I104,F81,MIA,DEN,20400,32766,16
I105,F06-F82,JFK,DFW,19860,42718,40
I106,F82,DEN,DFW,38074,42718,35
I107,F83,DFW,DEN,46099,50743,18
I108,F48-F84,LAX,JFK,38805,78654,26
I109,F83-F84,DFW,JFK,46099,78654,73
I110,F84,DEN,JFK,66914,78654,61
I111,F85,CLT,DFW,20520,27283,6
I112,F86,DFW,LAS,35059,42682,103
I113,F87,LAS,DFW,70304,77927,92
I114,F88,SEA,DEN,21000,28402,16
I115,F18-F89,LAX,DFW,20700,49353,46
I116,F89,DEN,DFW,44709,49353,31
I117,F38-F90,ATL,LAX,42097,90533,27
I118,F79-F90,DEN,LAX,62272,90533,9
I119,F85-F90,CLT,LAX,20520,90533,57
I120,F90,DFW,LAX,81610,90533,3
I121,F91,LAS,IAH,20520,29349,62
I122,F92,IAH,ORD,40677,47382,14
I123,F57-F93,SEA,SFO,20160,78518,25
I124,F76-F93,DEN,SFO,33452,78518,6
I125,F93,ORD,SFO,65185,78518,129
I126,F94,MIA,ORD,19920,28605,2
I127,F09-F95,IAH,MIA,19920,61970,60
I128,F95,ORD,MIA,53285,61970,36
I129,F25-F96,IAH,ORD,57157,83747,37
I130,F96,MIA,ORD,75062,83747,59
I131,F97,DFW,SEA,20100,32106,30
I132,F98,SEA,ORD,47205,59629,96
I133,F99,ORD,JFK,68138,73479,96
I134,F100,SFO,ORD,20640,33973,32
I135,F101,ORD,MIA,58537,67222,128
I136,F102,MIA,ORD,83650,92335,128
I137,F103,SEA,PHX,20400,28414,62
I138,F104,PHX,SEA,41333,49347,37
I139,F105,SEA,PHX,69085,77099,96
I140,F106,CLT,ORD,20640,24978,3
I141,F21-F107,IAH,DEN,20220,66673,37
I142,F107,ORD,DEN,60256,66673,63
I143,F108,DEN,SFO,72853,79837,128
I144,F109,SFO,LAS,19860,22848,49
I145,F110,LAS,SEA,28691,34968,85
I146,F111,SEA,LAS,59360,65637,109
I147,F112,LAS,SEA,77246,83523,160
I148,F113,SEA,LAX,20700,27612,12
I149,F114,LAX,ORD,36712,49321,9
I150,F94-F115,MIA,LAX,19920,83943,38
I151,F115,ORD,LAX,71334,83943,58
I152,F116,SFO,SEA,19860,24778,128
I153,F97-F117,DFW,SFO,20100,57045,41
I154,F117,SEA,SFO,52127,57045,36
I155,F118,SFO,SEA,70615,75533,42
I156,F118-F119,SFO,ORD,70615,91746,49
I157,F119,SEA,ORD,79322,91746,79
