index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,IAD,FLL,20580.0,27118.0,6538.0,4737.99999912781,1453,160,128,05:43 -> 07:31,,0
1,T00,F01,C00,FLL,LGA,45535.99999999997,53338.99999999997,7803.0,6002.999998411808,1734,160,128,12:38 -> 14:48,,0
2,T00,F02,C00,LGA,FLL,85633.0,93436.0,7803.0,6002.999998822804,1734,160,128,23:47 -> 01:57 (+1),,0
3,T01,F03,C01,LGA,MCO,20280.0,27165.0,6885.0,5084.999999048117,1530,120,96,05:38 -> 07:32,,0
4,T01,F04,C01,MCO,ORD,53081.0,60371.0,7290.0,5489.9999928055595,1620,120,96,14:44 -> 16:46,,0
5,T01,F05,C01,ORD,LGA,64692.0,69988.0,5296.0,3495.9999985754894,1177,120,96,17:58 -> 19:26,,0
6,T01,F06,C02,LGA,ATL,83886.99999999996,89394.99999999996,5508.0,3707.999998731039,1224,120,96,23:18 -> 00:49 (+1),,0
7,T02,F07,C03,DAL,LAX,19800.0,28804.0,9004.0,7203.999998490304,2001,200,160,05:30 -> 08:00,,0
8,T02,F08,C03,LAX,DFW,66466.83998140226,75389.83998140226,8923.0,7122.99999711444,1983,200,160,18:27 -> 20:56,03:12,1
9,T03,F09,C04,TPA,DAL,19920.0,26553.0,6633.0,4832.999998340261,1474,200,160,05:32 -> 07:22,,0
10,T03,F10,C04,DAL,ORD,36513.0,42295.0,5782.0,3981.999998430263,1285,200,160,10:08 -> 11:44,,0
11,T03,F11,C04,ORD,DFW,46846.0,52651.0,5805.0,4004.99999789745,1290,200,160,13:00 -> 14:37,,0
12,T03,F12,C03,DFW,DEN,77189.83998140226,81833.83998140226,4644.0,2843.999999539872,1032,200,160,21:26 -> 22:43,01:04,2
13,T04,F13,C05,MIA,JFK,20880.0,28786.0,7906.0,6105.999998749238,1757,160,160,05:48 -> 07:59,,0
14,T04,F14,C05,JFK,MIA,58680.0,66586.0,7906.0,6105.999998122415,1757,160,128,16:18 -> 18:29,,0
15,T05,F15,C06,ORD,ATL,20040.0,24432.0,4392.0,2591.9999986735893,976,120,96,05:34 -> 06:47,,0
16,T05,F59,C06,ATL,ORD,60490.0,64882.0,4392.0,2591.999997328686,976,120,120,16:48 -> 18:01,,0
17,T05,F17,C06,ORD,DAL,79724.0,85506.0,5782.0,3981.9999992985713,1285,120,96,22:08 -> 23:45,,0
18,T06,F18,C07,PHL,DFW,20280.0,29694.0,9414.0,7613.999996172825,2092,160,128,05:38 -> 08:14,,0
19,T06,F19,C04,DFW,LAX,65565.99999999996,74488.99999999996,8923.0,7122.999996389322,1983,160,128,18:12 -> 20:41,,0
20,T07,F20,C08,LAS,ORD,19980.0,30919.0,10939.0,9138.999997845096,2431,200,160,05:33 -> 08:35,,0
21,T07,F21,C08,ORD,MCO,38549.0,45839.0,7290.0,5489.999997685001,1620,200,160,10:42 -> 12:43,,0
22,T07,F22,C09,MCO,ORD,76891.0,84181.0,7290.0,5489.999998154681,1620,200,160,21:21 -> 23:23,,0
23,T08,F23,C10,ATL,IAH,25683.0,30664.0,4981.0,3180.999987074501,1107,120,120,07:08 -> 08:31,01:35,2
24,T08,F24,C10,IAH,CLT,46458.0,53055.0,6597.0,4796.9999849657,1466,120,120,12:54 -> 14:44,,0
25,T08,F25,C10,CLT,MDW,55593.99999999996,59823.99999999996,4230.0,2429.9999991172785,940,120,96,15:26 -> 16:37,,0
26,T09,F26,C11,LGA,DFW,19980.0,30019.0,10039.0,8238.999998169673,2231,160,128,05:33 -> 08:20,,0
27,T09,F27,C07,DFW,IAD,34280.0,42749.0,8469.0,6668.999998646215,1882,160,128,09:31 -> 11:52,,0
28,T09,F28,C12,IAD,MIA,64948.0,71635.0,6687.0,4886.999999111086,1486,160,128,18:02 -> 19:53,,0
29,T10,F29,C13,DEN,IAD,20160.0,30649.0,10489.0,8688.999998027852,2331,200,160,05:36 -> 08:30,,0
30,T10,F30,C07,IAD,MIA,55575.0,62262.0,6687.0,4886.999999249976,1486,200,160,15:26 -> 17:17,,0
31,T10,F31,C05,MIA,IAD,79189.0,85876.0,6687.0,4886.99999909633,1486,200,160,21:59 -> 23:51,,0
32,T11,F32,C14,FLL,MDW,20460.0,28920.0,8460.0,6659.9999986519515,1880,160,128,05:41 -> 08:02,,0
33,T11,F33,C14,MDW,ATL,35966.0,40245.0,4279.0,2478.9999995390735,951,160,128,09:59 -> 11:10,,0
34,T11,F37,C15,ATL,JFK,68396.0,73895.0,5499.0,3698.9999984661217,1222,160,160,18:59 -> 20:31,,0
35,T12,F35,C15,TPA,JFK,33327.515079419296,40612.515079419296,7285.0,5484.999997615208,1619,200,112,09:15 -> 11:16,03:26,1
36,T12,F36,C15,JFK,ATL,55623.0,61122.0,5499.0,3698.999997406565,1222,200,160,15:27 -> 16:58,,0
37,T12,F34,C14,ATL,JFK,67319.0,72818.0,5499.0,3698.9999984676033,1222,200,128,18:41 -> 20:13,,0
38,T13,F38,C16,PHL,DFW,20580.0,29994.0,9414.0,7613.999996170812,2092,200,160,05:43 -> 08:19,,0
39,T13,F39,C11,DFW,PHL,37460.0,46874.0,9414.0,7613.999988623512,2092,200,160,10:24 -> 13:01,,0
40,T13,F40,C17,PHL,FLL,63939.0,71139.0,7200.0,5399.9999989732405,1600,200,160,17:45 -> 19:45,,0
41,T13,F41,C17,FLL,PHL,72941.0,80141.0,7200.0,5399.999998974223,1600,200,160,20:15 -> 22:15,,0
42,T14,F42,C18,SFO,MSP,20820.0,32299.0,11479.0,9678.999997623576,2551,160,128,05:47 -> 08:58,,0
43,T14,F43,C18,MSP,DFW,36953.0,43127.0,6174.0,4373.9999948094855,1372,160,128,10:15 -> 11:58,,0
44,T14,F44,C16,DFW,ATL,68132.0,73415.0,5283.0,3482.999998335074,1174,160,128,18:55 -> 20:23,,0
45,T15,F45,C19,DFW,SLC,30509.945063894316,37659.945063894316,7150.0,5349.999995024082,1589,120,96,08:28 -> 10:27,02:43,1
46,T15,F46,C19,SLC,DFW,39459.945063894265,46609.945063894265,7150.0,5349.999995028172,1589,120,96,10:57 -> 12:56,01:57,2
47,T15,F47,C18,DFW,DCA,56873.0,65486.0,8613.0,6812.999998601581,1914,120,96,15:47 -> 18:11,,0
48,T16,F48,C20,DAL,DEN,19860.0,24571.0,4711.0,2910.9999995282665,1047,200,160,05:31 -> 06:49,,0
49,T16,F49,C20,DEN,SEA,47150.0,54552.0,7402.0,5601.999998923162,1645,200,160,13:05 -> 15:09,,0
50,T16,F50,C20,SEA,ORD,71244.0,83668.0,12424.0,10623.999997229128,2761,200,160,19:47 -> 23:14,,0
51,T17,F51,C21,MIA,CLT,34795.950661611874,39515.950661611874,4720.0,2919.9999994128675,1049,160,96,09:39 -> 10:58,03:59,1
52,T17,F52,C21,CLT,BOS,41315.95066161187,46580.95066161187,5265.0,3464.9999994099558,1170,160,128,11:28 -> 12:56,00:47,2
53,T17,F53,C21,BOS,CLT,79134.0,84399.0,5265.0,3464.999999409603,1170,160,128,21:58 -> 23:26,,0
54,T18,F54,C22,MDW,PHL,20219.999999999,25043.999999999,4824.0,3023.999999506384,1072,160,128,05:36 -> 06:57,,0
55,T18,F55,C11,PHL,CLT,56154.0,59398.0,3244.0,1443.9999993361077,721,160,128,15:35 -> 16:29,,0
56,T18,F56,C23,CLT,IAH,64913.0,71510.0,6597.0,4797.000008744402,1466,160,128,18:01 -> 19:51,,0
57,T19,F57,C24,DCA,ORD,20699.999999999985,25118.999999999985,4419.0,2618.999999585541,982,120,96,05:44 -> 06:58,,0
58,T19,F58,C24,ORD,ATL,59377.57132416438,63769.57132416438,4392.0,2591.999997184194,976,120,96,16:29 -> 17:42,02:02,1
59,T19,F16,C24,ATL,ORD,65569.57132416431,69961.57132416431,4392.0,2591.999997661189,976,120,72,18:12 -> 19:26,02:55,1
60,T19,F60,C24,ORD,ATL,71761.57132416431,76153.57132416431,4392.0,2591.999998506966,976,120,96,19:56 -> 21:09,00:49,2
61,T20,F61,C25,CLT,JFK,20279.999999999985,24194.999999999985,3915.0,2114.9999996882184,870,160,128,05:37 -> 06:43,,0
62,T20,F62,C25,JFK,CLT,32559.0,36474.0,3915.0,2114.9999993960982,870,160,112,09:02 -> 10:07,,0
63,T20,F63,C25,CLT,MDW,56255.99999999996,60485.99999999996,4230.0,2429.9999991171326,940,160,128,15:37 -> 16:48,,0
64,T20,F64,C10,MDW,JFK,65864.0,71147.0,5283.0,3482.9999987406095,1174,160,128,18:17 -> 19:45,,0
65,T21,F65,C26,PDX,DFW,20760.0,32446.0,11686.0,9885.99999754324,2597,160,128,05:46 -> 09:00,,0
66,T21,F66,C19,DFW,JFK,48409.945063894265,58462.945063894265,10053.0,8252.999991774393,2234,160,128,13:26 -> 16:14,00:52,2
67,T22,F67,C27,TPA,ATL,20940.0,23883.0,2943.0,1142.999999738342,654,120,120,05:49 -> 06:38,00:11,2
68,T22,F68,C27,ATL,TPA,37984.0,40927.0,2943.0,1142.9999995441763,654,120,96,10:33 -> 11:22,,0
69,T22,F69,C27,TPA,CLT,58815.0,62496.0,3681.0,1880.9999991176912,818,120,120,16:20 -> 17:21,,0
70,T22,F70,C11,CLT,MIA,68757.99999999996,73477.99999999996,4720.0,2919.999998972112,1049,120,96,19:05 -> 20:24,,0
71,T22,F71,C07,MIA,DTW,78378.0,86689.0,8311.0,6510.999998683183,1847,120,96,21:46 -> 00:04 (+1),,0
72,T23,F72,C28,PHL,ORD,20220.0,25116.0,4896.0,3095.999998782429,1088,200,160,05:37 -> 06:58,,0
73,T23,F73,C28,ORD,PHL,49383.99999999997,54279.99999999997,4896.0,3095.9999974639873,1088,200,160,13:43 -> 15:04,,0
