Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,DFW,ATL,19860.0,25143.0,5283,3483,1174,160,128,05:31 -> 06:59,0
T00,F01,C00,ATL,ORD,40791.0,45183.0,4392,2592,976,160,128,11:19 -> 12:33,0
T00,F02,C00,ORD,DFW,66934.0,72739.0,5805,4005,1290,160,128,18:35 -> 20:12,0
T01,F03,C01,JFK,ORD,20040.0,25381.0,5341,3541,1187,200,160,05:34 -> 07:03,0
T01,F04,C01,ORD,DFW,57921.0,63726.0,5805,4005,1290,200,160,16:05 -> 17:42,0
T02,F05,C02,DFW,ATL,20760.0,26043.0,5283,3483,1174,160,128,05:46 -> 07:14,0
T02,F06,C02,ATL,DFW,46608.0,51891.0,5283,3483,1174,160,128,12:56 -> 14:24,0
T02,F07,C00,DFW,JFK,78304.0,88357.0,10053,8253,2234,160,128,21:45 -> 00:32 (+1),0
T03,F08,C03,ATL,JFK,20160.0,25659.0,5499,3699,1222,160,128,05:36 -> 07:07,0
T03,F09,C03,JFK,ATL,54933.0,60432.0,5499,3699,1222,160,128,15:15 -> 16:47,0
T03,F10,C03,ATL,JFK,80802.0,86301.0,5499,3699,1222,160,128,22:26 -> 23:58,0
T04,F11,C04,JFK,DFW,20400.0,30453.0,10053,8253,2234,120,96,05:40 -> 08:27,0
T04,F12,C02,DFW,ATL,73117.26997523248,78400.26997523248,5283,3483,1174,120,96,20:18 -> 21:46,1
T05,F13,C05,LAX,DFW,20160.0,29083.0,8923,7123,1983,160,128,05:36 -> 08:04,0
T05,F14,C04,DFW,LAX,64443.0,73366.0,8923,7123,1983,160,128,17:54 -> 20:22,0
T05,F15,C06,LAX,DFW,79619.0,88542.0,8923,7123,1983,160,128,22:06 -> 00:35 (+1),0
T06,F16,C07,JFK,DFW,20520.0,30573.0,10053,8253,2234,200,160,05:42 -> 08:29,0
T06,F17,C05,DFW,JFK,64137.13169589893,74190.13169589892,10053,8253,2234,200,160,17:48 -> 20:36,1
T07,F18,C08,DFW,JFK,20700.0,30753.0,10053,8253,2234,160,128,05:45 -> 08:32,0
T07,F19,C05,JFK,ATL,63912.0,69411.0,5499,3699,1222,160,128,17:45 -> 19:16,0
T08,F20,C09,ORD,DFW,23416.06937205917,29221.06937205917,5805,4005,1290,200,160,06:30 -> 08:07,1
T08,F21,C07,DFW,LAX,33415.0,42338.0,8923,7123,1983,200,160,09:16 -> 11:45,0
T08,F22,C10,LAX,ORD,65827.0,78436.0,12609,10809,2802,200,160,18:17 -> 21:47,0
T08,F23,C10,ORD,ATL,86683.0,91075.0,4392,2592,976,200,160,00:04 (+1) -> 01:17 (+1),0
T09,F24,C11,ATL,DFW,20700.0,25983.0,5283,3483,1174,120,96,05:45 -> 07:13,0
T09,F25,C09,DFW,ATL,71419.40070898752,76702.40070898752,5283,3483,1174,120,96,19:50 -> 21:18,1
T10,F26,C12,DFW,ATL,19860.0,25143.0,5283,3483,1174,200,160,05:31 -> 06:59,0
T10,F27,C12,ATL,DFW,40324.0,45607.0,5283,3483,1174,200,160,11:12 -> 12:40,0
T10,F28,C01,DFW,JFK,78337.0,88390.0,10053,8253,2234,200,160,21:45 -> 00:33 (+1),0
T11,F29,C13,LAX,DFW,19800.0,28723.0,8923,7123,1983,160,128,05:30 -> 07:58,0
T11,F30,C11,DFW,ORD,49986.0,55791.0,5805,4005,1290,160,128,13:53 -> 15:29,0
T11,F31,C11,ORD,DFW,69079.0,74884.0,5805,4005,1290,160,128,19:11 -> 20:48,0
T12,F32,C14,JFK,ATL,21016.456598127766,26515.456598127766,5499,3699,1222,160,128,05:50 -> 07:21,1
T12,F33,C14,ATL,DFW,38911.0,44194.0,5283,3483,1174,160,128,10:48 -> 12:16,0
T12,F34,C12,DFW,LAX,66328.0,75251.0,8923,7123,1983,160,128,18:25 -> 20:54,0
T12,F35,C04,LAX,DFW,89824.52127710068,98747.52127710068,8923,7123,1983,160,128,00:57 -> 03:25,1
T13,F36,C15,JFK,DFW,32334.785742364627,42387.78574236463,10053,8253,2234,200,160,08:58 -> 11:46,1
T13,F37,C13,DFW,ATL,42325.0,47608.0,5283,3483,1174,200,160,11:45 -> 13:13,0
T13,F38,C02,ATL,JFK,72613.0,78112.0,5499,3699,1222,200,160,20:10 -> 21:41,0
T14,F39,C16,ATL,ORD,20700.0,25092.0,4392,2592,976,120,96,05:45 -> 06:58,0
T14,F40,C16,ORD,ATL,29674.0,34066.0,4392,2592,976,120,96,08:14 -> 09:27,0
T14,F41,C13,ATL,JFK,62964.0,68463.0,5499,3699,1222,120,96,17:29 -> 19:01,0
T14,F42,C08,JFK,DFW,74404.36611763442,84457.36611763442,10053,8253,2234,120,96,20:40 -> 23:27,1
T15,F43,C17,DFW,JFK,30621.406097738654,40674.406097738654,10053,8253,2234,200,160,08:30 -> 11:17,1
T15,F44,C17,JFK,ATL,38950.0,44449.0,5499,3699,1222,200,160,10:49 -> 12:20,0
T15,F45,C16,ATL,JFK,57791.0,63290.0,5499,3699,1222,200,160,16:03 -> 17:34,0
T15,F46,C13,JFK,ATL,77433.0,82932.0,5499,3699,1222,200,160,21:30 -> 23:02,0
T16,F47,C18,ORD,LAX,20580.0,33189.0,12609,10809,2802,160,128,05:43 -> 09:13,0
T16,F48,C07,LAX,ORD,51445.0,64054.0,12609,10809,2802,160,128,14:17 -> 17:47,0
T16,F49,C19,ORD,ATL,69821.0,74213.0,4392,2592,976,160,128,19:23 -> 20:36,0
T16,F50,C05,ATL,DFW,81709.0,86992.0,5283,3483,1174,160,128,22:41 -> 00:09 (+1),0
T17,F51,C20,JFK,ATL,20160.0,25659.0,5499,3699,1222,160,128,05:36 -> 07:07,0
T17,F52,C17,ATL,JFK,61264.0,66763.0,5499,3699,1222,160,128,17:01 -> 18:32,0
T18,F53,C21,DFW,ATL,20520.0,25803.0,5283,3483,1174,120,96,05:42 -> 07:10,0
T18,F54,C20,ATL,ORD,61701.0,66093.0,4392,2592,976,120,96,17:08 -> 18:21,0
T19,F55,C22,LAX,DFW,20820.0,29743.0,8923,7123,1983,160,128,05:47 -> 08:15,0
T19,F56,C15,DFW,JFK,43178.0,53231.0,10053,8253,2234,160,128,11:59 -> 14:47,0
T19,F57,C02,JFK,ORD,83838.0,89179.0,5341,3541,1187,160,128,23:17 -> 00:46 (+1),0
T20,F58,C23,DFW,ATL,20760.0,26043.0,5283,3483,1174,200,160,05:46 -> 07:14,0
T20,F59,C21,ATL,DFW,51050.0,56333.0,5283,3483,1174,200,160,14:10 -> 15:38,0
T20,F60,C08,DFW,ATL,86371.0,91654.0,5283,3483,1174,200,160,23:59 -> 01:27 (+1),0
T21,F61,C24,LAX,ORD,20220.0,32829.0,12609,10809,2802,200,160,05:37 -> 09:07,0
T21,F62,C24,ORD,LAX,36528.0,49137.0,12609,10809,2802,200,160,10:08 -> 13:38,0
T21,F63,C12,LAX,ORD,80462.0,93071.0,12609,10809,2802,200,160,22:21 -> 01:51 (+1),0
T22,F64,C25,JFK,ATL,20940.0,26439.0,5499,3699,1222,120,96,05:49 -> 07:20,0
T22,F65,C23,ATL,JFK,52181.0,57680.0,5499,3699,1222,120,96,14:29 -> 16:01,0
T23,F66,C26,DFW,JFK,20340.0,30393.0,10053,8253,2234,120,96,05:39 -> 08:26,0
T23,F67,C15,JFK,DFW,55483.0,65536.0,10053,8253,2234,120,96,15:24 -> 18:12,0
T23,F68,C14,DFW,ORD,73804.0,79609.0,5805,4005,1290,120,96,20:30 -> 22:06,0
T24,F69,C27,LAX,DFW,20580.0,29503.0,8923,7123,1983,120,96,05:43 -> 08:11,0
T24,F70,C22,DFW,LAX,34176.0,43099.0,8923,7123,1983,120,96,09:29 -> 11:58,0
T24,F71,C18,LAX,ORD,59161.0,71770.0,12609,10809,2802,120,96,16:26 -> 19:56,0
T25,F72,C28,ORD,ATL,19920.0,24312.0,4392,2592,976,120,96,05:32 -> 06:45,0
T25,F73,C28,ATL,DFW,26222.0,31505.0,5283,3483,1174,120,96,07:17 -> 08:45,0
T25,F74,C27,DFW,JFK,43334.0,53387.0,10053,8253,2234,120,96,12:02 -> 14:49,0
T25,F75,C16,JFK,ATL,66644.0,72143.0,5499,3699,1222,120,96,18:30 -> 20:02,0
T25,F76,C09,ATL,JFK,86822.0,92321.0,5499,3699,1222,120,96,00:07 (+1) -> 01:38 (+1),0
T26,F77,C29,DFW,LAX,20340.0,29263.0,8923,7123,1983,200,160,05:39 -> 08:07,0
T26,F78,C22,LAX,ORD,46275.0,58884.0,12609,10809,2802,200,160,12:51 -> 16:21,0
T26,F79,C07,ORD,LAX,67660.0,80269.0,12609,10809,2802,200,160,18:47 -> 22:17,0
T27,F80,C30,LAX,DFW,20580.0,29503.0,8923,7123,1983,160,128,05:43 -> 08:11,0
T27,F81,C28,DFW,LAX,46810.0,55733.0,8923,7123,1983,160,128,13:00 -> 15:28,0
T27,F82,C24,LAX,ORD,67743.0,80352.0,12609,10809,2802,160,128,18:49 -> 22:19,0
T28,F83,C31,ATL,JFK,20280.0,25779.0,5499,3699,1222,120,96,05:38 -> 07:09,0
T28,F84,C26,JFK,DFW,36353.0,46406.0,10053,8253,2234,120,96,10:05 -> 12:53,0
T28,F85,C30,DFW,JFK,56845.0,66898.0,10053,8253,2234,120,96,15:47 -> 18:34,0
T29,F86,C32,JFK,ORD,20520.0,25861.0,5341,3541,1187,160,128,05:42 -> 07:11,0
T29,F87,C32,ORD,LAX,37189.0,49798.0,12609,10809,2802,160,128,10:19 -> 13:49,0
T29,F88,C28,LAX,ORD,65319.0,77928.0,12609,10809,2802,160,128,18:08 -> 21:38,0
T30,F89,C33,DFW,LAX,19860.0,28783.0,8923,7123,1983,120,96,05:31 -> 07:59,0
T30,F90,C29,LAX,ORD,42737.0,55346.0,12609,10809,2802,120,96,11:52 -> 15:22,0
T30,F91,C34,ORD,JFK,59928.0,65269.0,5341,3541,1187,120,96,16:38 -> 18:07,0
T30,F92,C17,JFK,ATL,77073.0,82572.0,5499,3699,1222,120,96,21:24 -> 22:56,0
T31,F93,C35,DFW,ORD,20460.0,26265.0,5805,4005,1290,120,96,05:41 -> 07:17,0
T31,F94,C35,ORD,ATL,55861.20048236187,60253.20048236187,4392,2592,976,120,96,15:31 -> 16:44,1
T31,F95,C25,ATL,ORD,81731.76767093455,86123.76767093455,4392,2592,976,120,96,22:42 -> 23:55,1
T32,F96,C36,ORD,ATL,20280.0,24672.0,4392,2592,976,120,96,05:38 -> 06:51,0
T32,F97,C36,ATL,ORD,38435.0,42827.0,4392,2592,976,120,96,10:40 -> 11:53,0
T32,F98,C22,ORD,ATL,71881.76182867221,76273.76182867221,4392,2592,976,120,96,19:58 -> 21:11,1
T32,F99,C16,ATL,ORD,80216.0,84608.0,4392,2592,976,120,96,22:16 -> 23:30,0
T33,F100,C37,ATL,JFK,20100.0,25599.0,5499,3699,1222,160,128,05:35 -> 07:06,0
T33,F101,C27,JFK,ATL,56142.0,61641.0,5499,3699,1222,160,128,15:35 -> 17:07,0
T34,F102,C38,ORD,ATL,20280.0,24672.0,4392,2592,976,200,160,05:38 -> 06:51,0
T34,F103,C38,ATL,ORD,53267.0,57659.0,4392,2592,976,200,160,14:47 -> 16:00,0
T34,F104,C14,ORD,ATL,83518.0,87910.0,4392,2592,976,200,160,23:11 -> 00:25 (+1),0
T35,F105,C39,LAX,ORD,20160.0,32769.0,12609,10809,2802,120,96,05:36 -> 09:06,0
T35,F106,C36,ORD,ATL,54045.0,58437.0,4392,2592,976,120,96,15:00 -> 16:13,0
T35,F107,C19,ATL,JFK,81748.0,87247.0,5499,3699,1222,120,96,22:42 -> 00:14 (+1),0
T36,F108,C40,DFW,ATL,20220.0,25503.0,5283,3483,1174,160,128,05:37 -> 07:05,0
T36,F109,C40,ATL,ORD,37730.0,42122.0,4392,2592,976,160,128,10:28 -> 11:42,0
T36,F110,C39,ORD,DFW,46056.0,51861.0,5805,4005,1290,160,128,12:47 -> 14:24,0
T36,F111,C15,DFW,ORD,67658.0,73463.0,5805,4005,1290,160,128,18:47 -> 20:24,0
T37,F112,C41,JFK,DFW,20100.0,30153.0,10053,8253,2234,200,160,05:35 -> 08:22,0
T37,F113,C21,DFW,JFK,61524.0,71577.0,10053,8253,2234,200,160,17:05 -> 19:52,0
T37,F114,C23,JFK,ORD,84924.0,90265.0,5341,3541,1187,200,160,23:35 -> 01:04 (+1),0
T38,F115,C42,JFK,ORD,20400.0,25741.0,5341,3541,1187,120,96,05:40 -> 07:09,0
T38,F116,C42,ORD,DFW,35839.0,41644.0,5805,4005,1290,120,96,09:57 -> 11:34,0
T38,F117,C26,DFW,ORD,48784.0,54589.0,5805,4005,1290,120,96,13:33 -> 15:09,0
T38,F118,C15,ORD,DFW,77326.0,83131.0,5805,4005,1290,120,96,21:28 -> 23:05,0
T39,F119,C43,LAX,DFW,19800.0,28723.0,8923,7123,1983,160,128,05:30 -> 07:58,0
T39,F120,C41,DFW,ATL,53133.0,58416.0,5283,3483,1174,160,128,14:45 -> 16:13,0
T40,F121,C44,ATL,DFW,20880.0,26163.0,5283,3483,1174,160,128,05:48 -> 07:16,0
T40,F122,C43,DFW,ATL,51279.248343703934,56562.248343703934,5283,3483,1174,160,128,14:14 -> 15:42,1
T40,F123,C22,ATL,DFW,76496.0,81779.0,5283,3483,1174,160,128,21:14 -> 22:42,0
T41,F124,C45,DFW,ATL,20040.0,25323.0,5283,3483,1174,160,128,05:34 -> 07:02,0
T41,F125,C45,ATL,ORD,36530.0,40922.0,4392,2592,976,160,128,10:08 -> 11:22,0
T41,F126,C40,ORD,LAX,44208.0,56817.0,12609,10809,2802,160,128,12:16 -> 15:46,0
T41,F127,C32,LAX,DFW,67541.0,76464.0,8923,7123,1983,160,128,18:45 -> 21:14,0
T41,F128,C11,DFW,ATL,79584.0,84867.0,5283,3483,1174,160,128,22:06 -> 23:34,0
T42,F129,C46,ATL,JFK,20100.0,25599.0,5499,3699,1222,160,128,05:35 -> 07:06,0
T42,F130,C31,JFK,ATL,57698.0,63197.0,5499,3699,1222,160,128,16:01 -> 17:33,0
T43,F131,C47,DFW,ATL,23372.3166271747,28655.3166271747,5283,3483,1174,120,96,06:29 -> 07:57,1
T43,F132,C47,ATL,DFW,48151.0,53434.0,5283,3483,1174,120,96,13:22 -> 14:50,0
T43,F133,C39,DFW,ATL,56129.0,61412.0,5283,3483,1174,120,96,15:35 -> 17:03,0
T44,F134,C48,ORD,DFW,19860.0,25665.0,5805,4005,1290,200,160,05:31 -> 07:07,0
T44,F135,C42,DFW,LAX,59763.0,68686.0,8923,7123,1983,200,160,16:36 -> 19:04,0
T44,F136,C33,LAX,DFW,75577.0,84500.0,8923,7123,1983,200,160,20:59 -> 23:28,0
T45,F137,C49,ATL,DFW,20580.0,25863.0,5283,3483,1174,160,128,05:43 -> 07:11,0
T45,F138,C44,DFW,ATL,39048.0,44331.0,5283,3483,1174,160,128,10:50 -> 12:18,0
T45,F139,C43,ATL,DFW,59710.0,64993.0,5283,3483,1174,160,128,16:35 -> 18:03,0
T46,F140,C50,LAX,DFW,20520.0,29443.0,8923,7123,1983,120,96,05:42 -> 08:10,0
T46,F141,C47,DFW,JFK,61004.0,71057.0,10053,8253,2234,120,96,16:56 -> 19:44,0
T46,F142,C21,JFK,ATL,77376.0,82875.0,5499,3699,1222,120,96,21:29 -> 23:01,0
T47,F143,C51,ORD,JFK,19980.0,25321.0,5341,3541,1187,200,160,05:33 -> 07:02,0
T47,F144,C37,JFK,ATL,55783.0,61282.0,5499,3699,1222,200,160,15:29 -> 17:01,0
T47,F145,C27,ATL,JFK,90251.15466493767,95750.15466493767,5499,3699,1222,200,160,01:04 -> 02:35,1
T48,F146,C52,LAX,ORD,19800.0,32409.0,12609,10809,2802,200,160,05:30 -> 09:00,0
T48,F147,C26,ORD,LAX,64259.0,76868.0,12609,10809,2802,200,160,17:50 -> 21:21,0
T49,F148,C53,DFW,ORD,20820.0,26625.0,5805,4005,1290,200,160,05:47 -> 07:23,0
T49,F149,C52,ORD,ATL,34615.0,39007.0,4392,2592,976,200,160,09:36 -> 10:50,0
T49,F150,C44,ATL,ORD,49818.41978715651,54210.41978715651,4392,2592,976,200,160,13:50 -> 15:03,1
T49,F151,C29,ORD,ATL,58187.0,62579.0,4392,2592,976,200,160,16:09 -> 17:22,0
T49,F152,C31,ATL,DFW,72300.0,77583.0,5283,3483,1174,200,160,20:05 -> 21:33,0
T50,F153,C54,JFK,DFW,20220.0,30273.0,10053,8253,2234,200,160,05:37 -> 08:24,0
T50,F154,C48,DFW,ATL,48717.0,54000.0,5283,3483,1174,200,160,13:31 -> 15:00,0
T50,F155,C29,ATL,JFK,76478.0,81977.0,5499,3699,1222,200,160,21:14 -> 22:46,0
T51,F156,C55,ATL,DFW,20880.0,26163.0,5283,3483,1174,160,128,05:48 -> 07:16,0
T51,F157,C49,DFW,ORD,57486.0,63291.0,5805,4005,1290,160,128,15:58 -> 17:34,0
T51,F158,C20,ORD,DFW,70575.0,76380.0,5805,4005,1290,160,128,19:36 -> 21:13,0
T51,F159,C32,DFW,ATL,79305.0,84588.0,5283,3483,1174,160,128,22:01 -> 23:29,0
T51,F160,C11,ATL,JFK,87981.0,93480.0,5499,3699,1222,160,128,00:26 (+1) -> 01:58 (+1),0
T52,F161,C56,DFW,ORD,20220.0,26025.0,5805,4005,1290,200,160,05:37 -> 07:13,0
T52,F162,C53,ORD,DFW,40967.0,46772.0,5805,4005,1290,200,160,11:22 -> 12:59,0
T52,F163,C50,DFW,ORD,65516.0,71321.0,5805,4005,1290,200,160,18:11 -> 19:48,0
T53,F164,C57,ATL,ORD,19920.0,24312.0,4392,2592,976,200,160,05:32 -> 06:45,0
T53,F165,C44,ORD,ATL,55942.0,60334.0,4392,2592,976,200,160,15:32 -> 16:45,0
T54,F166,C58,DFW,LAX,20400.0,29323.0,8923,7123,1983,200,160,05:40 -> 08:08,0
T54,F167,C58,LAX,DFW,46066.0,54989.0,8923,7123,1983,200,160,12:47 -> 15:16,0
T54,F168,C20,DFW,LAX,78623.0,87546.0,8923,7123,1983,200,160,21:50 -> 00:19 (+1),0
T55,F169,C59,ORD,JFK,20040.0,25381.0,5341,3541,1187,120,96,05:34 -> 07:03,0
T55,F170,C46,JFK,ORD,50399.78630728466,55740.78630728466,5341,3541,1187,120,96,13:59 -> 15:29,1
T55,F171,C18,ORD,LAX,78410.0,91019.0,12609,10809,2802,120,96,21:46 -> 01:16 (+1),0
T56,F172,C60,JFK,ATL,21000.0,26499.0,5499,3699,1222,160,128,05:50 -> 07:21,0
T56,F173,C52,ATL,DFW,44696.0,49979.0,5283,3483,1174,160,128,12:24 -> 13:52,0
T56,F174,C43,DFW,ATL,76254.94282356242,81537.94282356242,5283,3483,1174,160,128,21:10 -> 22:38,1
