Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F20,C10,JFK,ORD,30780,36121,5341,6,1,08:33 -> 10:02,03:00,1
T00,F01,C00,ORD,JFK,44173,49514,5341,6,4,12:16 -> 13:45,,0
T00,F02,C03,JFK,DFW,82395,92448,10053,6,4,22:53 -> 01:40 (+1),,0
T01,F03,C01,LAX,ORD,23820,36429,12609,8,6,06:37 -> 10:07,01:00,1
T01,F04,C01,ORD,ATL,52521,56913,4392,8,6,14:35 -> 15:48,,0
T01,F05,C02,ATL,JFK,78928,84427,5499,8,6,21:55 -> 23:27,,0
T02,F06,C03,DFW,JFK,24480,34533,10053,8,6,06:48 -> 09:35,01:00,1
T02,F07,C00,JFK,DFW,62790,72843,10053,8,8,17:26 -> 20:14,,0
T02,F08,C04,DFW,LAX,82063,90986,8923,8,6,22:47 -> 01:16 (+1),,0
T03,F09,C05,JFK,ATL,20880,26379,5499,8,6,05:48 -> 07:19,,0
T03,F10,C05,ATL,JFK,39696,45195,5499,8,6,11:01 -> 12:33,,0
T03,F11,C05,JFK,ORD,56560,61901,5341,8,4,15:42 -> 17:11,,0
T03,F12,C06,ORD,DFW,82229,88034,5805,8,4,22:50 -> 00:27 (+1),,0
T04,F13,C07,ATL,DFW,20460,25743,5283,8,6,05:41 -> 07:09,,0
T04,F14,C07,DFW,ATL,32699,37982,5283,8,6,09:04 -> 10:33,,0
T04,F15,C01,ATL,JFK,66074,71573,5499,8,6,18:21 -> 19:52,,0
T05,F16,C08,JFK,ATL,20220,25719,5499,8,8,05:37 -> 07:08,,0
T05,F17,C08,ATL,JFK,30151,35650,5499,8,6,08:22 -> 09:54,,0
T05,F18,C08,JFK,DFW,44200,54253,10053,8,6,12:16 -> 15:04,,0
T05,F19,C09,DFW,LAX,57504,66427,8923,8,6,15:58 -> 18:27,,0
T06,F00,C00,JFK,ORD,20820,26161,5341,10,9,05:47 -> 07:16,,0
T06,F21,C10,ORD,ATL,44461,48853,4392,10,6,12:21 -> 13:34,,0
T06,F22,C07,ATL,ORD,69409,73801,4392,10,8,19:16 -> 20:30,,0
