Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ORD,LAX,19920.0,32529.0,12609.0,120,96,05:32 -> 09:02,,0
T00,F01,C00,LAX,SEA,69755.632995651,76667.632995651,6912.0,120,120,19:22 -> 21:17,02:09,1
T00,F02,C01,SEA,SFO,84255.71001981567,89173.71001981567,4918.0,120,96,23:24 -> 00:46 (+1),03:25,1
T01,F03,C02,BOS,DTW,20640.0,25203.0,4563.0,160,128,05:44 -> 07:00,,0
T01,F04,C02,DTW,DEN,56792.0,64901.0,8109.0,160,128,15:46 -> 18:01,,0
T02,F05,C03,CLT,LGA,20220.0,24153.0,3933.0,120,96,05:37 -> 06:42,,0
T02,F06,C03,LGA,FLL,33046.925681484914,40849.925681484914,7803.0,120,96,09:10 -> 11:20,00:40,1
T02,F07,C03,FLL,ATL,48000.03069131063,52212.03069131063,4212.0,120,96,13:20 -> 14:30,00:25,1
T02,F08,C04,ATL,FLL,83467.0,87679.0,4212.0,120,96,23:11 -> 00:21 (+1),,0
T03,F59,C28,SEA,LAX,34585.75882433276,41497.75882433276,6912.0,120,56,09:36 -> 11:31,03:46,1
T03,F10,C05,LAX,ORD,50256.880106863086,62865.880106863086,12609.0,120,72,13:57 -> 17:27,03:09,1
T03,F11,C06,ORD,IAH,75935.0,82640.0,6705.0,120,96,21:05 -> 22:57,,0
T04,F12,C07,CLT,PHX,31824.741939757187,44640.74193975719,12816.0,200,160,08:50 -> 12:24,03:10,1
T04,F13,C07,PHX,ATL,64999.0,76469.0,11470.0,200,160,18:03 -> 21:14,,0
T05,F14,C08,DTW,ATL,21632.681699699137,25943.681699699137,4311.0,200,160,06:00 -> 07:12,00:14,1
T05,F15,C08,ATL,DTW,37536.0,41847.0,4311.0,200,160,10:25 -> 11:37,,0
T05,F16,C08,DTW,ATL,61153.0,65464.0,4311.0,200,160,16:59 -> 18:11,,0
T06,F17,C09,DFW,BWI,19860.0,28653.0,8793.0,120,96,05:31 -> 07:57,,0
T06,F18,C09,BWI,DEN,50689.0,61457.0,10768.0,120,96,14:04 -> 17:04,,0
T06,F19,C02,DEN,BWI,78524.51805319001,89292.51805319001,10768.0,120,96,21:48 -> 00:48 (+1),02:56,1
T07,F20,C10,DEN,SEA,20220.0,27622.0,7402.0,160,128,05:37 -> 07:40,,0
T07,F21,C10,SEA,DEN,71801.99645485124,79203.99645485124,7402.0,160,128,19:56 -> 22:00,02:42,1
T08,F22,C11,JFK,ATL,25100.745636732165,30599.745636732165,5499.0,160,128,06:58 -> 08:29,01:23,1
T08,F23,C11,ATL,FLL,32399.745636732165,36611.745636732165,4212.0,160,128,08:59 -> 10:10,01:22,2
T08,F24,C11,FLL,ORD,65572.0,74144.0,8572.0,160,128,18:12 -> 20:35,,0
T09,F25,C12,SEA,DEN,20940.0,28342.0,7402.0,160,128,05:49 -> 07:52,,0
T09,F26,C30,DEN,CLT,37855.0,47521.0,9666.0,160,128,10:30 -> 13:12,,0
T09,F27,C13,CLT,JFK,64636.0,68551.0,3915.0,160,128,17:57 -> 19:02,,0
T09,F28,C13,JFK,MSP,83789.0,91218.0,7429.0,160,128,23:16 -> 01:20 (+1),,0
T10,F29,C14,JFK,MSP,30865.623803646464,38294.623803646464,7429.0,200,160,08:34 -> 10:38,03:03,1
T10,F30,C14,MSP,MIA,40094.623803646464,50975.623803646464,10881.0,200,160,11:08 -> 14:09,01:26,2
T10,F31,C15,MIA,MSP,52775.623803646464,63656.623803646464,10881.0,200,160,14:39 -> 17:40,01:08,2
T11,F32,C16,PHL,IAH,20220.0,29800.0,9580.0,120,96,05:37 -> 08:16,,0
T11,F33,C16,IAH,PHL,55864.0,65444.0,9580.0,120,96,15:31 -> 18:10,,0
T11,F34,C17,PHL,FLL,81711.0,88911.0,7200.0,120,96,22:41 -> 00:41 (+1),,0
T12,F35,C18,ORD,SFO,20220.0,33553.0,13333.0,200,160,05:37 -> 09:19,,0
T12,F36,C18,SFO,ORD,61447.42035607649,74780.42035607649,13333.0,200,160,17:04 -> 20:46,00:07,1
T12,F37,C05,ORD,MCO,76991.0,84281.0,7290.0,200,160,21:23 -> 23:24,,0
T13,F38,C19,MCO,PHL,20760.0,27006.0,6246.0,160,128,05:46 -> 07:30,,0
T13,F39,C19,PHL,CLT,58951.0,62195.0,3244.0,160,128,16:22 -> 17:16,,0
T13,F40,C30,CLT,PHL,80404.0,83648.0,3244.0,160,128,22:20 -> 23:14,,0
T14,F41,C20,ATL,MIA,20580.0,24895.0,4315.0,160,128,05:43 -> 06:54,,0
T14,F42,C14,MIA,DFW,55443.0,63552.0,8109.0,160,128,15:24 -> 17:39,,0
T14,F43,C21,DFW,SEA,72474.0,84480.0,12006.0,160,128,20:07 -> 23:28,,0
T15,F44,C22,SFO,PHX,19980.0,24687.0,4707.0,160,128,05:33 -> 06:51,,0
T15,F45,C22,PHX,ORD,42329.0,52737.0,10408.0,160,128,11:45 -> 14:38,,0
T15,F46,C23,ORD,SEA,64665.880106863086,77089.88010686309,12424.0,160,104,17:57 -> 21:24,02:02,2
T16,F47,C24,PHX,IAH,31878.66712962562,39168.667129625625,7290.000000000004,160,128,08:51 -> 10:52,03:10,1
T16,F48,C24,IAH,ORD,42841.32633280607,49546.32633280607,6705.0,160,128,11:54 -> 13:45,00:07,1
T16,F49,C22,ORD,CLT,65389.51161575067,69727.51161575067,4338.0,160,128,18:09 -> 19:22,00:03,1
T17,F50,C25,PHL,MSP,20880.0,27963.0,7083.0,120,96,05:48 -> 07:46,,0
T17,F51,C15,MSP,PHL,73226.06671499748,80309.06671499748,7083.0,120,96,20:20 -> 22:18,02:35,1
T17,F52,C16,PHL,ORD,82109.06671499748,87005.06671499748,4896.0,120,96,22:48 -> 00:10 (+1),01:46,2
T18,F53,C26,DEN,IAH,20760.0,27001.0,6241.0,160,128,05:46 -> 07:30,,0
T18,F54,C26,IAH,CLT,62545.0,69142.0,6597.0,160,128,17:22 -> 19:12,,0
T18,F55,C19,CLT,IAH,76741.0,83338.0,6597.0,160,128,21:19 -> 23:08,,0
T19,F56,C27,SEA,PHX,20100.0,28114.0,8014.0,200,160,05:35 -> 07:48,,0
T19,F57,C27,PHX,SEA,39283.0,47297.0,8014.0,200,160,10:54 -> 13:08,,0
T19,F58,C00,SEA,LAS,71256.0,77533.0,6277.0,200,160,19:47 -> 21:32,,0
T20,F09,C05,SEA,LAX,21000.0,27912.0,6912.0,200,200,05:50 -> 07:45,00:06,2
T20,F60,C28,LAX,IAH,47618.0,57585.0,9967.0,200,160,13:13 -> 15:59,,0
T20,F61,C29,IAH,MIA,73256.24007309807,80226.24007309807,6970.0,200,160,20:20 -> 22:17,01:47,1
T20,F62,C20,MIA,ATL,84944.0,89259.0,4315.0,200,160,23:35 -> 00:47 (+1),,0
T21,F63,C30,SFO,DEN,19920.0,26904.0,6984.0,200,160,05:32 -> 07:28,,0
T21,F64,C12,DEN,PHL,46938.0,58188.0,11250.0,200,160,13:02 -> 16:09,,0
T21,F65,C15,PHL,ATL,75696.0,80515.0,4819.0,200,160,21:01 -> 22:21,,0
T22,F66,C31,DEN,JFK,20700.0,32440.0,11740.0,120,96,05:45 -> 09:00,,0
T22,F67,C31,JFK,DEN,44322.0,56062.0,11740.0,120,96,12:18 -> 15:34,,0
T22,F68,C09,DEN,LAX,81003.99645485124,87235.99645485124,6232.0,120,96,22:30 -> 00:13 (+1),01:07,1
T23,F69,C32,PHX,ATL,20400.0,31870.0,11470.0,160,128,05:40 -> 08:51,,0
T23,F70,C03,ATL,MSP,56016.0,62581.0,6565.0,160,128,15:33 -> 17:23,,0
T24,F71,C33,LAX,ORD,33991.57686394453,46600.57686394453,12609.0,160,128,09:26 -> 12:56,03:49,1
T24,F72,C24,ORD,LAX,56818.50600892168,69427.50600892169,12609.000000000007,160,128,15:46 -> 19:17,01:11,1
