Itinerary,Flight_legs,Pax
I00,F00,37
I01,F00-F01,35
I02,F01,61
I03,F02,96
I04,F03,96
I05,F04,96
I06,F05,96
I07,F06,96
I08,F07,62
I09,F08,63
I10,F08-F09,33
I11,F09,63
I12,F10,96
I13,F11,96
I14,F12,96
I15,F13,28
I16,F13-F14,33
I17,F14,35
I18,F15,96
I19,F16,59
I20,F17,36
I21,F18,59
I22,F19,96
I23,F20,96
I24,F21,33
I25,F22,96
I26,F23,96
I27,F24,64
I28,F13-F25,19
I29,F24-F25,32
I30,F25,45
I31,F26,96
I32,F27,96
I33,F28,96
I34,F29,96
I35,F30,96
I36,F31,17
I37,F31-F32,45
I38,F32,51
I39,F33,96
I40,F34,96
I41,F35,96
I42,F36,96
I43,F37,46
I44,F37-F38,29
I45,F38,67
I46,F39,96
I47,F40,17
I48,F41,96
I49,F42,49
I50,F43,96
I51,F44,96
I52,F45,96
I53,F46,65
I54,F46-F47,31
I55,F47,13
I56,F07-F48,34
I57,F48,62
I58,F49,96
I59,F50,96
I60,F51,96
I61,F52,96
I62,F53,96
I63,F54,96
I64,F55,96
I65,F00-F56,24
I66,F56,72
I67,F57,59
I68,F58,96
I69,F59,96
I70,F60,96
I71,F61,96
I72,F62,96
I73,F57-F63,37
I74,F63,59
I75,F17-F64,32
I76,F64,64
I77,F42-F65,47
I78,F65,49
I79,F66,64
I80,F67,96
I81,F68,66
I82,F68-F69,30
I83,F69,66
I84,F14-F70,28
I85,F16-F70,37
I86,F70,31
I87,F71,96
I88,F72,96
I89,F73,96
I90,F74,96
I91,F75,96
I92,F76,96
I93,F77,96
I94,F78,55
I95,F79,96
I96,F80,96
I97,F81,96
I98,F82,49
I99,F82-F83,47
I100,F83,49
I101,F84,96
I102,F85,96
I103,F21-F86,43
I104,F86,53
I105,F87,96
I106,F88,96
I107,F89,96
I108,F90,96
I109,F91,96
I110,F92,53
I111,F92-F93,43
I112,F93,37
I113,F94,96
I114,F95,96
I115,F96,96
I116,F97,68
I117,F98,96
I118,F99,96
I119,F100,27
I120,F101,96
I121,F102,96
I122,F47-F103,31
I123,F103,65
I124,F104,96
I125,F105,96
I126,F106,96
I127,F107,96
I128,F108,96
I129,F109,96
I130,F110,49
I131,F17-F111,28
I132,F78-F111,41
I133,F111,27
I134,F112,65
I135,F113,96
I136,F114,96
I137,F115,96
I138,F116,96
I139,F117,96
I140,F18-F118,37
I141,F118,59
I142,F119,96
I143,F120,96
I144,F121,96
I145,F31-F122,24
I146,F122,72
I147,F123,61
I148,F112-F124,31
I149,F124,65
I150,F21-F125,20
I151,F125,76
I152,F93-F126,16
I153,F123-F126,35
I154,F126,45
I155,F127,96
I156,F128,96
I157,F129,96
I158,F130,96
I159,F131,96
I160,F132,96
I161,F133,96
I162,F134,96
I163,F135,96
I164,F13-F136,16
I165,F136,80
I166,F137,96
I167,F138,96
I168,F139,96
I169,F110-F140,47
I170,F140,49
I171,F141,96
I172,F142,96
I173,F143,96
I174,F144,96
I175,F145,96
I176,F146,96
I177,F37-F147,21
I178,F147,75
I179,F47-F148,13
I180,F148,83
I181,F149,96
I182,F150,96
I183,F151,96
I184,F152,96
I185,F153,96
I186,F154,96
I187,F31-F155,10
I188,F66-F155,32
I189,F155,54
I190,F156,96
I191,F157,96
I192,F158,53
I193,F100-F159,47
I194,F158-F159,43
I195,F159,6
I196,F160,96
I197,F161,96
I198,F162,96
I199,F163,96
I200,F47-F164,8
I201,F100-F164,22
I202,F164,66
I203,F165,96
I204,F166,96
I205,F40-F167,44
I206,F167,52
I207,F168,96
I208,F40-F169,19
I209,F169,77
I210,F97-F170,28
I211,F170,68
I212,F40-F171,16
I213,F171,80
I214,F172,96
I215,F173,96
I216,F174,96
I217,F175,96
I218,F176,96
I219,F177,61
I220,F177-F178,35
I221,F178,61
I222,F179,96
I223,F180,96
I224,F181,96
I225,F182,96
I226,F183,96
I227,F184,96
I228,F185,96
I229,F186,96
I230,F187,96
I231,F188,96
