Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,EWN,BOS,20580,24918,4338,2538,964,120,96,05:43 -> 06:55
T00,F01,C00,BOS,MCO,38088,46210,8122,6322,1805,120,96,10:34 -> 12:50
T00,F02,C00,MCO,BOS,68874,76996,8122,6322,1805,120,96,19:07 -> 21:23
T00,F03,C00,BOS,MCO,82055,90177,8122,6322,1805,120,96,22:47 -> 01:02 (+1)
T01,F04,C01,SYR,BNA,19980,25339,5359,3559,1191,120,96,05:33 -> 07:02
T01,F05,C01,BNA,ORD,43144,46109,2965,1165,659,120,96,11:59 -> 12:48
T01,F06,C01,ORD,LGA,62203,67499,5296,3496,1177,120,96,17:16 -> 18:44
T02,F07,C02,MDW,DFW,20520,26293,5773,3973,1283,120,96,05:42 -> 07:18
T02,F08,C02,DFW,MIA,42724,50833,8109,6309,1802,120,96,11:52 -> 14:07
T02,F09,C02,MIA,BHM,69721,74513,4792,2992,1065,120,96,19:22 -> 20:41
T03,F10,C03,MDW,JFK,19920,25203,5283,3483,1174,120,96,05:32 -> 07:00
T03,F11,C03,JFK,MCI,50355,58392,8037,6237,1786,120,96,13:59 -> 16:13
T03,F12,C03,MCI,FLL,63112,72107,8995,7195,1999,120,96,17:31 -> 20:01
T04,F13,C04,GPT,MSP,20520,27940,7420,5620,1649,120,96,05:42 -> 07:45
T04,F14,C04,MSP,LAX,34042,45143,11101,9301,2467,120,96,09:27 -> 12:32
T04,F15,C04,LAX,MSP,48559,59660,11101,9301,2467,120,96,13:29 -> 16:34
T04,F16,C05,MSP,LAX,64959,76060,11101,9301,2467,120,96,18:02 -> 21:07
T05,F17,C06,ABE,ORD,20220,24945,4725,2925,1050,120,96,05:37 -> 06:55
T05,F18,C06,ORD,EWR,40546,45739,5193,3393,1154,120,96,11:15 -> 12:42
T05,F19,C06,EWR,SDF,62988,67627,4639,2839,1031,120,96,17:29 -> 18:47
T05,F20,C06,SDF,SAN,71354,84390,13036,11236,2897,120,96,19:49 -> 23:26
T06,F21,C07,DAL,MSP,20220,26403,6183,4383,1374,120,96,05:37 -> 07:20
