Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,SFO,ORD,19860,33193,100
I01,F00-F01,SFO,DEN,19860,55258,15
I02,F01,ORD,DEN,48841,55258,88
I03,F01-F02,ORD,SFO,48841,80341,13
I04,F02,DEN,SFO,73357,80341,115
I05,F03,JFK,ORD,20820,26161,85
I06,F00-F04,SFO,JFK,19860,64156,13
I07,F04,ORD,JFK,58815,64156,83
I08,F05,DEN,ORD,20580,26997,85
I09,F03-F06,JFK,SFO,20820,49123,11
I10,F05-F06,DEN,SFO,20580,49123,11
I11,F06,ORD,SFO,35790,49123,74
I12,F07,SFO,ORD,68753,82086,96
I13,F08,ATL,DFW,20940,26223,128
I14,F09,DFW,ATL,36364,41647,100
I15,F09-F10,DFW,DEN,36364,58648,15
I16,F10,ATL,DEN,49981,58648,100
I17,F11,DEN,LAX,20760,26992,96
I18,F12,LAX,DEN,39101,45333,75
I19,F12-F13,LAX,SFO,39101,58385,11
I20,F13,DEN,SFO,51401,58385,75
I21,F13-F14,DEN,ORD,51401,80467,10
I22,F14,SFO,ORD,67134,80467,86
I23,F15,DEN,ATL,20880,29547,128
I24,F09-F16,DFW,DEN,36364,68108,13
I25,F16,ATL,DEN,59441,68108,102
I26,F17,LAX,ORD,20040,32649,96
I27,F18,ORD,LAX,63261,75870,96
I28,F19,DFW,LAX,20160,29083,128
I29,F20,LAX,DEN,63364,69596,113
I30,F21,LAX,DEN,20400,26632,113
I31,F12-F22,LAX,CLT,39101,59649,10
I32,F21-F22,LAX,CLT,20400,59649,15
I33,F22,DEN,CLT,49983,59649,103
I34,F23,DEN,JFK,20100,31840,96
I35,F24,JFK,DEN,37080,48820,96
I36,F01-F25,ORD,JFK,48841,86220,12
I37,F10-F25,ATL,JFK,49981,86220,13
I38,F16-F25,ATL,JFK,59441,86220,13
I39,F20-F25,LAX,JFK,63364,86220,15
I40,F25,DEN,JFK,74480,86220,43
