index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C00,SFO,LAS,19859.99999999999,22847.99999999999,2988.0,1187.999999497371,664,120,96,05:30 -> 06:20,
1,T00,F01,C00,LAS,PHX,25133.0,26978.0,1845.0,44.99999999873979,410,120,96,06:58 -> 07:29,
2,T00,F02,C00,PHX,DEN,29478.0,33834.0,4356.0,2555.999997869061,968,120,96,08:11 -> 09:23,
3,T00,F03,C00,DEN,DFW,36540.0,41184.0,4644.0,2844.0000022023164,1032,120,96,10:09 -> 11:26,
4,T00,F04,C00,DFW,ATL,43956.0,49239.0,5283.0,3482.9999975386027,1174,120,96,12:12 -> 13:40,
5,T00,F05,C00,ATL,DFW,51605.0,56888.0,5283.0,3482.999997800156,1174,120,96,14:20 -> 15:48,
6,T00,F06,C00,DFW,JFK,59209.0,69262.0,10053.0,8252.999977181928,2234,120,96,16:26 -> 19:14,
7,T00,F07,C01,JFK,ORD,72028.0,77369.0,5341.0,3540.9999987330466,1187,120,96,20:00 -> 21:29,
8,T00,F08,C01,ORD,CLT,80158.0,84496.0,4338.0,2537.9999991293935,964,120,96,22:15 -> 23:28,
9,T00,F09,C01,CLT,ORD,87337.0,91675.0,4338.0,2537.9999998072944,964,120,96,00:15 (+1) -> 01:27 (+1),
10,T01,F10,C02,DFW,DEN,20040.000000727,24683.99999927989,4643.999998552892,2843.9999995088756,1032,120,96,05:34 -> 06:51,
11,T01,F11,C02,DEN,ATL,26580.000001788027,35246.99999829262,8666.99999650459,6866.999992303083,1926,120,96,07:23 -> 09:47,
12,T01,F12,C02,ATL,ORD,37708.000000641216,42099.99999946906,4391.999998827843,2591.9999993909796,976,120,96,10:28 -> 11:41,
13,T01,F13,C02,ORD,LAX,45056.0000046338,57664.99999559177,12608.999990957964,10808.999984873557,2802,120,96,12:30 -> 16:01,
14,T01,F14,C03,LAX,ORD,60180.0000045995,72788.99999549611,12608.999990896613,10808.99998478428,2802,120,96,16:43 -> 20:13,
15,T01,F15,C03,ORD,LAX,74937.0000070373,87546.00000022163,12608.99999318432,10808.999986650228,2802,120,96,20:48 -> 00:19 (+1),
16,T02,F16,C04,ORD,DEN,20040.0,26457.0,6417.0,4617.00000215583,1426,120,96,05:34 -> 07:20,
17,T02,F17,C04,DEN,ATL,29334.0,38001.0,8667.0,6866.999995017883,1926,120,96,08:08 -> 10:33,
18,T02,F18,C04,ATL,JFK,40131.0,45630.0,5499.0,3698.999997834112,1222,120,96,11:08 -> 12:40,
19,T02,F19,C04,JFK,ATL,47970.0,53469.0,5499.0,3698.9999978339315,1222,120,96,13:19 -> 14:51,
20,T02,F20,C04,ATL,DFW,56369.0,61652.0,5283.0,3482.999997799613,1174,120,96,15:39 -> 17:07,
21,T02,F21,C05,DFW,ATL,64466.0,69749.0,5283.0,3482.999997979977,1174,120,96,17:54 -> 19:22,
22,T02,F22,C05,ATL,DEN,71813.0,80480.0,8667.0,6866.999995437212,1926,120,96,19:56 -> 22:21,
23,T02,F23,C05,DEN,ATL,83117.0,91784.0,8667.0,6866.999991794657,1926,120,96,23:05 -> 01:29 (+1),
24,T03,F24,C06,SFO,DEN,19920.0,26904.0,6984.0,5183.99998719061,1552,120,96,05:32 -> 07:28,
25,T03,F25,C06,DEN,SFO,28747.000001312288,35730.99999894489,6983.9999976326035,5183.999994980117,1552,120,96,07:59 -> 09:55,
26,T03,F26,C06,SFO,DEN,37783.00000126985,44766.99999880005,6983.999997530198,5183.999994894708,1552,120,96,10:29 -> 12:26,
27,T03,F27,C06,DEN,JFK,46594.00000325501,58333.99999682781,11739.999993572805,9939.99998749749,2609,120,96,12:56 -> 16:12,
28,T03,F28,C07,JFK,DEN,60738.000003206886,72477.99999686121,11739.999993654324,9939.999987646337,2609,120,96,16:52 -> 20:07,
29,T03,F29,C07,DEN,JFK,75463.00000397513,87202.99999610426,11739.999992129131,9939.999986663777,2609,120,96,20:57 -> 00:13 (+1),
30,T04,F30,C08,ORD,JFK,20400.0,25741.0,5341.0,3540.99999809951,1187,120,96,05:40 -> 07:09,
31,T04,F31,C08,JFK,ORD,28646.0,33987.0,5341.0,3540.9999980994908,1187,120,96,07:57 -> 09:26,
32,T04,F32,C08,ORD,DEN,36604.00000135896,43020.99999860284,6416.999997243882,4616.999992325428,1426,120,96,10:10 -> 11:57,
33,T04,F33,C08,DEN,JFK,45287.000003098685,57026.99999698109,11739.999993882404,9939.999986935314,2609,120,96,12:34 -> 15:50,
34,T04,F34,C09,JFK,DFW,58988.00000294672,69040.99999718458,10052.999994237864,8252.999952115968,2234,120,96,16:23 -> 19:10,
35,T04,F35,C04,DFW,LAS,70999.00000186483,78621.99999842819,7622.9999965633615,5822.999981468275,1694,120,96,19:43 -> 21:50,
36,T04,F36,C10,LAS,SFO,80959.00000037372,83947.00000013251,2987.9999997587875,1187.9999997676848,664,120,96,22:29 -> 23:19,
37,T04,F37,C10,SFO,PHX,86793.00000123649,91500.00000026007,4706.999999023581,2906.999995343649,1046,120,96,00:06 (+1) -> 01:25 (+1),
