,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,I00,38,38,0%,2,2,0%
1,I01,5,5,0%,2,2,0%
2,I02,2,2,0%,2,2,0%
3,I03,26,26,0%,3,3,0%
4,I04,7,7,0%,2,2,0%
5,I05,15,15,0%,3,3,0%
6,I06,4,4,0%,2,2,0%
7,I07,4,4,0%,2,2,0%
8,I08,11,11,0%,3,3,0%
9,I09,6,6,0%,2,2,0%
10,I10,2,2,0%,2,2,0%
11,I11,2,2,0%,2,2,0%
12,I12,2,2,0%,2,2,0%
13,I13,11,11,0%,2,2,0%
14,I14,27,27,0%,3,3,0%
15,I15,24,24,0%,2,2,0%
16,I16,13,13,0%,2,2,0%
17,I17,4,4,0%,2,2,0%
18,I18,2,2,0%,2,2,0%
19,I19,2,2,0%,2,2,0%
20,I20,19,19,0%,2,2,0%
21,I21,24,24,0%,2,2,0%
22,I22,42,42,0%,3,3,0%
23,I23,20,20,0%,2,2,0%
24,I24,8,8,0%,2,2,0%
25,I25,4,4,0%,2,2,0%
26,I26,2,2,0%,2,2,0%
27,I27,2,2,0%,2,2,0%
28,I28,27,27,0%,3,3,0%
29,I29,2,2,0%,2,2,0%
30,I30,8,8,0%,2,2,0%
31,I31,36,36,0%,3,3,0%
32,I32,33,33,0%,2,2,0%
33,I33,2,2,0%,2,2,0%
34,I34,6,6,0%,2,2,0%
35,I35,6,6,0%,2,2,0%
36,I36,53,44,17%,3,3,0%
37,I37,2,2,0%,2,2,0%
38,I38,46,46,0%,2,2,0%
39,I39,10,10,0%,2,2,0%
40,I40,15,15,0%,3,3,0%
41,I41,2,2,0%,2,2,0%
42,I42,6,6,0%,2,2,0%
43,I43,5,5,0%,3,3,0%
44,I44,2,2,0%,2,2,0%
45,I45,2,2,0%,2,2,0%
46,I46,3,3,0%,3,3,0%
47,I47,2,2,0%,2,2,0%
48,I48,2,2,0%,2,2,0%
