Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C01,ORD,ATL,28020,32412,4392,6,0,07:47 -> 09:00,02:00,1
T00,F01,C00,ATL,ORD,37535,41927,4392,6,4,10:25 -> 11:38,,0
T00,F02,C00,ORD,ATL,63902,68294,4392,6,4,17:45 -> 18:58,,0
T00,F03,C00,ATL,ORD,74350,78742,4392,6,4,20:39 -> 21:52,,0
T01,F09,C03,ORD,LAX,20460,33069,12609,6,6,05:41 -> 09:11,,0
T01,F10,C03,LAX,ORD,40027,52636,12609,6,6,11:07 -> 14:37,,0
T01,F06,C01,ORD,LAX,65711,78320,12609,6,4,18:15 -> 21:45,,0
T02,F07,C02,LAX,ORD,20880,33489,12609,8,6,05:48 -> 09:18,,0
T02,F08,C02,ORD,LAX,61999,74608,12609,8,4,17:13 -> 20:43,02:00,1
T03,F04,C00,ORD,ATL,20820,25212,4392,8,8,05:47 -> 07:00,00:13,2
T03,F05,C01,ATL,ORD,42687,47079,4392,8,4,11:51 -> 13:04,,0
T03,F11,C04,ORD,LAX,55072,67681,12609,8,8,15:17 -> 18:48,,0
