Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,MCO,PHX,19860,33220,13360,11560,2969,160,128,05:31 -> 09:13
T00,F01,C00,PHX,ATL,48868,60338,11470,9670,2549,160,128,13:34 -> 16:45
T00,F02,C01,ATL,JFK,82089,87588,5499,3699,1222,160,128,22:48 -> 00:19 (+1)
T01,F03,C02,JFK,CLT,20340,24255,3915,2115,870,200,160,05:39 -> 06:44
T01,F04,C02,CLT,IAH,55141,61738,6597,4797,1466,200,160,15:19 -> 17:08
T01,F05,C02,IAH,ATL,74351,79332,4981,3181,1107,200,160,20:39 -> 22:02
T02,F06,C03,ATL,BOS,19920,26764,6844,5044,1521,200,160,05:32 -> 07:26
T02,F07,C03,BOS,DEN,56773,69440,12667,10867,2815,200,160,15:46 -> 19:17
T03,F08,C04,ORD,IAH,20160,26865,6705,4905,1490,160,128,05:36 -> 07:27
T03,F09,C04,IAH,ORD,56139,62844,6705,4905,1490,160,128,15:35 -> 17:27
T03,F10,C04,ORD,IAH,83214,89919,6705,4905,1490,160,128,23:06 -> 00:58 (+1)
T04,F11,C05,DFW,DTW,20340,27477,7137,5337,1586,160,128,05:39 -> 07:37
T04,F12,C05,DTW,MCO,47999,54942,6943,5143,1543,160,128,13:19 -> 15:15
T04,F13,C05,MCO,ATL,76838,79763,2925,1125,650,160,128,21:20 -> 22:09
T05,F14,C06,LAX,DEN,20940,27172,6232,4432,1385,120,96,05:49 -> 07:32
T05,F15,C06,DEN,PHL,31334,42584,11250,9450,2500,120,96,08:42 -> 11:49
T05,F16,C07,PHL,DEN,45705,56955,11250,9450,2500,120,96,12:41 -> 15:49
T05,F17,C03,DEN,ATL,82671,91338,8667,6867,1926,120,96,22:57 -> 01:22 (+1)
T06,F18,C08,PHL,ORD,20580,25476,4896,3096,1088,200,160,05:43 -> 07:04
T06,F19,C08,ORD,LAX,49856,62465,12609,10809,2802,200,160,13:50 -> 17:21
T06,F20,C09,LAX,DFW,67082,76005,8923,7123,1983,200,160,18:38 -> 21:06
T07,F21,C10,LAS,SFO,19980,22968,2988,1188,664,200,160,05:33 -> 06:22
T07,F22,C10,SFO,IAH,30598,42419,11821,10021,2627,200,160,08:29 -> 11:46
T07,F23,C11,IAH,SFO,73471,85292,11821,10021,2627,200,160,20:24 -> 23:41
T08,F24,C12,SFO,DFW,20940,31519,10579,8779,2351,120,96,05:49 -> 08:45
T08,F25,C12,DFW,DEN,36449,41093,4644,2844,1032,120,96,10:07 -> 11:24
T08,F26,C13,DEN,ATL,49548,58215,8667,6867,1926,120,96,13:45 -> 16:10
T08,F27,C13,ATL,MCO,62104,65029,2925,1125,650,120,96,17:15 -> 18:03
