Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,96,ORD,LAX,25941.678979738936,38550.678979738936,6021.678979738936,9867.8,07:12 -> 10:42
I01,I01,F01,F01,96,LAX,SEA,61995.0,68907.0,0.0,0.0,17:13 -> 19:08
I02,I02,F02,F02,96,SEA,SFO,71929.0,76847.0,0.0,0.0,19:58 -> 21:20
I03,I03,F03,F03,79,BOS,DTW,20640.0,25203.0,0.0,0.0,05:44 -> 07:00
I04,I04,F03-F04,F03-F04,49,BOS,DEN,20640.0,64901.0,0.0,0.0,05:44 -> 18:01
I05,I05,F04,F04,55,DTW,DEN,56792.0,64901.0,0.0,0.0,15:46 -> 18:01
I06,I06,F05,F05,96,CLT,LGA,20220.0,24153.0,0.0,0.0,05:37 -> 06:42
I07,I07,F06,F06,96,LGA,FLL,30628.0,38431.0,0.0,0.0,08:30 -> 10:40
I08,I08,F07,F07,96,FLL,ATL,46450.0,50662.0,0.0,0.0,12:54 -> 14:04
I09,I09,F08,F08,96,ATL,FLL,83467.0,87679.0,0.0,0.0,23:11 -> 00:21 (+1)
I10,I10,F09,F09,96,SEA,LAX,20640.0,27552.0,0.0,0.0,05:44 -> 07:39
I11,I11,F10,F10,54,LAX,ORD,38897.0,51506.0,0.0,0.0,10:48 -> 14:18
I12,I12,F11,F11,96,ORD,IAH,75935.0,82640.0,0.0,0.0,21:05 -> 22:57
I13,I13,F12,F12,160,CLT,PHX,23491.65380403353,36307.65380403353,3091.653804033529,8443.9,06:31 -> 10:05
I14,I14,F13,F13,160,PHX,ATL,64999.0,76469.0,0.0,0.0,18:03 -> 21:14
I15,I15,F14,F14,160,DTW,ATL,20760.0,25071.0,0.0,0.0,05:46 -> 06:57
I16,I16,F15,F15,160,ATL,DTW,37536.0,41847.0,0.0,0.0,10:25 -> 11:37
I17,I17,F16,F16,160,DTW,ATL,61153.0,65464.0,0.0,0.0,16:59 -> 18:11
I18,I18,F17,F17,96,DFW,BWI,19860.0,28653.0,0.0,0.0,05:31 -> 07:57
I19,I19,F18,F18,96,BWI,DEN,50689.0,61457.0,0.0,0.0,14:04 -> 17:04
I20,I20,F04-F19,F04-F19,24,DTW,BWI,56792.0,78693.0,0.0,0.0,15:46 -> 21:51
