index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,LAX,25941.678979738936,38550.678979738936,12609.0,10808.999996980161,2802,120,96,07:12 -> 10:42,01:40,1
1,T00,F01,C00,LAX,SEA,61995.0,68907.0,6912.0,5111.999998626876,1536,120,96,17:13 -> 19:08,,0
2,T00,F02,C01,SEA,SFO,71929.0,76847.0,4918.0,3117.9999993030074,1093,120,96,19:58 -> 21:20,,0
3,T01,F03,C02,BOS,DTW,20640.0,25203.0,4563.0,2762.999999395314,1014,160,128,05:44 -> 07:00,,0
4,T01,F04,C02,DTW,DEN,56792.0,64901.0,8109.0,6308.999998474183,1802,160,128,15:46 -> 18:01,,0
5,T02,F05,C03,CLT,LGA,20219.999999999985,24152.999999999985,3933.0,2132.999991496062,874,120,96,05:36 -> 06:42,,0
6,T02,F06,C03,LGA,FLL,30627.999999999985,38430.999999999985,7803.0,6002.999976178513,1734,120,96,08:30 -> 10:40,,0
7,T02,F07,C03,FLL,ATL,46449.99999999997,50661.99999999997,4212.0,2412.000009731096,936,120,96,12:54 -> 14:04,,0
8,T02,F08,C04,ATL,FLL,83467.0,87679.0,4212.0,2412.000004362087,936,120,96,23:11 -> 00:21 (+1),,0
9,T03,F09,C05,SEA,LAX,20640.0,27552.0,6912.0,5111.999998342194,1536,120,96,05:44 -> 07:39,,0
10,T03,F10,C05,LAX,ORD,38897.0,51506.0,12609.0,10808.999995669554,2802,120,96,10:48 -> 14:18,,0
11,T03,F11,C06,ORD,IAH,75935.0,82640.0,6705.0,4904.9999986901,1490,120,96,21:05 -> 22:57,,0
12,T04,F12,C07,CLT,PHX,23491.653804033514,36307.653804033514,12816.0,11015.999994630401,2848,200,160,06:31 -> 10:05,00:51,1
13,T04,F13,C07,PHX,ATL,64999.0,76469.0,11470.0,9669.999993228013,2549,200,160,18:03 -> 21:14,,0
14,T05,F14,C08,DTW,ATL,20760.0,25071.0,4311.0,2510.9999994040154,958,200,160,05:46 -> 06:57,,0
15,T05,F15,C08,ATL,DTW,37536.0,41847.0,4311.0,2510.99999940404,958,200,160,10:25 -> 11:37,,0
16,T05,F16,C08,DTW,ATL,61153.0,65464.0,4311.0,2510.9999994603636,958,200,160,16:59 -> 18:11,,0
17,T06,F17,C09,DFW,BWI,19860.0,28653.0,8793.0,6992.99999827804,1954,120,96,05:31 -> 07:57,,0
18,T06,F18,C09,BWI,DEN,50689.0,61457.0,10768.0,8967.999997655608,2393,120,96,14:04 -> 17:04,,0
19,T06,F19,C02,DEN,BWI,67925.0,78693.0,10768.0,8967.999997653742,2393,120,96,18:52 -> 21:51,,0
20,T07,F20,C10,DEN,SEA,20220.0,27622.0,7402.0,5601.999998669298,1645,160,128,05:37 -> 07:40,,0
21,T07,F21,C10,SEA,DEN,62068.0,69470.0,7402.0,5601.9999986371395,1645,160,128,17:14 -> 19:17,,0
22,T08,F22,C11,JFK,ATL,20100.0,25599.0,5499.0,3698.9999991501295,1222,160,128,05:35 -> 07:06,,0
23,T08,F23,C11,ATL,FLL,27465.0,31677.0,4212.0,2411.9999994858126,936,160,128,07:37 -> 08:47,,0
24,T08,F24,C11,FLL,ORD,69037.54720182916,77609.54720182916,8572.0,6771.99999834226,1905,160,128,19:10 -> 21:33,00:57,1
25,T09,F25,C12,SEA,DEN,20939.99999999998,28341.99999999998,7402.0,5601.999997954354,1645,160,128,05:48 -> 07:52,,0
26,T09,F26,C12,DEN,CLT,37854.99999999997,47520.99999999997,9666.0,7865.999996863197,2148,160,128,10:30 -> 13:12,,0
27,T09,F27,C13,CLT,JFK,73028.14728500831,76943.14728500831,3915.0,2114.999999563451,870,160,128,20:17 -> 21:22,02:19,1
28,T09,F28,C13,JFK,MSP,83789.0,91218.0,7429.0,5628.999998661499,1651,160,128,23:16 -> 01:20 (+1),,0
29,T10,F29,C14,JFK,MSP,19860.0,27289.0,7429.0,5628.999998661618,1651,200,160,05:31 -> 07:34,,0
30,T10,F30,C14,MSP,MIA,34927.0,45808.0,10881.0,9080.999994799318,2418,200,160,09:42 -> 12:43,,0
31,T10,F31,C15,MIA,MSP,48681.0,59562.0,10881.0,9080.99999479975,2418,200,160,13:31 -> 16:32,,0
32,T11,F32,C16,PHL,IAH,20219.99999999998,29799.99999999998,9580.0,7779.999997774936,2129,120,96,05:36 -> 08:16,,0
33,T11,F33,C16,IAH,PHL,55863.99999999996,65443.99999999996,9580.0,7779.999995042527,2129,120,96,15:31 -> 18:10,,0
34,T11,F34,C17,PHL,FLL,81711.0,88911.0,7200.0,5399.999935286545,1600,120,96,22:41 -> 00:41 (+1),,0
35,T12,F35,C18,ORD,SFO,20220.0,33553.0,13333.0,11532.999996682118,2963,200,160,05:37 -> 09:19,,0
36,T12,F36,C18,SFO,ORD,61023.0,74356.0,13333.0,11532.999996686693,2963,200,160,16:57 -> 20:39,,0
37,T12,F37,C05,ORD,MCO,76991.0,84281.0,7290.0,5489.999998699057,1620,200,160,21:23 -> 23:24,,0
38,T13,F38,C19,MCO,PHL,20760.0,27006.0,6246.0,4445.999998951963,1388,160,128,05:46 -> 07:30,,0
39,T13,F39,C19,PHL,CLT,58951.0,62195.0,3244.0,1444.0000187741746,721,160,128,16:22 -> 17:16,,0
40,T13,F40,C12,CLT,PHL,80404.0,83648.0,3244.0,1443.9999986482167,721,160,128,22:20 -> 23:14,,0
41,T14,F41,C20,ATL,MIA,20580.0,24895.0,4315.0,2514.99999945946,959,160,128,05:43 -> 06:54,,0
42,T14,F42,C14,MIA,DFW,55443.0,63552.0,8109.0,6308.999998474183,1802,160,128,15:24 -> 17:39,,0
43,T14,F43,C21,DFW,SEA,72474.0,84480.0,12006.0,10205.999997211256,2668,160,128,20:07 -> 23:28,,0
44,T15,F44,C22,SFO,PHX,19980.0,24687.0,4707.0,2906.9999788814075,1046,160,128,05:33 -> 06:51,,0
