index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,JFK,DFW,19920.0,29973.0,10053.0,8252.999995929413,2234,6,4,05:32 -> 08:19,,0
1,T00,F01,C00,DFW,ATL,47145.0,52428.0,5283.0,3482.9999986650328,1174,6,4,13:05 -> 14:33,,0
2,T00,F02,C01,ATL,ORD,55197.0,59589.0,4392.0,2591.99999906123,976,6,4,15:19 -> 16:33,,0
3,T00,F03,C01,ORD,JFK,61461.0,66802.0,5341.0,3540.9999986056664,1187,6,4,17:04 -> 18:33,,0
4,T01,F04,C02,JFK,ATL,19800.0,25299.0,5499.0,3698.9999985611735,1222,6,4,05:30 -> 07:01,,0
5,T01,F05,C02,ATL,JFK,34506.0,40005.0,5499.0,3698.9999985145373,1222,6,4,09:35 -> 11:06,,0
6,T01,F06,C02,JFK,DFW,49386.0,59439.0,10053.0,8252.999996038237,2234,6,4,13:43 -> 16:30,,0
7,T01,F07,C03,DFW,JFK,79934.0,89987.0,10053.0,8252.999995937807,2234,6,4,22:12 -> 00:59 (+1),03:00,1
8,T02,F08,C04,DFW,ORD,31620.0,37425.0,5805.0,4004.99999839535,1290,6,4,08:47 -> 10:23,03:00,1
9,T02,F09,C04,ORD,ATL,49948.0,54340.0,4392.0,2591.9999990594924,976,6,4,13:52 -> 15:05,,0
10,T02,F10,C00,ATL,ORD,86768.0,91160.0,4392.0,2592.0,976,6,4,00:06 (+1) -> 01:19 (+1),,0
11,T03,F11,C05,JFK,ORD,19860.0,25201.0,5341.0,3540.99999867058,1187,8,6,05:31 -> 07:00,,0
12,T03,F12,C05,ORD,ATL,40827.0,45219.0,4392.0,2591.9999990549677,976,8,6,11:20 -> 12:33,,0
13,T03,F13,C05,ATL,JFK,49976.0,55475.0,5499.0,3698.9999985364934,1222,8,6,13:52 -> 15:24,,0
14,T03,F14,C01,JFK,ATL,82335.0,87834.0,5499.0,3699.0,1222,8,6,22:52 -> 00:23 (+1),,0
15,T04,F15,C06,ATL,DFW,20160.0,25443.0,5283.0,3482.9999986212047,1174,6,4,05:36 -> 07:04,,0
16,T04,F16,C06,DFW,JFK,35183.0,45236.0,10053.0,8252.9999965906,2234,6,4,09:46 -> 12:33,,0
17,T04,F17,C05,JFK,DFW,62738.0,72791.0,10053.0,8252.999996115062,2234,6,4,17:25 -> 20:13,,0
