entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
T00,12,12,0%,14,14,0%,4,4,0%
T01,5,5,0%,4,4,0%,4,4,0%
T02,29,18,38%,45,24,47%,4,4,0%
T03,25,18,28%,34,23,32%,5,5,0%
T04,7,7,0%,9,9,0%,4,4,0%
T05,41,9,78%,70,11,84%,4,4,0%
T06,10,10,0%,11,11,0%,5,5,0%
T07,24,10,58%,42,15,64%,5,5,0%
T08,6,6,0%,6,6,0%,5,5,0%
T09,6,6,0%,6,6,0%,5,5,0%
T10,36,18,50%,58,24,59%,4,4,0%
T11,37,17,54%,64,24,62%,4,4,0%
T12,5,5,0%,4,4,0%,4,4,0%
T13,10,10,0%,13,13,0%,5,5,0%
T14,17,17,0%,25,25,0%,6,6,0%
T15,11,11,0%,18,18,0%,5,5,0%
T16,12,12,0%,16,16,0%,5,5,0%
T17,24,17,29%,35,23,34%,6,6,0%
T18,18,16,11%,28,24,14%,7,7,0%
T19,11,11,0%,12,12,0%,5,5,0%
T20,30,17,43%,45,24,47%,5,5,0%
T21,11,11,0%,14,14,0%,4,4,0%
T22,39,17,56%,76,25,67%,5,5,0%
T23,9,9,0%,11,11,0%,4,4,0%
T24,39,9,77%,62,10,84%,4,4,0%
T25,26,18,31%,47,25,47%,5,5,0%
T26,11,11,0%,13,13,0%,5,5,0%
T27,10,10,0%,12,12,0%,3,3,0%
T28,45,18,60%,84,24,71%,5,5,0%
T29,7,7,0%,7,7,0%,6,6,0%
T30,7,7,0%,8,8,0%,4,4,0%
T31,19,15,21%,34,25,26%,6,6,0%
T32,34,17,50%,54,22,59%,6,6,0%
T33,16,16,0%,22,22,0%,5,5,0%
T34,8,8,0%,9,9,0%,6,6,0%
T35,6,6,0%,7,7,0%,4,4,0%
T36,33,16,52%,57,24,58%,6,6,0%
T37,6,6,0%,6,6,0%,5,5,0%
T38,9,9,0%,10,10,0%,5,5,0%
T39,50,15,70%,101,23,77%,6,6,0%
T40,11,11,0%,14,14,0%,5,5,0%
T41,15,15,0%,20,20,0%,4,4,0%
T42,6,6,0%,5,5,0%,5,5,0%
T43,60,17,72%,119,21,82%,4,4,0%
T44,5,5,0%,5,5,0%,4,4,0%
T45,15,15,0%,22,22,0%,5,5,0%
T46,8,8,0%,9,9,0%,4,4,0%
T47,6,6,0%,6,6,0%,5,5,0%
T48,8,8,0%,9,9,0%,5,5,0%
T49,38,17,55%,69,20,71%,4,4,0%
T50,6,6,0%,5,5,0%,5,5,0%
T51,34,16,53%,66,23,65%,6,6,0%
T52,6,6,0%,7,7,0%,5,5,0%
T53,14,14,0%,18,18,0%,4,4,0%
T54,64,14,78%,136,24,82%,5,5,0%
T55,9,9,0%,11,11,0%,4,4,0%
T56,6,6,0%,5,5,0%,5,5,0%
T57,12,12,0%,15,15,0%,5,5,0%
T58,5,5,0%,5,5,0%,4,4,0%
T59,15,15,0%,21,21,0%,5,5,0%
T60,7,7,0%,8,8,0%,4,4,0%
T61,17,17,0%,23,23,0%,5,5,0%
T62,10,10,0%,17,17,0%,6,6,0%
T63,14,14,0%,19,19,0%,4,4,0%
T64,9,9,0%,11,11,0%,4,4,0%
T65,18,16,11%,29,23,21%,6,6,0%
T66,6,6,0%,6,6,0%,5,5,0%
T67,15,15,0%,21,21,0%,4,4,0%
T68,17,17,0%,21,21,0%,5,5,0%
T69,27,15,44%,48,24,50%,5,5,0%
T70,40,16,60%,69,25,64%,4,4,0%
T71,9,9,0%,10,10,0%,4,4,0%
T72,6,6,0%,6,6,0%,5,5,0%
T73,29,18,38%,45,24,47%,4,4,0%
T74,63,16,75%,143,23,84%,5,5,0%
T75,5,5,0%,6,6,0%,4,4,0%
T76,74,18,76%,165,25,85%,5,5,0%
T77,6,6,0%,8,8,0%,5,5,0%
T78,22,13,41%,32,17,47%,5,5,0%
T79,17,17,0%,21,21,0%,6,6,0%
