Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,DFW,ATL,19860,25143,9
I01,F01,ATL,ORD,40791,45183,46
I02,F02,ORD,DFW,66934,72739,73
I03,F03,JFK,ORD,20040,25381,3
I04,F04,ORD,DFW,57921,63726,160
I05,F05,DFW,ATL,20760,26043,40
I06,F06,ATL,DFW,46608,51891,82
I07,F07,DFW,JFK,78304,88357,128
I08,F08,ATL,JFK,20160,25659,12
I09,F09,JFK,ATL,54933,60432,47
I10,F00-F10,DFW,JFK,19860,86301,60
I11,F05-F10,DFW,JFK,20760,86301,50
I12,F10,ATL,JFK,80802,86301,18
I13,F11,JFK,DFW,20400,30453,9
I14,F12,DFW,ATL,65216,70499,33
I15,F13,LAX,DFW,20160,29083,4
I16,F14,DFW,LAX,64443,73366,128
I17,F15,LAX,DFW,79619,88542,128
I18,F16,JFK,DFW,20520,30573,3
I19,F17,DFW,JFK,50218,60271,95
I20,F18,DFW,JFK,20700,30753,72
I21,F19,JFK,ATL,63912,69411,81
I22,F20,ORD,DFW,19980,25785,5
I23,F16-F21,JFK,LAX,20520,42338,34
I24,F21,DFW,LAX,33415,42338,38
I25,F22,LAX,ORD,65827,78436,58
I26,F23,ORD,ATL,86683,91075,160
I27,F24,ATL,DFW,20700,25983,5
I28,F25,DFW,ATL,59827,65110,36
I29,F26,DFW,ATL,19860,25143,112
I30,F27,ATL,DFW,40324,45607,35
I31,F28,DFW,JFK,78337,88390,160
I32,F29,LAX,DFW,19800,28723,56
I33,F30,DFW,ORD,49986,55791,27
I34,F31,ORD,DFW,69079,74884,128
I35,F32,JFK,ATL,21000,26499,11
I36,F33,ATL,DFW,38911,44194,10
I37,F20-F34,ORD,LAX,19980,75251,49
I38,F24-F34,ATL,LAX,20700,75251,39
I39,F34,DFW,LAX,66328,75251,40
I40,F35,LAX,DFW,82717,91640,128
I41,F36,JFK,DFW,19800,29853,18
I42,F11-F37,JFK,ATL,20400,47608,44
I43,F16-F37,JFK,ATL,20520,47608,25
I44,F36-F37,JFK,ATL,19800,47608,60
I45,F37,DFW,ATL,42325,47608,2
I46,F38,ATL,JFK,72613,78112,111
I47,F39,ATL,ORD,20700,25092,15
I48,F40,ORD,ATL,29674,34066,22
I49,F37-F41,DFW,JFK,42325,68463,4
I50,F41,ATL,JFK,62964,68463,64
I51,F08-F42,ATL,DFW,20160,81706,62
I52,F41-F42,ATL,DFW,62964,81706,28
I53,F42,JFK,DFW,71653,81706,4
I54,F43,DFW,JFK,21000,31053,70
I55,F44,JFK,ATL,38950,44449,60
I56,F45,ATL,JFK,57791,63290,111
I57,F43-F46,DFW,ATL,21000,82932,57
I58,F46,JFK,ATL,77433,82932,103
I59,F47,ORD,LAX,20580,33189,128
I60,F48,LAX,ORD,51445,64054,57
I61,F49,ORD,ATL,69821,74213,13
I62,F09-F50,JFK,DFW,54933,86992,40
I63,F50,ATL,DFW,81709,86992,88
I64,F51,JFK,ATL,20160,25659,35
I65,F40-F52,ORD,JFK,29674,66763,42
I66,F52,ATL,JFK,61264,66763,86
I67,F53,DFW,ATL,20520,25803,25
I68,F54,ATL,ORD,61701,66093,35
I69,F55,LAX,DFW,20820,29743,18
I70,F56,DFW,JFK,43178,53231,44
I71,F38-F57,ATL,ORD,72613,89179,49
I72,F57,JFK,ORD,83838,89179,79
I73,F58,DFW,ATL,20760,26043,18
I74,F32-F59,JFK,DFW,21000,56333,57
I75,F40-F59,ORD,DFW,29674,56333,18
I76,F59,ATL,DFW,51050,56333,85
I77,F11-F60,JFK,ATL,20400,91654,23
I78,F42-F60,JFK,ATL,71653,91654,2
I79,F60,DFW,ATL,86371,91654,135
I80,F61,LAX,ORD,20220,32829,15
I81,F62,ORD,LAX,36528,49137,81
I82,F16-F21-F63,JFK,ORD,20520,93071,21
I83,F63,LAX,ORD,80462,93071,139
I84,F64,JFK,ATL,20940,26439,34
I85,F58-F65,DFW,JFK,20760,57680,68
I86,F65,ATL,JFK,52181,57680,28
I87,F66,DFW,JFK,20340,30393,96
I88,F67,JFK,DFW,55483,65536,49
I89,F27-F68,ATL,ORD,40324,79609,63
I90,F68,DFW,ORD,73804,79609,20
I91,F69,LAX,DFW,20580,29503,3
I92,F24-F70,ATL,LAX,20700,43099,26
I93,F70,DFW,LAX,34176,43099,44
I94,F71,LAX,ORD,59161,71770,56
I95,F72,ORD,ATL,19920,24312,10
I96,F72-F73,ORD,DFW,19920,31505,43
I97,F73,ATL,DFW,26222,31505,14
I98,F74,DFW,JFK,43334,53387,37
I99,F17-F75,DFW,ATL,50218,72143,65
I100,F75,JFK,ATL,66644,72143,19
I101,F49-F76,ORD,JFK,69821,92321,53
I102,F76,ATL,JFK,86822,92321,43
I103,F77,DFW,LAX,20340,29263,160
I104,F78,LAX,ORD,46275,58884,160
I105,F03-F79,JFK,LAX,20040,80269,73
I106,F79,ORD,LAX,67660,80269,87
I107,F80,LAX,DFW,20580,29503,29
I108,F81,DFW,LAX,46810,55733,128
I109,F82,LAX,ORD,67743,80352,128
I110,F83,ATL,JFK,20280,25779,58
I111,F84,JFK,DFW,36353,46406,32
I112,F13-F85,LAX,JFK,20160,66898,53
I113,F69-F85,LAX,JFK,20580,66898,31
I114,F85,DFW,JFK,56845,66898,7
I115,F86,JFK,ORD,20520,25861,5
I116,F87,ORD,LAX,37189,49798,42
