Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,DFW,ATL,19860,25143,5283,3483,1174,160,128,05:31 -> 06:59
T00,F01,C00,ATL,ORD,40791,45183,4392,2592,976,160,128,11:19 -> 12:33
T00,F02,C00,ORD,DFW,66934,72739,5805,4005,1290,160,128,18:35 -> 20:12
T01,F03,C01,JFK,ORD,20040,25381,5341,3541,1187,200,160,05:34 -> 07:03
T01,F04,C01,ORD,DFW,57921,63726,5805,4005,1290,200,160,16:05 -> 17:42
T02,F05,C02,DFW,ATL,20760,26043,5283,3483,1174,160,128,05:46 -> 07:14
T02,F06,C02,ATL,DFW,46608,51891,5283,3483,1174,160,128,12:56 -> 14:24
T02,F07,C00,DFW,JFK,78304,88357,10053,8253,2234,160,128,21:45 -> 00:32 (+1)
T03,F08,C03,ATL,JFK,20160,25659,5499,3699,1222,160,128,05:36 -> 07:07
T03,F09,C03,JFK,ATL,54933,60432,5499,3699,1222,160,128,15:15 -> 16:47
T03,F10,C03,ATL,JFK,80802,86301,5499,3699,1222,160,128,22:26 -> 23:58
T04,F11,C04,JFK,DFW,20400,30453,10053,8253,2234,120,96,05:40 -> 08:27
T04,F12,C02,DFW,ATL,65216,70499,5283,3483,1174,120,96,18:06 -> 19:34
T05,F13,C05,LAX,DFW,20160,29083,8923,7123,1983,160,128,05:36 -> 08:04
T05,F14,C04,DFW,LAX,64443,73366,8923,7123,1983,160,128,17:54 -> 20:22
T05,F15,C06,LAX,DFW,79619,88542,8923,7123,1983,160,128,22:06 -> 00:35 (+1)
T06,F16,C07,JFK,DFW,20520,30573,10053,8253,2234,200,160,05:42 -> 08:29
T06,F17,C05,DFW,JFK,50218,60271,10053,8253,2234,200,160,13:56 -> 16:44
T07,F18,C08,DFW,JFK,20700,30753,10053,8253,2234,160,128,05:45 -> 08:32
T07,F19,C05,JFK,ATL,63912,69411,5499,3699,1222,160,128,17:45 -> 19:16
T08,F20,C09,ORD,DFW,19980,25785,5805,4005,1290,200,160,05:33 -> 07:09
T08,F21,C07,DFW,LAX,33415,42338,8923,7123,1983,200,160,09:16 -> 11:45
T08,F22,C10,LAX,ORD,65827,78436,12609,10809,2802,200,160,18:17 -> 21:47
T08,F23,C10,ORD,ATL,86683,91075,4392,2592,976,200,160,00:04 (+1) -> 01:17 (+1)
T09,F24,C11,ATL,DFW,20700,25983,5283,3483,1174,120,96,05:45 -> 07:13
T09,F25,C09,DFW,ATL,59827,65110,5283,3483,1174,120,96,16:37 -> 18:05
T10,F26,C12,DFW,ATL,19860,25143,5283,3483,1174,200,160,05:31 -> 06:59
T10,F27,C12,ATL,DFW,40324,45607,5283,3483,1174,200,160,11:12 -> 12:40
T10,F28,C01,DFW,JFK,78337,88390,10053,8253,2234,200,160,21:45 -> 00:33 (+1)
T11,F29,C13,LAX,DFW,19800,28723,8923,7123,1983,160,128,05:30 -> 07:58
T11,F30,C11,DFW,ORD,49986,55791,5805,4005,1290,160,128,13:53 -> 15:29
T11,F31,C11,ORD,DFW,69079,74884,5805,4005,1290,160,128,19:11 -> 20:48
T12,F32,C14,JFK,ATL,21000,26499,5499,3699,1222,160,128,05:50 -> 07:21
T12,F33,C14,ATL,DFW,38911,44194,5283,3483,1174,160,128,10:48 -> 12:16
T12,F34,C12,DFW,LAX,66328,75251,8923,7123,1983,160,128,18:25 -> 20:54
T12,F35,C04,LAX,DFW,82717,91640,8923,7123,1983,160,128,22:58 -> 01:27 (+1)
T13,F36,C15,JFK,DFW,19800,29853,10053,8253,2234,200,160,05:30 -> 08:17
T13,F37,C13,DFW,ATL,42325,47608,5283,3483,1174,200,160,11:45 -> 13:13
T13,F38,C02,ATL,JFK,72613,78112,5499,3699,1222,200,160,20:10 -> 21:41
T14,F39,C16,ATL,ORD,20700,25092,4392,2592,976,120,96,05:45 -> 06:58
T14,F40,C16,ORD,ATL,29674,34066,4392,2592,976,120,96,08:14 -> 09:27
T14,F41,C13,ATL,JFK,62964,68463,5499,3699,1222,120,96,17:29 -> 19:01
T14,F42,C08,JFK,DFW,71653,81706,10053,8253,2234,120,96,19:54 -> 22:41
T15,F43,C17,DFW,JFK,21000,31053,10053,8253,2234,200,160,05:50 -> 08:37
T15,F44,C17,JFK,ATL,38950,44449,5499,3699,1222,200,160,10:49 -> 12:20
T15,F45,C16,ATL,JFK,57791,63290,5499,3699,1222,200,160,16:03 -> 17:34
T15,F46,C13,JFK,ATL,77433,82932,5499,3699,1222,200,160,21:30 -> 23:02
T16,F47,C18,ORD,LAX,20580,33189,12609,10809,2802,160,128,05:43 -> 09:13
T16,F48,C07,LAX,ORD,51445,64054,12609,10809,2802,160,128,14:17 -> 17:47
T16,F49,C19,ORD,ATL,69821,74213,4392,2592,976,160,128,19:23 -> 20:36
T16,F50,C05,ATL,DFW,81709,86992,5283,3483,1174,160,128,22:41 -> 00:09 (+1)
T17,F51,C20,JFK,ATL,20160,25659,5499,3699,1222,160,128,05:36 -> 07:07
T17,F52,C17,ATL,JFK,61264,66763,5499,3699,1222,160,128,17:01 -> 18:32
T18,F53,C21,DFW,ATL,20520,25803,5283,3483,1174,120,96,05:42 -> 07:10
T18,F54,C20,ATL,ORD,61701,66093,4392,2592,976,120,96,17:08 -> 18:21
T19,F55,C22,LAX,DFW,20820,29743,8923,7123,1983,160,128,05:47 -> 08:15
T19,F56,C15,DFW,JFK,43178,53231,10053,8253,2234,160,128,11:59 -> 14:47
T19,F57,C02,JFK,ORD,83838,89179,5341,3541,1187,160,128,23:17 -> 00:46 (+1)
T20,F58,C23,DFW,ATL,20760,26043,5283,3483,1174,200,160,05:46 -> 07:14
T20,F59,C21,ATL,DFW,51050,56333,5283,3483,1174,200,160,14:10 -> 15:38
T20,F60,C08,DFW,ATL,86371,91654,5283,3483,1174,200,160,23:59 -> 01:27 (+1)
T21,F61,C24,LAX,ORD,20220,32829,12609,10809,2802,200,160,05:37 -> 09:07
T21,F62,C24,ORD,LAX,36528,49137,12609,10809,2802,200,160,10:08 -> 13:38
T21,F63,C12,LAX,ORD,80462,93071,12609,10809,2802,200,160,22:21 -> 01:51 (+1)
T22,F64,C25,JFK,ATL,20940,26439,5499,3699,1222,120,96,05:49 -> 07:20
T22,F65,C23,ATL,JFK,52181,57680,5499,3699,1222,120,96,14:29 -> 16:01
T23,F66,C26,DFW,JFK,20340,30393,10053,8253,2234,120,96,05:39 -> 08:26
T23,F67,C15,JFK,DFW,55483,65536,10053,8253,2234,120,96,15:24 -> 18:12
T23,F68,C14,DFW,ORD,73804,79609,5805,4005,1290,120,96,20:30 -> 22:06
T24,F69,C27,LAX,DFW,20580,29503,8923,7123,1983,120,96,05:43 -> 08:11
T24,F70,C22,DFW,LAX,34176,43099,8923,7123,1983,120,96,09:29 -> 11:58
T24,F71,C18,LAX,ORD,59161,71770,12609,10809,2802,120,96,16:26 -> 19:56
T25,F72,C28,ORD,ATL,19920,24312,4392,2592,976,120,96,05:32 -> 06:45
T25,F73,C28,ATL,DFW,26222,31505,5283,3483,1174,120,96,07:17 -> 08:45
T25,F74,C27,DFW,JFK,43334,53387,10053,8253,2234,120,96,12:02 -> 14:49
T25,F75,C16,JFK,ATL,66644,72143,5499,3699,1222,120,96,18:30 -> 20:02
T25,F76,C09,ATL,JFK,86822,92321,5499,3699,1222,120,96,00:07 (+1) -> 01:38 (+1)
T26,F77,C29,DFW,LAX,20340,29263,8923,7123,1983,200,160,05:39 -> 08:07
T26,F78,C22,LAX,ORD,46275,58884,12609,10809,2802,200,160,12:51 -> 16:21
T26,F79,C07,ORD,LAX,67660,80269,12609,10809,2802,200,160,18:47 -> 22:17
T27,F80,C30,LAX,DFW,20580,29503,8923,7123,1983,160,128,05:43 -> 08:11
T27,F81,C28,DFW,LAX,46810,55733,8923,7123,1983,160,128,13:00 -> 15:28
T27,F82,C24,LAX,ORD,67743,80352,12609,10809,2802,160,128,18:49 -> 22:19
T28,F83,C31,ATL,JFK,20280,25779,5499,3699,1222,120,96,05:38 -> 07:09
T28,F84,C26,JFK,DFW,36353,46406,10053,8253,2234,120,96,10:05 -> 12:53
T28,F85,C30,DFW,JFK,56845,66898,10053,8253,2234,120,96,15:47 -> 18:34
T29,F86,C32,JFK,ORD,20520,25861,5341,3541,1187,160,128,05:42 -> 07:11
T29,F87,C32,ORD,LAX,37189,49798,12609,10809,2802,160,128,10:19 -> 13:49
T29,F88,C28,LAX,ORD,65319,77928,12609,10809,2802,160,128,18:08 -> 21:38
T30,F89,C33,DFW,LAX,19860,28783,8923,7123,1983,120,96,05:31 -> 07:59
T30,F90,C29,LAX,ORD,42737,55346,12609,10809,2802,120,96,11:52 -> 15:22
T30,F91,C34,ORD,JFK,59928,65269,5341,3541,1187,120,96,16:38 -> 18:07
T30,F92,C17,JFK,ATL,77073,82572,5499,3699,1222,120,96,21:24 -> 22:56
T31,F93,C35,DFW,ORD,20460,26265,5805,4005,1290,120,96,05:41 -> 07:17
T31,F94,C35,ORD,ATL,55659,60051,4392,2592,976,120,96,15:27 -> 16:40
T31,F95,C25,ATL,ORD,69854,74246,4392,2592,976,120,96,19:24 -> 20:37
T32,F96,C36,ORD,ATL,20280,24672,4392,2592,976,120,96,05:38 -> 06:51
T32,F97,C36,ATL,ORD,38435,42827,4392,2592,976,120,96,10:40 -> 11:53
T32,F98,C22,ORD,ATL,65431,69823,4392,2592,976,120,96,18:10 -> 19:23
T32,F99,C16,ATL,ORD,80216,84608,4392,2592,976,120,96,22:16 -> 23:30
T33,F100,C37,ATL,JFK,20100,25599,5499,3699,1222,160,128,05:35 -> 07:06
T33,F101,C27,JFK,ATL,56142,61641,5499,3699,1222,160,128,15:35 -> 17:07
T34,F102,C38,ORD,ATL,20280,24672,4392,2592,976,200,160,05:38 -> 06:51
T34,F103,C38,ATL,ORD,53267,57659,4392,2592,976,200,160,14:47 -> 16:00
T34,F104,C14,ORD,ATL,83518,87910,4392,2592,976,200,160,23:11 -> 00:25 (+1)
T35,F105,C39,LAX,ORD,20160,32769,12609,10809,2802,120,96,05:36 -> 09:06
T35,F106,C36,ORD,ATL,54045,58437,4392,2592,976,120,96,15:00 -> 16:13
T35,F107,C19,ATL,JFK,81748,87247,5499,3699,1222,120,96,22:42 -> 00:14 (+1)
T36,F108,C40,DFW,ATL,20220,25503,5283,3483,1174,160,128,05:37 -> 07:05
T36,F109,C40,ATL,ORD,37730,42122,4392,2592,976,160,128,10:28 -> 11:42
T36,F110,C39,ORD,DFW,46056,51861,5805,4005,1290,160,128,12:47 -> 14:24
T36,F111,C15,DFW,ORD,67658,73463,5805,4005,1290,160,128,18:47 -> 20:24
T37,F112,C41,JFK,DFW,20100,30153,10053,8253,2234,200,160,05:35 -> 08:22
T37,F113,C21,DFW,JFK,61524,71577,10053,8253,2234,200,160,17:05 -> 19:52
T37,F114,C23,JFK,ORD,84924,90265,5341,3541,1187,200,160,23:35 -> 01:04 (+1)
T38,F115,C42,JFK,ORD,20400,25741,5341,3541,1187,120,96,05:40 -> 07:09
T38,F116,C42,ORD,DFW,35839,41644,5805,4005,1290,120,96,09:57 -> 11:34
T38,F117,C26,DFW,ORD,48784,54589,5805,4005,1290,120,96,13:33 -> 15:09
T38,F118,C15,ORD,DFW,77326,83131,5805,4005,1290,120,96,21:28 -> 23:05
