Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,MCO,PHX,19860,33220,10
I01,F01,PHX,ATL,48868,60338,12
I02,F02,ATL,MCO,82089,85014,128
I03,F03,JFK,CLT,20340,24255,65
I04,F04,CLT,IAH,55141,61738,60
I05,F05,IAH,ATL,74351,79332,53
I06,F06,ATL,JFK,19920,25419,66
I07,F07,JFK,CLT,55428,59343,89
I08,F08,ORD,DEN,20160,26577,3
I09,F09,DEN,ORD,55851,62268,47
I10,F10,ORD,DEN,82638,89055,128
I11,F11,DFW,JFK,20340,30393,3
I12,F11-F12,DFW,ATL,20340,56414,32
I13,F12,JFK,ATL,50915,56414,6
I14,F13,ATL,DEN,78310,86977,128
I15,F14,LAS,ATL,20700,33318,3
I16,F15,ATL,LAS,39571,52189,160
I17,F16,LAS,ATL,55310,67928,34
I18,F17,DTW,DEN,20280,28389,7
I19,F18,DEN,SEA,37548,44950,47
I20,F18-F19,DEN,LAX,37548,70510,59
I21,F19,SEA,LAX,63598,70510,56
I22,F20,LAX,SEA,83401,90313,160
I23,F21,LAS,SFO,19980,22968,54
I24,F22,SFO,IAH,30598,42419,24
I25,F23,IAH,SFO,73471,85292,96
I26,F24,ATL,DEN,19980,28647,15
I27,F08-F25,ORD,DTW,20160,58253,21
I28,F25,DEN,DTW,50144,58253,8
I29,F26,MSP,DFW,20160,26334,8
I30,F27,DFW,ORD,51367,57172,30
I31,F28,ORD,DFW,61366,67171,18
I32,F29,DFW,SFO,79267,89846,96
I33,F30,MSP,JFK,20880,28309,39
I34,F31,JFK,MSP,63164,70593,53
I35,F32,MSP,JFK,84100,91529,160
I36,F33,MCO,DFW,20880,27999,2
I37,F34,DFW,DTW,51992,59129,47
I38,F35,DTW,DFW,76591,83728,128
I39,F36,PHX,DTW,20460,32533,55
I40,F37,DTW,PHX,63532,75605,160
I41,F38,PHX,DFW,80165,86433,160
I42,F39,LAX,MSP,20520,31621,2
I43,F40,MSP,MIA,59829,70710,22
I44,F41,ATL,MSP,19860,26425,15
I45,F42,MSP,MCO,44192,53687,98
I46,F43,JFK,DEN,19800,31540,10
I47,F44,DEN,JFK,44153,55893,111
I48,F30-F45,MSP,DEN,20880,87502,56
I49,F45,JFK,DEN,75762,87502,104
I50,F46,ORD,CLT,19800,24138,11
I51,F47,CLT,JFK,53036,56951,51
I52,F48,JFK,ORD,81007,86348,128
I53,F49,MSP,PHX,21000,30229,2
I54,F50,PHX,ATL,44766,56236,3
I55,F51,ATL,ORD,63200,67592,96
I56,F52,JFK,DEN,20340,32080,7
I57,F53,DEN,SFO,65814,72798,128
I58,F54,DFW,EWR,20700,30618,86
I59,F55,EWR,MSP,33711,40992,8
I60,F39-F56,LAX,LAS,20520,57879,40
I61,F56,MSP,LAS,48488,57879,17
I62,F56-F57,MSP,DFW,48488,74862,40
I63,F57,LAS,DFW,67239,74862,88
I64,F58,IAH,ATL,20220,25201,4
I65,F58-F59,IAH,JFK,20220,59076,42
I66,F59,ATL,JFK,53577,59076,17
I67,F60,MSP,PHX,20520,29749,39
I68,F61,PHX,ORD,65647,76055,96
I69,F62,MSP,PHX,20040,29269,10
I70,F00-F63,MCO,DFW,19860,51811,59
I71,F49-F63,MSP,DFW,21000,51811,16
