Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,MCO,PHX,19860,33220,13360,11560,2969,160,128,05:31 -> 09:13
T00,F01,C00,PHX,ATL,48868,60338,11470,9670,2549,160,128,13:34 -> 16:45
T00,F02,C01,ATL,MCO,82089,85014,2925,1125,650,160,128,22:48 -> 23:36
T01,F03,C02,JFK,CLT,20340,24255,3915,2115,870,200,160,05:39 -> 06:44
T01,F04,C02,CLT,IAH,55141,61738,6597,4797,1466,200,160,15:19 -> 17:08
T01,F05,C02,IAH,ATL,74351,79332,4981,3181,1107,200,160,20:39 -> 22:02
T02,F06,C03,ATL,JFK,19920,25419,5499,3699,1222,200,160,05:32 -> 07:03
T02,F07,C03,JFK,CLT,55428,59343,3915,2115,870,200,160,15:23 -> 16:29
T03,F08,C04,ORD,DEN,20160,26577,6417,4617,1426,160,128,05:36 -> 07:22
T03,F09,C04,DEN,ORD,55851,62268,6417,4617,1426,160,128,15:30 -> 17:17
T03,F10,C04,ORD,DEN,82638,89055,6417,4617,1426,160,128,22:57 -> 00:44 (+1)
T04,F11,C05,DFW,JFK,20340,30393,10053,8253,2234,160,128,05:39 -> 08:26
T04,F12,C05,JFK,ATL,50915,56414,5499,3699,1222,160,128,14:08 -> 15:40
T04,F13,C00,ATL,DEN,78310,86977,8667,6867,1926,160,128,21:45 -> 00:09 (+1)
T05,F14,C06,LAS,ATL,20700,33318,12618,10818,2804,200,160,05:45 -> 09:15
T05,F15,C06,ATL,LAS,39571,52189,12618,10818,2804,200,160,10:59 -> 14:29
T05,F16,C07,LAS,ATL,55310,67928,12618,10818,2804,200,160,15:21 -> 18:52
T06,F17,C08,DTW,DEN,20280,28389,8109,6309,1802,200,160,05:38 -> 07:53
T06,F18,C08,DEN,SEA,37548,44950,7402,5602,1645,200,160,10:25 -> 12:29
T06,F19,C09,SEA,LAX,63598,70510,6912,5112,1536,200,160,17:39 -> 19:35
T06,F20,C09,LAX,SEA,83401,90313,6912,5112,1536,200,160,23:10 -> 01:05 (+1)
T07,F21,C10,LAS,SFO,19980,22968,2988,1188,664,120,96,05:33 -> 06:22
T07,F22,C10,SFO,IAH,30598,42419,11821,10021,2627,120,96,08:29 -> 11:46
T07,F23,C11,IAH,SFO,73471,85292,11821,10021,2627,120,96,20:24 -> 23:41
T08,F24,C12,ATL,DEN,19980,28647,8667,6867,1926,120,96,05:33 -> 07:57
T08,F25,C12,DEN,DTW,50144,58253,8109,6309,1802,120,96,13:55 -> 16:10
T09,F26,C13,MSP,DFW,20160,26334,6174,4374,1372,120,96,05:36 -> 07:18
T09,F27,C13,DFW,ORD,51367,57172,5805,4005,1290,120,96,14:16 -> 15:52
