Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,JFK,ATL,24420,29919,5499,3699,1222,6,4,06:47 -> 08:18,1
T00,F01,C00,ATL,JFK,38642,44141,5499,3699,1222,6,4,10:44 -> 12:15,0
T00,F02,C00,JFK,ORD,66116,71457,5341,3541,1187,6,4,18:21 -> 19:50,0
T01,F03,C01,LAX,ORD,20220,32829,12609,10809,2802,8,6,05:37 -> 09:07,0
T01,F04,C01,ORD,DFW,46243,52048,5805,4005,1290,8,6,12:50 -> 14:27,0
T01,F05,C02,DFW,ATL,70680,75963,5283,3483,1174,8,6,19:38 -> 21:06,0
T02,F06,C03,DFW,LAX,20520,29443,8923,7123,1983,8,6,05:42 -> 08:10,0
T02,F07,C03,LAX,DFW,52645,61568,8923,7123,1983,8,6,14:37 -> 17:06,0
T02,F08,C01,DFW,LAX,78682,87605,8923,7123,1983,8,6,21:51 -> 00:20,1
T03,F09,C04,DFW,LAX,20760,29683,8923,7123,1983,8,6,05:46 -> 08:14,0
T03,F10,C04,LAX,DFW,43340,52263,8923,7123,1983,8,6,12:02 -> 14:31,0
T03,F11,C05,DFW,ATL,68739,74022,5283,3483,1174,8,6,19:05 -> 20:33,1
T03,F12,C02,ATL,DFW,84063,89346,5283,3483,1174,8,6,23:21 -> 00:49 (+1),0
T04,F13,C06,JFK,DFW,20280,30333,10053,8253,2234,6,4,05:38 -> 08:25,0
T04,F14,C06,DFW,ATL,51090,56373,5283,3483,1174,6,4,14:11 -> 15:39,0
T04,F15,C07,ATL,DFW,61519,66802,5283,3483,1174,6,4,17:05 -> 18:33,0
T04,F16,C03,DFW,ATL,87977,93260,5283,3483,1174,6,4,00:26 (+1) -> 01:54 (+1),0
