index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C00,SFO,LAX,19860.0,22303.0,2443.0,642.9999965232972,543,120,96,05:31 -> 06:11,
1,T00,F01,C00,LAX,SFO,24588.0,27031.0,2443.0,642.9999938494115,543,120,96,06:49 -> 07:30,
2,T00,F02,C00,SFO,ORD,29402.0,42735.0,13333.0,11532.999692366675,2963,120,96,08:10 -> 11:52,
3,T00,F03,C00,ORD,LAX,44873.0,57482.0,12609.0,10808.999728677194,2802,120,96,12:27 -> 15:58,
4,T00,F04,C01,LAX,ORD,60373.0,72982.0,12609.0,10808.999727675171,2802,120,96,16:46 -> 20:16,
5,T00,F05,C01,ORD,LAX,75657.0,88266.0,12609.0,10808.999728677194,2802,120,96,21:00 -> 00:31 (+1),
6,T01,F06,C02,LAS,ATL,20700.0,33318.0,12618.0,10817.99966511238,2804,120,96,05:45 -> 09:15,
7,T01,F07,C02,ATL,DEN,35192.0,43859.0,8667.0,6866.999866470104,1926,120,96,09:46 -> 12:10,
8,T01,F08,C02,DEN,ATL,46667.0,55334.0,8667.0,6866.999866292709,1926,120,96,12:57 -> 15:22,
9,T01,F09,C03,ATL,DFW,57884.00005260924,63166.999948520606,5282.9998959113655,3482.999508058348,1174,120,96,16:04 -> 17:32,
10,T01,F10,C03,DFW,ATL,65811.00005272987,71093.9999490932,5282.999896363326,3482.9999568872545,1174,120,96,18:16 -> 19:44,
11,T01,F11,C03,ATL,DFW,73994.00005258688,79276.99994855726,5282.999895970381,3482.9996101751967,1174,120,96,20:33 -> 22:01,
12,T01,F12,C03,DFW,ATL,81728.00007755657,87011.00000179591,5282.999924239339,3482.9998184368933,1174,120,96,22:42 -> 00:10 (+1),
13,T02,F13,C04,LAX,DEN,20340.000072506882,26571.999930343434,6231.999857836552,4432.000736962371,1385,120,96,05:39 -> 07:22,
14,T02,F14,C04,DEN,ORD,29028.00007177682,35444.999929689795,6416.999857912975,4616.999738551223,1426,120,96,08:03 -> 09:50,
15,T02,F15,C04,ORD,LAX,37950.00026844853,50558.99973342417,12608.99946497564,10808.999285954089,2802,120,96,10:32 -> 14:02,
16,T02,F16,C04,LAX,ORD,53049.00026879609,65657.99973225086,12608.99946345477,10808.999284279842,2802,120,96,14:44 -> 18:14,
17,T02,F17,C05,ORD,LAX,67682.00026662873,80290.99973551198,12608.999468883252,10808.999291166494,2802,120,96,18:48 -> 22:18,
18,T03,F18,C06,LAS,ATL,20520.0,33138.0,12618.0,10817.999608011822,2804,120,96,05:42 -> 09:12,
19,T03,F19,C06,ATL,LAS,35564.0,48182.0,12618.0,10817.999727430977,2804,120,96,09:52 -> 13:23,
20,T03,F20,C06,LAS,ORD,50240.0,61179.0,10939.0,9138.999794850895,2431,120,96,13:57 -> 16:59,
21,T03,F21,C07,ORD,LAX,63309.0,75918.0,12609.0,10808.999727675171,2802,120,96,17:35 -> 21:05,
22,T03,F22,C00,LAX,SFO,77856.0,80299.0,2443.0,642.9999963338419,543,120,96,21:37 -> 22:18,
23,T03,F23,C08,SFO,LAX,82545.0,84988.0,2443.0,642.9999963330656,543,120,96,22:55 -> 23:36,
24,T03,F24,C05,LAX,SFO,87299.00000757168,89742.00000278252,2442.9999952108337,642.9999921901192,543,120,96,00:14 (+1) -> 00:55 (+1),
25,T04,F25,C09,PHX,ATL,20880.0,32350.0,11470.0,9669.999675519923,2549,120,96,05:48 -> 08:59,
26,T04,F26,C09,ATL,PHX,35150.00021528495,46619.99978729875,11469.999572013803,9669.999998482217,2549,120,96,09:45 -> 12:56,
27,T04,F27,C09,PHX,LAX,49584.00000676249,52256.99999573895,2672.9999889764586,872.9999701590211,594,120,96,13:46 -> 14:30,
28,T04,F28,C09,LAX,PHX,54130.0000071248,56802.99999660208,2672.9999894772773,872.9999978654273,594,120,96,15:02 -> 15:46,
