Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,SEA,PHX,20580,28594,8014,6214,1781,160,128,05:43 -> 07:56
T00,F01,C01,PHX,DFW,47012,53280,6268,4468,1393,160,128,13:03 -> 14:48
T01,F02,C02,LAS,DFW,20040,27663,7623,5823,1694,120,96,05:34 -> 07:41
T01,F03,C03,DFW,LAS,50611,58234,7623,5823,1694,120,96,14:03 -> 16:10
T02,F04,C04,JFK,DEN,19980,31720,11740,9940,2609,120,96,05:33 -> 08:48
T02,F05,C05,DEN,LAX,56912,63144,6232,4432,1385,120,96,15:48 -> 17:32
T02,F06,C06,LAX,SEA,79792,86704,6912,5112,1536,120,96,22:09 -> 00:05 (+1)
T03,F07,C07,ATL,JFK,20820,26319,5499,3699,1222,160,128,05:47 -> 07:18
T03,F08,C08,JFK,DEN,56850,68590,11740,9940,2609,160,128,15:47 -> 19:03
T04,F09,C09,DFW,JFK,20400,30453,10053,8253,2234,160,128,05:40 -> 08:27
T04,F10,C10,JFK,DFW,63615,73668,10053,8253,2234,160,128,17:40 -> 20:27
T05,F11,C11,CLT,JFK,19920,23835,3915,2115,870,200,160,05:32 -> 06:37
T05,F12,C09,JFK,ATL,43006,48505,5499,3699,1222,200,160,11:56 -> 13:28
T05,F13,C12,ATL,PHX,69158,80628,11470,9670,2549,200,160,19:12 -> 22:23
T06,F14,C13,LAS,ORD,20880,31819,10939,9139,2431,200,160,05:48 -> 08:50
T06,F15,C14,ORD,ATL,60908,65300,4392,2592,976,200,160,16:55 -> 18:08
T06,F16,C14,ATL,JFK,73388,78887,5499,3699,1222,200,160,20:23 -> 21:54
T07,F17,C15,LAX,SEA,20040,26952,6912,5112,1536,120,96,05:34 -> 07:29
T07,F18,C16,SEA,PHX,57564,65578,8014,6214,1781,120,96,15:59 -> 18:12
T07,F19,C12,PHX,SFO,85866,90573,4707,2907,1046,120,96,23:51 -> 01:09 (+1)
T08,F20,C17,PHX,DEN,20580,24936,4356,2556,968,200,160,05:43 -> 06:55
T08,F21,C18,DEN,JFK,49316,61056,11740,9940,2609,200,160,13:41 -> 16:57
T09,F22,C19,LAX,IAH,20700,30667,9967,8167,2215,200,160,05:45 -> 08:31
T09,F23,C19,IAH,LAX,38977,48944,9967,8167,2215,200,160,10:49 -> 13:35
T09,F24,C20,LAX,DFW,60013,68936,8923,7123,1983,200,160,16:40 -> 19:08
T09,F25,C10,DFW,JFK,76566,86619,10053,8253,2234,200,160,21:16 -> 00:03 (+1)
T10,F26,C21,MIA,ATL,20820,25135,4315,2515,959,200,160,05:47 -> 06:58
T10,F27,C21,ATL,MIA,31190,35505,4315,2515,959,200,160,08:39 -> 09:51
T10,F28,C22,MIA,ATL,65693,70008,4315,2515,959,200,160,18:14 -> 19:26
T10,F29,C22,ATL,JFK,74938,80437,5499,3699,1222,200,160,20:48 -> 22:20
T11,F30,C23,IAH,MIA,19980,26950,6970,5170,1549,120,96,05:33 -> 07:29
T11,F31,C23,MIA,DEN,30839,43205,12366,10566,2748,120,96,08:33 -> 12:00
T11,F32,C24,DEN,LAX,66229,72461,6232,4432,1385,120,96,18:23 -> 20:07
T11,F33,C05,LAX,DFW,76722,85645,8923,7123,1983,120,96,21:18 -> 23:47
T12,F34,C25,SFO,LAS,20160,23148,2988,1188,664,200,160,05:36 -> 06:25
T12,F35,C26,LAS,ATL,41029,53647,12618,10818,2804,200,160,11:23 -> 14:54
T12,F36,C27,ATL,LAS,79308,91926,12618,10818,2804,200,160,22:01 -> 01:32 (+1)
T13,F37,C28,DEN,ORD,20760,27177,6417,4617,1426,120,96,05:46 -> 07:32
T13,F38,C13,ORD,DEN,44104,50521,6417,4617,1426,120,96,12:15 -> 14:02
T13,F39,C29,DEN,ORD,68450,74867,6417,4617,1426,120,96,19:00 -> 20:47
T14,F40,C30,JFK,ATL,20040,25539,5499,3699,1222,200,160,05:34 -> 07:05
T14,F41,C09,ATL,JFK,52700,58199,5499,3699,1222,200,160,14:38 -> 16:09
T14,F42,C18,JFK,ATL,69605,75104,5499,3699,1222,200,160,19:20 -> 20:51
