Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,SEA,PHX,20580,28594,113
I01,F00-F01,SEA,DFW,20580,53280,15
I02,F01,PHX,DFW,47012,53280,100
I03,F02,LAS,DFW,20040,27663,96
I04,F03,DFW,LAS,50611,58234,96
I05,F04,JFK,DEN,19980,31720,85
I06,F04-F05,JFK,LAX,19980,63144,11
I07,F05,DEN,LAX,56912,63144,66
I08,F05-F06,DEN,SEA,56912,86704,10
I09,F06,LAX,SEA,79792,86704,86
I10,F07,ATL,JFK,20820,26319,128
I11,F08,JFK,DEN,56850,68590,128
I12,F09,DFW,JFK,20400,30453,113
I13,F10,JFK,DFW,63615,73668,128
I14,F11,CLT,JFK,19920,23835,141
I15,F09-F12,DFW,ATL,20400,48505,15
I16,F11-F12,CLT,ATL,19920,48505,19
I17,F12,JFK,ATL,43006,48505,111
I18,F12-F13,JFK,PHX,43006,80628,15
I19,F13,ATL,PHX,69158,80628,128
I20,F14,LAS,ORD,20880,31819,141
I21,F15,ORD,ATL,60908,65300,110
I22,F15-F16,ORD,JFK,60908,78887,19
I23,F16,ATL,JFK,73388,78887,141
I24,F17,LAX,SEA,20040,26952,96
I25,F18,SEA,PHX,57564,65578,85
I26,F13-F19,ATL,SFO,69158,90573,17
I27,F18-F19,SEA,SFO,57564,90573,11
I28,F19,PHX,SFO,85866,90573,68
I29,F20,PHX,DEN,20580,24936,141
I30,F20-F21,PHX,JFK,20580,61056,19
I31,F21,DEN,JFK,49316,61056,125
I32,F22,LAX,IAH,20700,30667,160
I33,F23,IAH,LAX,38977,48944,125
I34,F23-F24,IAH,DFW,38977,68936,19
I35,F24,LAX,DFW,60013,68936,125
I36,F01-F25,PHX,JFK,47012,86619,13
I37,F24-F25,LAX,JFK,60013,86619,16
I38,F25,DFW,JFK,76566,86619,131
I39,F26,MIA,ATL,20820,25135,141
I40,F27,ATL,MIA,31190,35505,160
I41,F28,MIA,ATL,65693,70008,125
I42,F15-F29,ORD,JFK,60908,80437,16
I43,F28-F29,MIA,JFK,65693,80437,19
I44,F29,ATL,JFK,74938,80437,125
I45,F30,IAH,MIA,19980,26950,85
I46,F30-F31,IAH,DEN,19980,43205,11
I47,F31,MIA,DEN,30839,43205,66
I48,F31-F32,MIA,LAX,30839,72461,10
I49,F32,DEN,LAX,66229,72461,76
I50,F05-F33,DEN,DFW,56912,85645,9
I51,F23-F33,IAH,DFW,38977,85645,16
I52,F32-F33,DEN,DFW,66229,85645,10
I53,F33,LAX,DFW,76722,85645,61
I54,F34,SFO,LAS,20160,23148,141
I55,F34-F35,SFO,ATL,20160,53647,19
I56,F35,LAS,ATL,41029,53647,141
I57,F15-F36,ORD,LAS,60908,91926,15
I58,F28-F36,MIA,LAS,65693,91926,16
I59,F36,ATL,LAS,79308,91926,129
I60,F37,DEN,ORD,20760,27177,96
I61,F14-F38,LAS,DEN,20880,50521,19
I62,F38,ORD,DEN,44104,50521,77
I63,F31-F39,MIA,ORD,30839,74867,9
I64,F39,DEN,ORD,68450,74867,87
I65,F40,JFK,ATL,20040,25539,160
I66,F26-F41,MIA,JFK,20820,58199,19
I67,F41,ATL,JFK,52700,58199,141
I68,F21-F42,DEN,ATL,49316,75104,16
I69,F42,JFK,ATL,69605,75104,144
