Pax,Itinerary,Flights
I00+P00,I00,F00
I00+P01,I00,F00
I00+P02,I00,F00
I00+P03,I00,F00
I01+P00,I01,F01
I01+P01,I01,F01
I01+P02,I01,F01
I01+P03,I01,F01
I02+P00,I02,F02
I02+P01,I02,F02
I02+P02,I02,F02
I02+P03,I02,F02
I03+P00,I03,F03
I03+P01,I03,F03
I03+P02,I03,F03
I03+P03,I03,F03
I03+P04,I03,F03
I03+P05,I03,F03
I04+P00,I04,F04
I04+P01,I04,F04
I04+P02,I04,F04
I04+P03,I04,F04
I05+P00,I05,F04-F05
I05+P01,I05,F04-F05
I06+P00,I06,F05
I06+P01,I06,F05
I06+P02,I06,F05
I06+P03,I06,F05
I07+P00,I07,F06
I07+P01,I07,F06
I07+P02,I07,F06
I07+P03,I07,F06
I07+P04,I07,F06
I07+P05,I07,F06
I08+P00,I08,F07
I08+P01,I08,F07
I08+P02,I08,F07
I08+P03,I08,F07
I08+P04,I08,F07
I08+P05,I08,F07
I09+P00,I09,F08
I09+P01,I09,F08
I09+P02,I09,F08
I09+P03,I09,F08
I09+P04,I09,F08
I09+P05,I09,F08
I10+P00,I10,F09
I10+P01,I10,F09
I10+P02,I10,F09
I10+P03,I10,F09
I10+P04,I10,F09
I10+P05,I10,F09
I11+P00,I11,F10
I11+P01,I11,F10
I11+P02,I11,F10
I11+P03,I11,F10
I11+P04,I11,F10
I11+P05,I11,F10
I12+P00,I12,F11
I12+P01,I12,F11
I12+P02,I12,F11
I12+P03,I12,F11
I13+P00,I13,F11-F12
I13+P01,I13,F11-F12
I14+P00,I14,F12
I14+P01,I14,F12
I14+P02,I14,F12
I14+P03,I14,F12
I15+P00,I15,F13
I15+P01,I15,F13
I15+P02,I15,F13
I15+P03,I15,F13
I16+P00,I16,F14
I16+P01,I16,F14
I16+P02,I16,F14
I16+P03,I16,F14
I16+P04,I16,F14
I16+P05,I16,F14
I17+P00,I17,F15
I17+P01,I17,F15
I17+P02,I17,F15
I17+P03,I17,F15
I17+P04,I17,F15
I17+P05,I17,F15
I18+P00,I18,F16
I18+P01,I18,F16
I18+P02,I18,F16
I18+P03,I18,F16
I18+P04,I18,F16
I18+P05,I18,F16
I19+P00,I19,F17
I19+P01,I19,F17
I19+P02,I19,F17
I19+P03,I19,F17
I19+P04,I19,F17
I19+P05,I19,F17
I20+P00,I20,F18
I20+P01,I20,F18
I20+P02,I20,F18
I20+P03,I20,F18
I20+P04,I20,F18
I20+P05,I20,F18
I21+P00,I21,F13-F19
I21+P01,I21,F13-F19
I22+P00,I22,F19
I22+P01,I22,F19
I22+P02,I22,F19
I22+P03,I22,F19
