Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,JFK,ATL,19920,25419,4
I01,F01,ATL,JFK,42591,48090,4
I02,F02,JFK,ATL,53099,58598,4
I03,F03,DFW,ORD,20280,26085,4
I04,F04,ORD,LAX,60213,72822,4
I05,F05,DFW,ATL,19800,25083,4
I06,F06,ATL,ORD,59002,63394,4
I07,F07,LAX,DFW,21000,29923,4
I08,F08,DFW,ATL,35857,41140,4
I09,F09,ATL,JFK,74966,80465,4
I10,F10,JFK,DFW,19860,29913,4
I11,F10-F11,JFK,LAX,19860,54462,2
I12,F11,DFW,LAX,45539,54462,4
I13,F12,LAX,DFW,81508,90431,6
I14,F13,ORD,ATL,20700,25092,6
I15,F14,ATL,DFW,37443,42726,6
I16,F15,DFW,ATL,50291,55574,6
