entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I00P00,9,9,0%,20,20,0%,2,2,0%
I00P01,9,9,0%,20,20,0%,2,2,0%
I00P02,9,9,0%,20,20,0%,2,2,0%
I00P03,9,9,0%,20,20,0%,2,2,0%
I00P04,9,9,0%,20,20,0%,2,2,0%
I00P05,9,9,0%,20,20,0%,2,2,0%
I00P06,9,9,0%,20,20,0%,2,2,0%
I00P07,9,9,0%,20,20,0%,2,2,0%
I00P08,9,9,0%,20,20,0%,2,2,0%
I00P09,9,9,0%,20,20,0%,2,2,0%
I00P10,9,9,0%,20,20,0%,2,2,0%
I00P11,9,9,0%,20,20,0%,2,2,0%
I00P12,9,9,0%,20,20,0%,2,2,0%
I00P13,9,9,0%,20,20,0%,2,2,0%
I00P14,9,9,0%,20,20,0%,2,2,0%
I00P15,9,9,0%,20,20,0%,2,2,0%
I00P16,9,9,0%,20,20,0%,2,2,0%
I00P17,9,9,0%,20,20,0%,2,2,0%
I00P18,9,9,0%,20,20,0%,2,2,0%
I00P19,9,9,0%,20,20,0%,2,2,0%
I00P20,9,9,0%,20,20,0%,2,2,0%
I00P21,9,9,0%,20,20,0%,2,2,0%
I00P22,9,9,0%,20,20,0%,2,2,0%
I00P23,9,9,0%,20,20,0%,2,2,0%
I00P24,9,9,0%,20,20,0%,2,2,0%
I00P25,9,9,0%,20,20,0%,2,2,0%
I00P26,9,9,0%,20,20,0%,2,2,0%
I00P27,9,9,0%,20,20,0%,2,2,0%
I00P28,9,9,0%,20,20,0%,2,2,0%
I00P29,9,9,0%,20,20,0%,2,2,0%
I00P30,9,9,0%,20,20,0%,2,2,0%
I00P31,9,9,0%,20,20,0%,2,2,0%
I00P32,9,9,0%,20,20,0%,2,2,0%
I00P33,9,9,0%,20,20,0%,2,2,0%
I00P34,9,9,0%,20,20,0%,2,2,0%
I00P35,9,9,0%,20,20,0%,2,2,0%
I00P36,9,9,0%,20,20,0%,2,2,0%
I00P37,9,9,0%,20,20,0%,2,2,0%
I00P38,9,9,0%,20,20,0%,2,2,0%
I00P39,9,9,0%,20,20,0%,2,2,0%
I00P40,9,9,0%,20,20,0%,2,2,0%
I00P41,9,9,0%,20,20,0%,2,2,0%
I00P42,9,9,0%,20,20,0%,2,2,0%
I00P43,9,9,0%,20,20,0%,2,2,0%
I00P44,9,9,0%,20,20,0%,2,2,0%
I00P45,9,9,0%,20,20,0%,2,2,0%
I00P46,9,9,0%,20,20,0%,2,2,0%
I00P47,9,9,0%,20,20,0%,2,2,0%
I00P48,9,9,0%,20,20,0%,2,2,0%
I00P49,9,9,0%,20,20,0%,2,2,0%
I00P50,9,9,0%,20,20,0%,2,2,0%
I00P51,9,9,0%,20,20,0%,2,2,0%
I00P52,9,9,0%,20,20,0%,2,2,0%
I00P53,9,9,0%,20,20,0%,2,2,0%
I00P54,9,9,0%,20,20,0%,2,2,0%
I00P55,9,9,0%,20,20,0%,2,2,0%
I00P56,9,9,0%,20,20,0%,2,2,0%
I00P57,9,9,0%,20,20,0%,2,2,0%
I00P58,9,9,0%,20,20,0%,2,2,0%
I00P59,9,9,0%,20,20,0%,2,2,0%
I00P60,9,9,0%,20,20,0%,2,2,0%
I00P61,9,9,0%,20,20,0%,2,2,0%
I00P62,9,9,0%,20,20,0%,2,2,0%
I00P63,9,9,0%,20,20,0%,2,2,0%
I00P64,9,9,0%,20,20,0%,2,2,0%
I00P65,9,9,0%,20,20,0%,2,2,0%
I00P66,9,9,0%,20,20,0%,2,2,0%
I00P67,9,9,0%,20,20,0%,2,2,0%
I00P68,9,9,0%,20,20,0%,2,2,0%
I00P69,9,9,0%,20,20,0%,2,2,0%
I00P70,9,9,0%,20,20,0%,2,2,0%
I00P71,9,9,0%,20,20,0%,2,2,0%
I00P72,9,9,0%,20,20,0%,2,2,0%
I00P73,9,9,0%,20,20,0%,2,2,0%
I00P74,9,9,0%,20,20,0%,2,2,0%
I00P75,9,9,0%,20,20,0%,2,2,0%
I00P76,9,9,0%,20,20,0%,2,2,0%
I00P77,9,9,0%,20,20,0%,2,2,0%
I00P78,9,9,0%,20,20,0%,2,2,0%
I00P79,9,9,0%,20,20,0%,2,2,0%
I00P80,9,9,0%,20,20,0%,2,2,0%
I00P81,9,9,0%,20,20,0%,2,2,0%
I00P82,9,9,0%,20,20,0%,2,2,0%
I00P83,9,9,0%,20,20,0%,2,2,0%
I00P84,9,9,0%,20,20,0%,2,2,0%
I00P85,9,9,0%,20,20,0%,2,2,0%
I00P86,9,9,0%,20,20,0%,2,2,0%
I00P87,9,9,0%,20,20,0%,2,2,0%
I00P88,9,9,0%,20,20,0%,2,2,0%
I00P89,9,9,0%,20,20,0%,2,2,0%
I00P90,9,9,0%,20,20,0%,2,2,0%
I00P91,9,9,0%,20,20,0%,2,2,0%
I00P92,9,9,0%,20,20,0%,2,2,0%
I00P93,9,9,0%,20,20,0%,2,2,0%
I00P94,9,9,0%,20,20,0%,2,2,0%
I00P95,9,9,0%,20,20,0%,2,2,0%
I01P00,10,10,0%,21,21,0%,2,2,0%
I01P01,10,10,0%,21,21,0%,2,2,0%
I01P02,10,10,0%,21,21,0%,2,2,0%
I01P03,10,10,0%,21,21,0%,2,2,0%
I01P04,10,10,0%,21,21,0%,2,2,0%
I01P05,10,10,0%,21,21,0%,2,2,0%
I01P06,10,10,0%,21,21,0%,2,2,0%
I01P07,10,10,0%,21,21,0%,2,2,0%
I01P08,10,10,0%,21,21,0%,2,2,0%
I01P09,10,10,0%,21,21,0%,2,2,0%
I01P10,10,10,0%,21,21,0%,2,2,0%
I01P11,10,10,0%,21,21,0%,2,2,0%
I01P12,10,10,0%,21,21,0%,2,2,0%
I01P13,10,10,0%,21,21,0%,2,2,0%
