Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,JFK,ORD,20820,26161,4
I01,F01,ORD,JFK,44173,49514,4
I02,F02,JFK,DFW,82395,92448,4
I03,F03,LAX,ORD,20220,32829,6
I04,F04,ORD,ATL,52521,56913,4
I05,F04-F05,ORD,JFK,52521,84427,2
I06,F05,ATL,JFK,78928,84427,4
I07,F06,DFW,JFK,20880,30933,6
I08,F07,JFK,DFW,62790,72843,6
I09,F08,DFW,LAX,82063,90986,6
I10,F09,JFK,ATL,20880,26379,6
I11,F10,ATL,JFK,39696,45195,6
I12,F11,JFK,ORD,56560,61901,4
I13,F11-F12,JFK,DFW,56560,88034,2
I14,F12,ORD,DFW,82229,88034,4
I15,F13,ATL,DFW,20460,25743,4
I16,F14,DFW,ATL,32699,37982,6
I17,F15,ATL,JFK,66074,71573,6
I18,F16,JFK,ATL,20220,25719,6
I19,F17,ATL,JFK,30151,35650,6
I20,F18,JFK,DFW,44200,54253,6
I21,F13-F19,ATL,LAX,20460,66427,2
I22,F19,DFW,LAX,57504,66427,4
I23,F20,JFK,ORD,19980,25321,5
I24,F20-F21,JFK,ATL,19980,48853,3
I25,F21,ORD,ATL,44461,48853,5
I26,F22,ATL,ORD,69409,73801,8
