Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,4,JFK,ATL,19920,25419,0,0.0,05:32 -> 07:03
I01,I01,F01,F01,4,ATL,JFK,42591,48090,0,0.0,11:49 -> 13:21
I02,I02,F02,F02,4,JFK,ATL,53099,58598,0,0.0,14:44 -> 16:16
I03,I03,F03,F03,4,DFW,ORD,20280,26085,0,0.0,05:38 -> 07:14
I04,I04,F04,F04,4,ORD,LAX,60213,72822,0,0.0,16:43 -> 20:13
I05,I05,F05,F05,4,DFW,ATL,19800,25083,0,0.0,05:30 -> 06:58
I06,I06,F06,F06,4,ATL,ORD,59002,63394,0,0.0,16:23 -> 17:36
I07,I07,F07,F07,4,LAX,DFW,21000,29923,0,0.0,05:50 -> 08:18
I08,I08,F08,F08,4,DFW,ATL,46657,51940,10800,737.4,12:57 -> 14:25
I09,I09,F09,F09,4,ATL,JFK,82166,87665,7200,491.6,22:49 -> 00:21 (+1)
I10,I10,F10,F10,4,JFK,DFW,19860,29913,0,0.0,05:31 -> 08:18
I11,I11,F10-F11,F10-F11,2,JFK,LAX,19860,54462,0,0.0,05:31 -> 15:07
I12,I12,F11,F11,4,DFW,LAX,45539,54462,0,0.0,12:38 -> 15:07
I13,I13,F12,F12,6,LAX,DFW,81508,90431,0,0.0,22:38 -> 01:07 (+1)
I14,I14,F13,F13,6,ORD,ATL,20700,25092,0,0.0,05:45 -> 06:58
I15,I15,F14,F14,6,ATL,DFW,37443,42726,0,0.0,10:24 -> 11:52
I16,I16,F15,F15,6,DFW,ATL,50291,55574,0,0.0,13:58 -> 15:26
