index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,JFK,ATL,19920.0,25419.0,5499.0,3698.999999646625,1222,6,4,05:32 -> 07:03,,0
1,T00,F01,C00,ATL,JFK,42591.0,48090.0,5499.0,3698.9999996515794,1222,6,4,11:49 -> 13:21,,0
2,T00,F02,C00,JFK,ATL,53099.0,58598.0,5499.0,3698.999999671417,1222,6,4,14:44 -> 16:16,,0
3,T01,F03,C01,DFW,ORD,20280.0,26085.0,5805.0,4004.999999621326,1290,6,4,05:38 -> 07:14,,0
4,T01,F04,C01,ORD,LAX,60213.0,72822.0,12609.0,10808.999998694795,2802,6,4,16:43 -> 20:13,,0
5,T02,F05,C02,DFW,ATL,19800.0,25083.0,5283.0,3482.999999690869,1174,6,4,05:30 -> 06:58,,0
6,T02,F06,C02,ATL,ORD,59002.0,63394.0,4392.0,2591.999999786479,976,6,4,16:23 -> 17:36,,0
7,T03,F07,C03,LAX,DFW,21000.0,29923.0,8923.0,7123.0,1983,6,4,05:50 -> 08:18,,0
8,T03,F08,C03,DFW,ATL,46657.0,51940.0,5283.0,3482.9999996872493,1174,6,4,12:57 -> 14:25,03:00,1
9,T03,F09,C00,ATL,JFK,82166.0,87665.0,5499.0,3699.0,1222,6,4,22:49 -> 00:21 (+1),02:00,1
10,T04,F10,C04,JFK,DFW,19860.0,29913.0,10053.0,8252.99999903391,2234,8,6,05:31 -> 08:18,,0
11,T04,F11,C04,DFW,LAX,45539.0,54462.0,8923.0,7122.99999933412,1983,8,6,12:38 -> 15:07,,0
12,T04,F12,C01,LAX,DFW,81508.0,90431.0,8923.0,7123.0,1983,8,6,22:38 -> 01:07 (+1),,0
13,T05,F13,C05,ORD,ATL,20700.0,25092.0,4392.0,2592.0,976,8,6,05:45 -> 06:58,,0
14,T05,F14,C05,ATL,DFW,37443.0,42726.0,5283.0,3482.9999996544025,1174,8,6,10:24 -> 11:52,,0
15,T05,F15,C05,DFW,ATL,50291.0,55574.0,5283.0,3482.999999684453,1174,8,6,13:58 -> 15:26,,0
