Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,T00F00,C00,ORD,JFK,20760,26101,5341,3541,1187,12,9,05:46 -> 07:15
T00,T00F01,C00,JFK,DFW,27914,37967,10053,8253,2234,12,9,07:45 -> 10:32
T00,T00F02,C00,DFW,LAX,40595,49518,8923,7123,1983,12,9,11:16 -> 13:45
T00,T00F03,C00,LAX,DEN,51492,57724,6232,4432,1385,12,9,14:18 -> 16:02
T00,T00F04,C01,DEN,LAX,60506,66738,6232,4432,1385,12,9,16:48 -> 18:32
T00,T00F05,C01,LAX,DFW,68942,77865,8923,7123,1983,12,9,19:09 -> 21:37
T00,T00F06,C01,DFW,LAX,79737,88660,8923,7123,1983,12,9,22:08 -> 00:37 (+1)
T01,T01F00,C02,LAX,ORD,20820,33429,12609,10809,2802,12,9,05:47 -> 09:17
T01,T01F01,C02,ORD,JFK,35425,40766,5341,3541,1187,12,9,09:50 -> 11:19
T01,T01F02,C02,JFK,DFW,43544,53597,10053,8253,2234,12,9,12:05 -> 14:53
T01,T01F03,C02,DFW,JFK,55858,65911,10053,8253,2234,12,9,15:30 -> 18:18
T01,T01F04,C03,JFK,ATL,68582,74081,5499,3699,1222,12,9,19:03 -> 20:34
T01,T01F05,C03,ATL,JFK,76709,82208,5499,3699,1222,12,9,21:18 -> 22:50
