index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,ATL,20820.0,25212.0,4392.0,2591.9999994266386,976,6,4,05:47 -> 07:00,,0
1,T00,F01,C00,ATL,ORD,37535.0,41927.0,4392.0,2591.9999997575405,976,6,4,10:25 -> 11:38,,0
2,T00,F02,C00,ORD,ATL,63902.0,68294.0,4392.0,2591.999999754174,976,6,4,17:45 -> 18:58,,0
3,T00,F03,C00,ATL,ORD,74350.0,78742.0,4392.0,2591.9999995863177,976,6,4,20:39 -> 21:52,,0
4,T01,F04,C01,ORD,ATL,20040.0,24432.0,4392.0,2591.999999480145,976,6,4,05:34 -> 06:47,,0
5,T01,F05,C01,ATL,ORD,42687.0,47079.0,4392.0,2591.9999992339,976,6,4,11:51 -> 13:04,,0
6,T01,F06,C01,ORD,LAX,80991.0,93600.0,12609.0,10809.000003171706,2802,6,0,22:29 -> 02:00 (+1),04:14,1
7,T02,F07,C02,LAX,ORD,20880.0,33489.0,12609.0,10808.999998672163,2802,8,6,05:48 -> 09:18,,0
8,T02,F08,C02,ORD,LAX,55072.0,67681.0,12609.0,10808.99997944269,2802,8,8,15:17 -> 18:48,00:04,2
9,T03,F09,C03,ORD,LAX,27660.0,40269.0,12609.0,10808.99999801398,2802,8,6,07:41 -> 11:11,02:00,1
10,T03,F10,C03,LAX,ORD,42069.0,54678.0,12609.0,10809.000026330528,2802,8,6,11:41 -> 15:11,00:34,2
11,T03,F11,C04,ORD,LAX,69472.0,82081.0,12609.0,10808.999986330298,2802,8,8,19:17 -> 22:48,04:00,1
