Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,JFK,DFW,27120,37173,10053,6,4,07:32 -> 10:19,02:00,1
T00,F01,C00,DFW,ATL,47145,52428,5283,6,4,13:05 -> 14:33,,0
T00,F02,C01,ATL,ORD,55197,59589,4392,6,4,15:19 -> 16:33,,0
T00,F03,C01,ORD,JFK,61461,66802,5341,6,4,17:04 -> 18:33,,0
T01,F04,C02,JFK,ATL,19800,25299,5499,6,3,05:30 -> 07:01,,0
T01,F05,C02,ATL,JFK,34506,40005,5499,6,4,09:35 -> 11:06,,0
T01,F06,C02,JFK,DFW,49386,59439,10053,6,4,13:43 -> 16:30,,0
T01,F07,C03,DFW,JFK,69134,79187,10053,6,4,19:12 -> 21:59,,0
T02,F08,C04,DFW,ORD,28020,33825,5805,6,4,07:47 -> 09:23,02:00,1
T02,F09,C04,ORD,ATL,49948,54340,4392,6,4,13:52 -> 15:05,,0
T02,F10,C00,ATL,ORD,86768,91160,4392,6,3,00:06 (+1) -> 01:19 (+1),,0
T03,F11,C05,JFK,ORD,19860,25201,5341,8,7,05:31 -> 07:00,,0
T03,F12,C05,ORD,ATL,40827,45219,4392,8,6,11:20 -> 12:33,,0
T03,F13,C05,ATL,JFK,49976,55475,5499,8,6,13:52 -> 15:24,,0
T03,F14,C01,JFK,ATL,82335,87834,5499,8,6,22:52 -> 00:23 (+1),,0
