Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,SFO,LAS,19860,22848,2988,1188,664,120,96,05:31 -> 06:20
T00,F01,C00,LAS,DEN,25133,29673,4540,2740,1009,120,96,06:58 -> 08:14
T00,F02,C00,DEN,PHX,32173,36529,4356,2556,968,120,96,08:56 -> 10:08
T00,F03,C00,PHX,LAS,39235,41080,1845,45,410,120,96,10:53 -> 11:24
T00,F04,C00,LAS,PHX,43852,45697,1845,45,410,120,96,12:10 -> 12:41
T00,F05,C00,PHX,LAX,48575,51248,2673,873,594,120,96,13:29 -> 14:14
T00,F06,C00,LAX,SFO,53781,56224,2443,643,543,120,96,14:56 -> 15:37
T00,F07,C00,SFO,LAX,59062,61505,2443,643,543,120,96,16:24 -> 17:05
T00,F08,C00,LAX,DFW,64271,73194,8923,7123,1983,120,96,17:51 -> 20:19
T00,F09,C01,DFW,LAS,75983,83606,7623,5823,1694,120,96,21:06 -> 23:13
T01,F10,C02,LAX,DFW,20160,29083,8923,7123,1983,120,96,05:36 -> 08:04
T01,F11,C02,DFW,LAX,31847,40770,8923,7123,1983,120,96,08:50 -> 11:19
T01,F12,C02,LAX,DFW,43221,52144,8923,7123,1983,120,96,12:00 -> 14:29
T01,F13,C02,DFW,ORD,55135,60940,5805,4005,1290,120,96,15:18 -> 16:55
T01,F14,C03,ORD,DFW,63089,68894,5805,4005,1290,120,96,17:31 -> 19:08
T01,F15,C03,DFW,ATL,71093,76376,5283,3483,1174,120,96,19:44 -> 21:12
T01,F16,C03,ATL,DEN,78285,86952,8667,6867,1926,120,96,21:44 -> 00:09 (+1)
T02,F17,C04,CLT,ORD,19920,24258,4338,2538,964,120,96,05:32 -> 06:44
T02,F18,C04,ORD,CLT,27110,31448,4338,2538,964,120,96,07:31 -> 08:44
T02,F19,C04,CLT,DFW,34325,41088,6763,4963,1503,120,96,09:32 -> 11:24
T02,F20,C04,DFW,CLT,43734,50497,6763,4963,1503,120,96,12:08 -> 14:01
T02,F21,C04,CLT,DFW,53316,60079,6763,4963,1503,120,96,14:48 -> 16:41
T02,F22,C05,DFW,ORD,62419,68224,5805,4005,1290,120,96,17:20 -> 18:57
T02,F23,C02,ORD,PHX,70780,81188,10408,8608,2313,120,96,19:39 -> 22:33
T03,F24,C06,DFW,DEN,19860,24504,4644,2844,1032,120,96,05:31 -> 06:48
T03,F25,C06,DEN,ORD,27427,33844,6417,4617,1426,120,96,07:37 -> 09:24
T03,F26,C06,ORD,DEN,35870,42287,6417,4617,1426,120,96,09:57 -> 11:44
T03,F27,C06,DEN,ORD,45087,51504,6417,4617,1426,120,96,12:31 -> 14:18
T03,F28,C06,ORD,LAX,54468,67077,12609,10809,2802,120,96,15:07 -> 18:37
T03,F29,C07,LAX,SFO,69530,71973,2443,643,543,120,96,19:18 -> 19:59
T03,F30,C07,SFO,LAX,74296,76739,2443,643,543,120,96,20:38 -> 21:18
T03,F31,C07,LAX,ORD,79099,91708,12609,10809,2802,120,96,21:58 -> 01:28 (+1)
T04,F32,C08,ORD,PHX,20100,30508,10408,8608,2313,120,96,05:35 -> 08:28
T04,F33,C08,PHX,ORD,33024,43432,10408,8608,2313,120,96,09:10 -> 12:03
T04,F34,C08,ORD,ATL,45797,50189,4392,2592,976,120,96,12:43 -> 13:56
T04,F35,C08,ATL,ORD,52994,57386,4392,2592,976,120,96,14:43 -> 15:56
T04,F36,C09,ORD,ATL,59858,64250,4392,2592,976,120,96,16:37 -> 17:50
T04,F37,C09,ATL,PHX,66338,77808,11470,9670,2549,120,96,18:25 -> 21:36
T04,F38,C09,PHX,DFW,80744,87012,6268,4468,1393,120,96,22:25 -> 00:10 (+1)
T05,F39,C10,ORD,LAX,20220,32829,12609,10809,2802,120,96,05:37 -> 09:07
T05,F40,C10,LAX,SFO,35481,37924,2443,643,543,120,96,09:51 -> 10:32
T05,F41,C10,SFO,LAX,40770,43213,2443,643,543,120,96,11:19 -> 12:00
T05,F42,C10,LAX,SFO,45863,48306,2443,643,543,120,96,12:44 -> 13:25
T05,F43,C10,SFO,DFW,50641,61220,10579,8779,2351,120,96,14:04 -> 17:00
T05,F44,C04,DFW,SFO,63066,73645,10579,8779,2351,120,96,17:31 -> 20:27
T05,F45,C11,SFO,DFW,76449,87028,10579,8779,2351,120,96,21:14 -> 00:10 (+1)
T06,F46,C12,DFW,ATL,19980,25263,5283,3483,1174,120,96,05:33 -> 07:01
T06,F47,C12,ATL,DFW,27425,32708,5283,3483,1174,120,96,07:37 -> 09:05
T06,F48,C12,DFW,DEN,35078,39722,4644,2844,1032,120,96,09:44 -> 11:02
T06,F49,C12,DEN,DFW,41660,46304,4644,2844,1032,120,96,11:34 -> 12:51
T06,F50,C12,DFW,JFK,49084,59137,10053,8253,2234,120,96,13:38 -> 16:25
