Itinerary,Flight_legs,Pax
I00,F00,36
I01,F01,59
I02,F02,49
I03,F02-F03,47
I04,F03,49
I05,F04,64
I06,F05,96
I07,F06,96
I08,F07,96
I09,F08,66
I10,F09,96
I11,F10,8
I12,F11,19
I13,F12,42
I14,F13,23
I15,F14,96
I16,F15,38
I17,F16,96
I18,F17,15
I19,F18,23
I20,F19,2
I21,F20,64
I22,F18-F21,39
I23,F21,19
I24,F10-F22,44
I25,F22,19
I26,F23,96
I27,F24,33
I28,F25,21
I29,F26,30
I30,F27,30
I31,F28,65
I32,F29,60
I33,F30,57
I34,F11-F31,37
I35,F30-F31,39
I36,F31,20
I37,F32,15
I38,F33,23
I39,F34,63
I40,F35,34
I41,F36,96
I42,F37,96
I43,F38,96
I44,F39,64
I45,F40,30
I46,F41,19
I47,F42,42
I48,F43,96
I49,F19-F44,36
I50,F21-F44,28
I51,F44,23
I52,F29-F45,36
I53,F45,60
I54,F46,37
I55,F47,12
I56,F47-F48,44
I57,F48,22
I58,F49,26
I59,F19-F50,18
I60,F50,45
I61,F51,96
I62,F52,96
I63,F53,96
I64,F54,67
I65,F55,20
I66,F56,14
I67,F57,34
I68,F10-F58,20
I69,F19-F58,15
I70,F58,33
I71,F50-F59,33
I72,F56-F59,23
I73,F59,12
I74,F60,96
I75,F56-F61,19
I76,F61,77
I77,F62,24
I78,F63,21
I79,F64,59
I80,F65,19
I81,F19-F66,8
I82,F47-F66,21
I83,F49-F66,28
I84,F66,19
I85,F25-F67,40
I86,F67,39
I87,F58-F68,28
I88,F68,26
I89,F69,96
I90,F54-F70,29
I91,F56-F70,16
I92,F70,51
I93,F71,96
I94,F72,11
I95,F73,61
I96,F18-F74,21
I97,F74,75
I98,F75,57
I99,F49-F76,28
I100,F76,28
I101,F11-F77,27
I102,F41-F77,30
I103,F77,24
I104,F63-F78,38
I105,F78,58
I106,F79,18
I107,F80,7
I108,F17-F81,43
I109,F72-F81,35
I110,F81,6
I111,F82,20
I112,F33-F83,43
I113,F83,53
I114,F84,96
I115,F13-F85,39
I116,F82-F85,40
I117,F85,17
I118,F86,15
I119,F87,96
I120,F88,63
I121,F19-F89,7
I122,F89,49
I123,F62-F90,31
I124,F90,65
I125,F91,96
I126,F92,23
I127,F93,96
I128,F00-F94,18
I129,F94,67
I130,F47-F95,12
I131,F95,84
I132,F96,55
I133,F97,96
I134,F98,53
I135,F99,31
I136,F10-F100,13
I137,F86-F100,46
I138,F100,12
I139,F101,96
I140,F10-F102,6
I141,F86-F102,16
I142,F102,74
I143,F44-F103,9
I144,F103,87
I145,F104,27
I146,F104-F105,46
I147,F105,50
I148,F106,96
I149,F18-F107,13
I150,F64-F107,37
I151,F107,30
I152,F108,96
I153,F109,51
I154,F47-F110,7
I155,F99-F110,46
I156,F110,43
I157,F111,96
I158,F112,11
I159,F113,24
I160,F114,96
I161,F27-F115,38
I162,F115,58
I163,F100-F116,14
I164,F116,82
I165,F117,38
I166,F118,96
I167,F119,96
I168,F120,96
I169,F121,60
I170,F15-F122,32
I171,F56-F59-F122,18
I172,F121-F122,36
I173,F122,10
I174,F123,50
I175,F124,31
I176,F32-F125,47
I177,F125,49
I178,F86-F126,4
I179,F126,34
I180,F127,96
I181,F79-F128,29
I182,F128,67
I183,F42-F129,29
I184,F126-F129,30
I185,F129,26
I186,F68-F130,31
I187,F72-F130,21
I188,F80-F130,31
I189,F130,13
I190,F131,58
I191,F132,96
I192,F24-F133,32
I193,F133,20
I194,F134,52
I195,F135,96
I196,F86-F126-F136,2
I197,F126-F136,22
I198,F24-F133-F136,15
I199,F136,38
I200,F11-F137,13
I201,F117-F137,39
I202,F137,44
I203,F25-F138,19
I204,F27-F138,28
I205,F72-F138,13
I206,F80-F138,31
I207,F138,5
I208,F139,96
I209,F140,96
I210,F141,96
I211,F00-F142,31
I212,F142,45
I213,F143,96
I214,F144,96
I215,F145,96
I216,F146,96
I217,F147,96
I218,F148,40
I219,F62-F149,23
I220,F92-F149,32
I221,F149,41
I222,F56-F150,6
I223,F150,90
I224,F151,66
I225,F15-F152,26
I226,F59-F152,10
I227,F151-F152,30
I228,F152,30
I229,F22-F153,18
I230,F68-F153,11
I231,F82-F153,18
I232,F153,49
I233,F154,49
I234,F155,67
I235,F156,96
I236,F157,96
I237,F92-F158,26
I238,F158,70
I239,F12-F159,35
I240,F57-F159,20
I241,F107-F159,16
I242,F159,12
I243,F01-F160,37
I244,F81-F160,8
I245,F160,51
I246,F161,96
I247,F162,14
I248,F163,96
I249,F164,96
I250,F148-F165,39
I251,F165,57
I252,F13-F166,21
I253,F19-F66-F166,3
I254,F66-F166,17
I255,F166,55
I256,F167,96
I257,F55-F168,43
I258,F72-F168,10
I259,F112-F168,32
I260,F168,11
I261,F169,50
I262,F170,24
I263,F171,96
I264,F19-F172,4
I265,F86-F172,9
I266,F162-F172,35
I267,F172,31
I268,F131-F173,38
I269,F173,58
I270,F19-F174,2
I271,F21-F174,10
I272,F99-F174,19
I273,F109-F174,45
I274,F174,20
I275,F175,14
I276,F176,96
I277,F177,56
I278,F162-F178,19
I279,F178,77
I280,F46-F179,33
I281,F148-F179,17
I282,F155-F179,29
I283,F179,17
I284,F180,96
I285,F181,62
I286,F182,33
I287,F175-F183,37
I288,F183,59
I289,F184,53
I290,F124-F185,29
I291,F185,67
I292,F186,96
I293,F35-F187,31
I294,F63-F187,26
I295,F187,39
