,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,C00,452,50,89%,8,8,0%
1,C01,354,48,86%,3,3,0%
2,C02,452,50,89%,6,6,0%
3,C03,671,50,93%,2,2,0%
4,C04,800,50,94%,7,7,0%
5,C05,671,50,93%,2,2,0%
6,C06,800,49,94%,5,5,0%
7,C07,401,49,88%,3,3,0%
8,C08,789,40,95%,2,2,0%
9,C09,789,50,94%,10,10,0%
10,C10,722,50,93%,3,3,0%
11,C11,658,50,92%,7,7,0%
12,C12,722,50,93%,5,5,0%
13,C13,735,50,93%,4,4,0%
14,C14,671,50,93%,6,6,0%
15,C15,789,40,95%,2,2,0%
16,C16,789,46,94%,6,6,0%
17,C17,735,50,93%,4,4,0%
18,C18,658,50,92%,3,3,0%
