Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,T00F00,C00,ORD,DFW,20760.00000863879,26565.000008076466,5804.999999437674,4005.000018905973,1290,12,9,05:46 -> 07:22
T00,T00F01,C00,DFW,LAX,28378.00000503401,37301.00000393916,8922.99999890515,7122.999997683643,1983,12,9,07:52 -> 10:21
T00,T00F02,C00,LAX,DFW,39929.00000407579,48852.000002995366,8922.999998919579,7122.999997635837,1983,12,9,11:05 -> 13:34
T00,T00F03,C00,DFW,LAX,51445.000004093534,60368.00000297441,8922.999998880878,7122.999997173198,1983,12,9,14:17 -> 16:46
T00,T00F04,C01,LAX,ORD,62362.00000446729,74971.00000180613,12608.999997338833,10808.999994528473,2802,12,9,17:19 -> 20:49
T00,T00F05,C01,ORD,JFK,77595.00000395639,82936.00000349093,5340.999999534542,3540.9999989325233,1187,12,9,21:33 -> 23:02
T00,T00F06,C01,JFK,ORD,84758.00000545649,90099.00000500167,5340.99999954518,3540.999998989834,1187,12,9,23:32 -> 01:01
T01,T01F00,C02,DFW,DEN,19980.000008622817,24624.00000826469,4643.999999641874,2844.000002692001,1032,12,9,05:33 -> 06:50
T01,T01F01,C02,DEN,ORD,27071.000005017453,33488.00000431121,6416.9999992937555,4616.999968739225,1426,12,9,07:31 -> 09:18
T01,T01F02,C02,ORD,DFW,35954.000003965884,41759.0000034821,5804.999999516214,4004.999998869462,1290,12,9,09:59 -> 11:35
T01,T01F03,C02,DFW,ATL,44360.00000493381,49643.00000445167,5282.999999517859,3482.999998960603,1174,12,9,12:19 -> 13:47
T01,T01F04,C02,ATL,DFW,51542.00000399101,56825.00000353165,5282.99999954064,3482.999999001347,1174,12,9,14:19 -> 15:47
T01,T01F05,C02,DFW,ATL,59569.00000456167,64852.000004078705,5282.9999995170365,3482.999998985868,1174,12,9,16:32 -> 18:00
T01,T01F06,C03,ATL,ORD,66954.00000394159,71346.00000363047,4391.99999968888,2591.9999993016786,976,12,9,18:35 -> 19:49
T01,T01F07,C03,ORD,DEN,73361.0000040149,79778.00000336324,6416.999999348336,4616.999998395428,1426,12,9,20:22 -> 22:09
T01,T01F08,C03,DEN,ORD,82388.00000552271,88805.00000489663,6416.999999373918,4616.999998529902,1426,12,9,22:53 -> 00:40
