Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,DFW,ORD,19860.0,25665.0,5805.0,160,128,05:31 -> 07:07,,0
T00,F01,C00,ORD,ATL,41313.0,45705.0,4392.0,160,128,11:28 -> 12:41,,0
T00,F02,C00,ATL,ORD,67456.0,71848.0,4392.0,160,128,18:44 -> 19:57,,0
T00,F03,C01,ORD,ATL,83286.0,87678.0,4392.0,160,128,23:08 -> 00:21 (+1),,0
T01,F04,C02,ORD,LAX,19980.0,32589.0,12609.0,120,96,05:33 -> 09:03,,0
T01,F05,C02,LAX,ORD,57781.0,70390.0,12609.0,120,96,16:03 -> 19:33,,0
T02,F06,C03,DFW,ATL,26471.051579285966,31754.051579285966,5283.0,200,160,07:21 -> 08:49,01:37,1
T02,F07,C03,ATL,DFW,55254.0,60537.0,5283.0,200,160,15:20 -> 16:48,,0
T02,F08,C03,DFW,ORD,75976.0,81781.0,5805.0,200,160,21:06 -> 22:43,,0
T03,F09,C04,ATL,DFW,27522.35598770796,32805.35598770796,5283.0,160,128,07:38 -> 09:06,02:02,1
T03,F10,C04,DFW,ATL,66003.69968210072,71286.69968210072,5283.0,160,96,18:20 -> 19:48,03:08,1
T03,F11,C04,ATL,DFW,84098.40120421867,89381.40120421867,5283.0,160,128,23:21 -> 00:49 (+1),01:02,1
T04,F12,C05,ATL,ORD,20820.0,25212.0,4392.0,160,128,05:47 -> 07:00,,0
T04,F13,C05,ORD,ATL,33961.0,38353.0,4392.0,160,128,09:26 -> 10:39,,0
T04,F14,C05,ATL,DFW,43286.0,48569.0,5283.0,160,128,12:01 -> 13:29,,0
T04,F15,C05,DFW,ATL,56657.0,61940.0,5283.0,160,160,15:44 -> 17:12,,0
