Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,DFW,ORD,19859.999999999985,25664.999999999985,0.0,0.0,05:30 -> 07:07
I01,I01,F01,F01,68,ORD,ATL,41312.99999999997,45704.99999999997,0.0,0.0,11:28 -> 12:41
I02,I02,F02,F02,128,ATL,ORD,67456.0,71848.0,0.0,0.0,18:44 -> 19:57
I03,I03,F03,F03,128,ORD,ATL,83580.99999999991,87972.99999999991,294.9999999999127,644.6,23:13 -> 00:26 (+1)
I04,I04,F04,F04,96,ORD,LAX,19980.0,32589.0,0.0,0.0,05:33 -> 09:03
I05,I05,F05,F05,96,LAX,ORD,57781.0,70390.0,0.0,0.0,16:03 -> 19:33
I06,I06,F06,F06,160,DFW,ATL,26471.051579285955,31754.051579285955,5831.051579285955,15925.8,07:21 -> 08:49
I07,I07,F07,F07,160,ATL,DFW,55253.99999999996,60536.99999999996,0.0,0.0,15:20 -> 16:48
I08,I08,F08,F08,160,DFW,ORD,75975.99999999996,81780.99999999996,0.0,0.0,21:06 -> 22:43
I09,I09,F09,F09,128,ATL,DFW,27522.35598770794,32805.35598770794,7362.355987707939,16086.5,07:38 -> 09:06
I10,I10,F10,F10,56,DFW,ATL,66003.69968210072,71286.69968210072,11286.69968210072,10789.2,18:20 -> 19:48
I11,I11,F01-F11,F01-F11,60,ORD,DFW,41312.99999999997,89381.40120421867,3728.401204218666,3818.6,11:28 -> 00:49 (+1)
I12,I12,F11,F11,68,ATL,DFW,84098.40120421867,89381.40120421867,3728.401204218666,4327.8,23:21 -> 00:49 (+1)
I13,I13,F12,F12,128,ATL,ORD,20819.999999999985,25211.999999999985,0.0,0.0,05:46 -> 07:00
I14,I14,F13,F13,128,ORD,ATL,33961.0,38353.0,0.0,0.0,09:26 -> 10:39
I15,I15,F14,F14,128,ATL,DFW,43285.99999999997,48568.99999999997,0.0,0.0,12:01 -> 13:29
I16,I10,F15,F10,72,DFW,ATL,56656.99999999996,61939.99999999996,1939.9999999999636,2384.3,15:44 -> 17:12
I16,I16,F15,F15,128,DFW,ATL,56656.99999999996,61939.99999999996,0.0,0.0,15:44 -> 17:12
