Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,81,IAD,FLL,24456.402452980143,30994.402452980135,3876.4024529801354,5359.8,06:47 -> 08:36
I01,I01,F00-F01,F00-F01,47,IAD,LGA,24456.402452980143,53339.0,0.0,0.0,06:47 -> 14:48
I02,I02,F01,F01,81,FLL,LGA,45536.0,53339.0,0.0,0.0,12:38 -> 14:48
I03,I03,F02,F02,128,LGA,FLL,85633.0,93436.0,0.0,0.0,23:47 -> 01:57 (+1)
I04,I04,F03,F03,96,LGA,MCO,20280.0,27165.0,0.0,0.0,05:38 -> 07:32
I05,I05,F04,F04,96,MCO,ORD,54884.380562911036,62174.380562911036,1803.3805629110357,2955.2,15:14 -> 17:16
I06,I06,F05,F05,96,ORD,LGA,64692.0,69988.0,0.0,0.0,17:58 -> 19:26
I07,I07,F06,F06,96,LGA,ATL,83887.0,89395.0,0.0,0.0,23:18 -> 00:49 (+1)
I08,I08,F07,F07,160,DAL,LAX,32470.877826768483,41474.87782676848,12670.877826768483,34606.7,09:01 -> 11:31
I09,I09,F08,F08,160,LAX,DFW,54894.0,63817.0,0.0,0.0,15:14 -> 17:43
I10,I10,F09,F09,160,TPA,DAL,19920.0,26553.0,0.0,0.0,05:32 -> 07:22
I100,I100,F85,F85,96,IAD,MDW,21000.0,25171.0,0.0,0.0,05:50 -> 06:59
I101,I101,F86,F86,96,MDW,EWR,41338.0,46472.0,0.0,0.0,11:28 -> 12:54
I102,I102,F87,F87,96,EWR,DEN,79834.0,91426.0,0.0,0.0,22:10 -> 01:23 (+1)
I103,I103,F88,F88,128,MCO,IAH,20580.0,26754.0,0.0,0.0,05:43 -> 07:25
I104,I104,F89,F89,128,IAH,ORD,61462.0,68167.0,0.0,0.0,17:04 -> 18:56
I105,I105,F10-F90,F10-F90,37,DAL,CLT,40011.34124864502,77124.78673586708,2479.7867358670774,1566.2,11:06 -> 21:25
I106,I106,F57-F90,F57-F90,17,DCA,CLT,30351.396731193014,77124.78673586708,2479.7867358670774,719.6,08:25 -> 21:25
I107,I107,F90,F90,74,ORD,CLT,72786.78673586708,77124.78673586708,2479.7867358670774,3132.4,20:13 -> 21:25
I108,I108,F91,F91,96,MSP,ATL,20460.0,27025.0,0.0,0.0,05:41 -> 07:30
I109,I109,F67-F92,F67-F92,34,TPA,MSP,20280.0,36345.0,0.0,0.0,05:38 -> 10:05
I11,I11,F10,F10,72,DAL,ORD,40011.34124864502,45793.34124864502,3498.341248645018,4299.6,11:06 -> 12:43
I110,I110,F92,F92,62,ATL,MSP,29780.0,36345.0,0.0,0.0,08:16 -> 10:05
I111,I111,F93,F93,96,MSP,BOS,75399.08100780711,83517.08100780711,7213.081007807108,11820.2,20:56 -> 23:11
I12,I12,F10-F11,F10-F11,51,DAL,DFW,40011.34124864502,53398.34124864502,747.3412486450179,650.6,11:06 -> 14:49
I13,I13,F11,F11,64,ORD,DFW,47593.34124864502,53398.34124864502,747.3412486450179,816.5,13:13 -> 14:49
I14,I14,F11-F12,F11-F12,45,ORD,DEN,47593.34124864502,86662.70605770341,8714.706057703414,6694.2,13:13 -> 00:04 (+1)
I15,I15,F12,F12,115,DFW,DEN,82018.70605770341,86662.70605770341,8714.706057703414,17107.4,22:46 -> 00:04 (+1)
I16,I16,F13,F13,128,MIA,JFK,20880.0,28786.0,0.0,0.0,05:48 -> 07:59
I17,I17,F14,F14,128,JFK,MIA,69958.78618248652,77864.78618248652,11278.786182486525,24643.7,19:25 -> 21:37
I18,I18,F15,F15,96,ORD,ATL,33681.019034800425,38073.019034800425,13641.019034800425,22353.8,09:21 -> 10:34
I19,I19,F16,F16,96,ATL,ORD,55044.0,59436.0,0.0,0.0,15:17 -> 16:30
I20,I20,F17,F17,96,ORD,DAL,79724.0,85506.0,0.0,0.0,22:08 -> 23:45
I21,I21,F18,F18,88,PHL,DFW,21369.11377702458,30783.11377702458,1089.1137770245805,1636.0,05:56 -> 08:33
