Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,IAD,FLL,24456.402452980143,30994.402452980135,6537.999999999993,160,128,06:47 -> 08:36,01:04,1
T00,F01,C00,FLL,LGA,45536.0,53339.0,7803.0,160,128,12:38 -> 14:48,,0
T00,F02,C00,LGA,FLL,85633.0,93436.0,7803.0,160,128,23:47 -> 01:57 (+1),,0
T01,F03,C01,LGA,MCO,20280.0,27165.0,6885.0,120,96,05:38 -> 07:32,,0
T01,F04,C01,MCO,ORD,54884.380562911036,62174.380562911036,7290.0,120,96,15:14 -> 17:16,00:30,1
T01,F05,C01,ORD,LGA,64692.0,69988.0,5296.0,120,96,17:58 -> 19:26,,0
T01,F06,C02,LGA,ATL,83887.0,89395.0,5508.0,120,96,23:18 -> 00:49 (+1),,0
T02,F07,C03,DAL,LAX,32470.877826768483,41474.87782676848,9004.0,200,160,09:01 -> 11:31,03:31,1
T02,F08,C03,LAX,DFW,54894.0,63817.0,8923.0,200,160,15:14 -> 17:43,,0
T03,F09,C04,TPA,DAL,19920.0,26553.0,6633.0,200,160,05:32 -> 07:22,,0
T03,F10,C04,DAL,ORD,40011.34124864502,45793.34124864502,5782.0,200,160,11:06 -> 12:43,00:58,1
T03,F11,C04,ORD,DFW,47593.34124864502,53398.34124864502,5805.0,200,160,13:13 -> 14:49,00:12,2
T03,F12,C03,DFW,DEN,82018.70605770341,86662.70605770341,4644.0,200,160,22:46 -> 00:04 (+1),02:25,1
T04,F13,C05,MIA,JFK,20880.0,28786.0,7906.0,160,128,05:48 -> 07:59,,0
T04,F14,C05,JFK,MIA,69958.78618248652,77864.78618248652,7906.0,160,128,19:25 -> 21:37,03:07,1
T05,F15,C06,ORD,ATL,33681.019034800425,38073.019034800425,4392.0,120,96,09:21 -> 10:34,03:47,1
T05,F16,C06,ATL,ORD,55044.0,59436.0,4392.0,120,96,15:17 -> 16:30,,0
T05,F17,C06,ORD,DAL,79724.0,85506.0,5782.0,120,96,22:08 -> 23:45,,0
T06,F18,C07,PHL,DFW,21369.11377702458,30783.11377702458,9414.0,160,88,05:56 -> 08:33,00:18,1
T06,F19,C04,DFW,LAX,65566.0,74489.0,8923.0,160,128,18:12 -> 20:41,,0
T07,F20,C08,LAS,ORD,19980.0,30919.0,10939.0,200,160,05:33 -> 08:35,,0
T07,F21,C08,ORD,MCO,40396.0986553315,47686.0986553315,7290.0,200,160,11:13 -> 13:14,00:30,1
T07,F22,C09,MCO,ORD,76891.0,84181.0,7290.0,200,160,21:21 -> 23:23,,0
T08,F23,C10,ATL,IAH,20418.736574304025,25399.736574304025,4981.0,120,96,05:40 -> 07:03,00:07,1
T08,F24,C10,IAH,CLT,54868.45307635522,61465.45307635522,6597.0,120,96,15:14 -> 17:04,02:20,1
T08,F25,C10,CLT,MDW,63265.45307635522,67495.45307635522,4230.0,120,64,17:34 -> 18:44,02:07,2
T09,F26,C11,LGA,DFW,23684.622588692946,33723.622588692946,10039.0,160,128,06:34 -> 09:22,01:01,1
T09,F27,C07,DFW,IAD,35523.622588692946,43992.622588692946,8469.0,160,128,09:52 -> 12:13,00:20,2
T09,F28,C12,IAD,MIA,67603.88236824308,74290.88236824308,6687.0,160,128,18:46 -> 20:38,00:44,1
T10,F29,C13,DEN,IAD,20160.0,30649.0,10489.0,200,160,05:36 -> 08:30,,0
T10,F30,C07,IAD,MIA,55575.0,62262.0,6687.0,200,160,15:26 -> 17:17,,0
T10,F31,C05,MIA,IAD,79664.78618248652,86351.78618248652,6687.0,200,160,22:07 -> 23:59,00:07,2
T11,F32,C14,FLL,MDW,20460.0,28920.0,8460.0,160,128,05:41 -> 08:02,,0
T11,F33,C14,MDW,ATL,35966.0,40245.0,4279.0,160,128,09:59 -> 11:10,,0
T11,F34,C14,ATL,JFK,81331.59421106434,86830.59421106434,5499.0,160,88,22:35 -> 00:07 (+1),03:53,1
T12,F35,C15,TPA,JFK,20940.0,28225.0,7285.0,200,160,05:49 -> 07:50,,0
T12,F36,C15,JFK,ATL,57512.45196236183,63011.45196236183,5499.0,200,160,15:58 -> 17:30,00:31,1
T12,F37,C15,ATL,JFK,68396.0,73895.0,5499.0,200,200,18:59 -> 20:31,,0
T13,F38,C16,PHL,DFW,20580.0,29994.0,9414.0,200,200,05:43 -> 08:19,,0
T13,F39,C11,DFW,PHL,37460.0,46874.0,9414.0,200,160,10:24 -> 13:01,,0
T13,F40,C17,PHL,FLL,63939.0,71139.0,7200.0,200,160,17:45 -> 19:45,,0
T13,F41,C17,FLL,PHL,72941.0,80141.0,7200.0,200,160,20:15 -> 22:15,,0
T14,F42,C18,SFO,MSP,20820.0,32299.0,11479.0,160,128,05:47 -> 08:58,,0
