Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,SEA,DFW,20580,32586,2
I01,F00-F01,SEA,ATL,20580,56287,47
I02,F01,DFW,ATL,51004,56287,29
I03,F02,JFK,DEN,20040,31780,2
I04,F03,DEN,EWR,42147,53739,34
I05,F03-F04,DEN,ATL,42147,91788,41
I06,F04,EWR,ATL,86393,91788,55
I07,F05,DEN,PHX,20940,25296,9
I08,F06,PHX,SFO,45992,50699,128
I09,F07,IAH,LAX,21000,30967,21
I10,F08,LAX,IAH,62439,72406,57
I11,F09,DFW,DEN,20220,24864,5
I12,F02-F10,JFK,DFW,20040,49878,10
I13,F10,DEN,DFW,45234,49878,6
I14,F11,DFW,LAS,85808,93431,160
I15,F12,LAS,DFW,20880,28503,2
I16,F12-F13,LAS,MIA,20880,65701,56
I17,F13,DFW,MIA,57592,65701,64
I18,F14,MIA,DFW,69863,77972,96
I19,F15,DFW,MIA,84886,92995,160
I20,F16,MCO,PHX,20160,33520,63
I21,F17,PHX,MCO,67801,81161,96
I22,F18,DEN,ATL,20940,29607,7
I23,F19,ATL,DEN,42873,51540,3
I24,F20,DEN,ATL,53894,62561,31
I25,F01-F21,DFW,IAH,51004,75172,27
I26,F21,ATL,IAH,70191,75172,69
I27,F22,MIA,ATL,20160,24475,3
I28,F23,ATL,DFW,39654,44937,2
I29,F12-F24,LAS,ATL,20880,84887,31
I30,F24,DFW,ATL,79604,84887,65
I31,F25,LAX,DEN,20220,26452,4
I32,F26,DEN,LAX,43165,49397,85
I33,F07-F27,IAH,DEN,21000,81345,50
I34,F27,LAX,DEN,75113,81345,78
I35,F28,SEA,SFO,19860,24778,14
I36,F28-F29,SEA,DFW,19860,42695,24
I37,F29,SFO,DFW,32116,42695,3
I38,F00-F30,SEA,ATL,20580,50229,25
I39,F30,DFW,ATL,44946,50229,37
I40,F31,ATL,DEN,57275,65942,47
I41,F25-F32,LAX,ORD,20220,78770,60
I42,F32,DEN,ORD,72353,78770,25
I43,F33,ATL,JFK,20940,26439,29
I44,F34,JFK,ATL,36427,41926,7
I45,F35,ATL,MCO,73665,76590,96
I46,F36,EWR,ORD,19860,25053,4
I47,F37,ORD,LAS,42820,53759,30
I48,F38,LAS,ATL,61988,74606,96
I49,F39,SFO,IAH,20400,32221,12
I50,F40,IAH,MIA,59833,66803,38
I51,F41,MIA,JFK,75116,83022,160
I52,F42,JFK,MCO,20640,27484,17
I53,F43,MCO,CLT,38055,41452,31
I54,F44,CLT,MCO,47188,50585,18
I55,F45,MCO,CLT,81497,84894,96
I56,F46,MCO,ATL,20940,23865,19
I57,F47,ATL,JFK,56537,62036,54
I58,F48,JFK,DFW,75238,85291,96
I59,F49,JFK,ATL,20460,25959,11
I60,F50,ATL,MIA,37793,42108,56
I61,F51,MIA,EWR,46331,54206,102
I62,F51-F52,MIA,CLT,46331,63230,30
I63,F52,EWR,CLT,59405,63230,102
I64,F53,CLT,MIA,81414,86134,160
I65,F54,SEA,LAX,21000,27912,11
I66,F55,LAX,SEA,36484,43396,46
I67,F55-F56,LAX,ORD,36484,60974,58
I68,F56,SEA,ORD,48550,60974,6
I69,F57,DEN,LAS,20220,24760,10
I70,F58,LAS,SEA,53136,59413,96
I71,F59,SEA,ORD,20160,32584,6
I72,F36-F60,EWR,SEA,19860,53895,32
I73,F60,ORD,SEA,41471,53895,35
I74,F61,SEA,ORD,60700,73124,128
I75,F62,CLT,IAH,20040,26637,21
I76,F39-F63,SFO,MIA,20400,49881,74
