,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,C00,2686,50,98%,11,11,0%
1,C01,3385,45,99%,2,2,0%
2,C02,2838,24,99%,6,6,0%
3,C03,2987,48,98%,4,4,0%
4,C04,2959,50,98%,8,8,0%
5,C05,3663,46,99%,4,4,0%
6,C06,3231,46,99%,8,8,0%
7,C07,3483,50,99%,4,4,0%
8,C08,2987,50,98%,6,6,0%
9,C09,2833,48,98%,4,4,0%
10,C10,2971,44,99%,8,8,0%
11,C11,3133,41,99%,2,2,0%
12,C12,2926,48,98%,8,8,0%
13,C13,2959,41,99%,4,4,0%
14,C14,2448,50,98%,8,8,0%
15,C15,3370,41,99%,3,3,0%
16,C16,3231,50,98%,8,8,0%
17,C17,2548,50,98%,8,8,0%
18,C18,3230,50,98%,5,5,0%
19,C19,2704,49,98%,6,6,0%
20,C20,1935,39,98%,7,7,0%
21,C21,3365,49,99%,3,3,0%
22,C22,2905,50,98%,6,6,0%
23,C23,3385,50,99%,5,5,0%
24,C24,2386,50,98%,6,6,0%
25,C25,2765,49,98%,7,7,0%
26,C26,3554,50,99%,5,5,0%
27,C27,3161,50,98%,3,3,0%
28,C28,3663,48,99%,6,6,0%
29,C29,2972,42,99%,2,2,0%
30,C30,3301,50,98%,7,7,0%
31,C31,3557,49,99%,5,5,0%
32,C32,2765,50,98%,8,8,0%
33,C33,3554,40,99%,3,3,0%
34,C34,2733,34,99%,5,5,0%
35,C35,3098,47,98%,2,2,0%
36,C36,2412,50,98%,8,8,0%
37,C37,2565,47,98%,6,6,0%
38,C38,2955,41,99%,2,2,0%
39,C39,2313,50,98%,6,6,0%
40,C40,3161,49,98%,3,3,0%
41,C41,2959,49,98%,6,6,0%
42,C42,3557,36,99%,7,7,0%
43,C43,3551,45,99%,2,2,0%
44,C44,2833,50,98%,9,9,0%
45,C45,2415,38,98%,2,2,0%
46,C46,2955,45,98%,5,5,0%
47,C47,2151,50,98%,2,2,0%
48,C48,3370,41,99%,5,5,0%
49,C49,2765,49,98%,3,3,0%
50,C50,3134,37,99%,7,7,0%
51,C51,3554,12,100%,6,6,0%
52,C52,2543,49,98%,3,3,0%
53,C53,3128,49,98%,7,7,0%
54,C54,3301,50,98%,4,4,0%
55,C55,2833,50,98%,8,8,0%
56,C56,2838,16,99%,2,2,0%
57,C57,3480,49,99%,6,6,0%
58,C58,2776,44,98%,6,6,0%
59,C59,3400,49,99%,2,2,0%
60,C60,2151,50,98%,4,4,0%
61,C61,2686,48,98%,2,2,0%
62,C62,2548,50,98%,5,5,0%
63,C63,3480,49,99%,3,3,0%
64,C64,3133,44,99%,4,4,0%
65,C65,3231,49,98%,3,3,0%
66,C66,3290,48,99%,6,6,0%
67,C67,2972,42,99%,2,2,0%
68,C68,3591,50,99%,5,5,0%
69,C69,2833,49,98%,2,2,0%
70,C70,3306,43,99%,5,5,0%
71,C71,2128,50,98%,3,3,0%
