,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,T00,3290,34,99%,11,11,0%
1,T01,3304,48,99%,8,8,0%
2,T02,2522,50,98%,8,8,0%
3,T03,3591,49,99%,9,9,0%
4,T04,2833,49,98%,8,8,0%
5,T05,2833,49,98%,8,8,0%
6,T06,3400,48,99%,9,9,0%
7,T07,3234,50,98%,9,9,0%
8,T08,3663,50,99%,10,10,0%
9,T09,2987,50,98%,9,9,0%
10,T10,2448,50,98%,8,8,0%
11,T11,2972,50,98%,7,7,0%
12,T12,2177,37,98%,7,7,0%
13,T13,2959,50,98%,7,7,0%
14,T14,2128,50,98%,9,9,0%
15,T15,3483,43,99%,6,6,0%
16,T16,2926,50,98%,7,7,0%
17,T17,3128,49,98%,9,9,0%
18,T18,2704,50,98%,10,10,0%
19,T19,2972,48,98%,6,6,0%
20,T20,3230,47,99%,10,10,0%
21,T21,3114,50,98%,9,9,0%
22,T22,2972,49,98%,8,8,0%
23,T23,2126,49,98%,7,7,0%
24,T24,3557,44,99%,7,7,0%
25,T25,3284,49,99%,10,10,0%
26,T26,3365,50,99%,7,7,0%
27,T27,2955,45,98%,6,6,0%
28,T28,2522,49,98%,8,8,0%
29,T29,3554,48,99%,8,8,0%
30,T30,3552,50,99%,8,8,0%
31,T31,2833,50,98%,10,10,0%
32,T32,3284,49,99%,9,9,0%
33,T33,3400,49,99%,8,8,0%
34,T34,2987,46,98%,7,7,0%
35,T35,3234,48,99%,8,8,0%
36,T36,3557,45,99%,7,7,0%
37,T37,3557,48,99%,9,9,0%
38,T38,3231,49,98%,8,8,0%
39,T39,2838,47,98%,7,7,0%
