index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C00,SFO,LAS,19860.0,22848.0,2988.0,1187.9999995982316,664,120,96,05:31 -> 06:20,
1,T00,F01,C00,LAS,DEN,25133.0,29673.0,4540.0,2739.999999018258,1009,120,96,06:58 -> 08:14,
2,T00,F02,C00,DEN,PHX,32173.0,36529.0,4356.0,2555.999999069025,968,120,96,08:56 -> 10:08,
3,T00,F03,C00,PHX,LAS,39235.0,41080.0,1845.0,44.999999988224296,410,120,96,10:53 -> 11:24,
4,T00,F04,C00,LAS,PHX,43852.0,45697.0,1845.0,44.99999998825456,410,120,96,12:10 -> 12:41,
5,T00,F05,C00,PHX,LAX,48575.0,51248.0,2673.0,872.9999997184547,594,120,96,13:29 -> 14:14,
6,T00,F06,C00,LAX,SFO,53781.0,56224.0,2443.0,642.9999998001201,543,120,96,14:56 -> 15:37,
7,T00,F07,C00,SFO,LAX,59062.0,61505.0,2443.0,642.9999997999549,543,120,96,16:24 -> 17:05,
8,T00,F08,C00,LAX,DFW,64271.00000182148,73193.99999801871,8922.999996197235,7123.000057774538,1983,120,96,17:51 -> 20:19,
9,T00,F09,C01,DFW,LAS,75983.00000137358,83605.99999865385,7622.999997280262,5822.99993802073,1694,120,96,21:06 -> 23:13,
10,T01,F10,C02,LAX,DFW,20160.0,29083.0,8923.0,7122.99999615909,1983,120,96,05:36 -> 08:04,
11,T01,F11,C02,DFW,LAX,31847.0,40770.0,8923.0,7122.999997544871,1983,120,96,08:50 -> 11:19,
12,T01,F12,C02,LAX,DFW,43221.000001816814,52143.9999980234,8922.999996206585,7122.999950213302,1983,120,96,12:00 -> 14:29,
13,T01,F13,C02,DFW,ORD,55135.000000847525,60939.99999906848,5804.999998220956,4004.999998018938,1290,120,96,15:18 -> 16:55,
14,T01,F14,C03,ORD,DFW,63089.00000083338,68893.99999917654,5804.999998343155,4004.9999910146335,1290,120,96,17:31 -> 19:08,
15,T01,F15,C03,DFW,ATL,71093.00000071061,76375.99999921824,5282.999998507628,3482.9999976900945,1174,120,96,19:44 -> 21:12,
16,T01,F16,C03,ATL,DEN,78285.00000170035,86951.99999831457,8666.99999661422,6866.999996741539,1926,120,96,21:44 -> 00:09 (+1),
17,T02,F17,C04,CLT,ORD,19920.0,24258.0,4338.0,2537.999999064399,964,120,96,05:32 -> 06:44,
18,T02,F18,C04,ORD,CLT,27110.00000038954,31447.99999957728,4337.999999187741,2537.99999798344,964,120,96,07:31 -> 08:44,
19,T02,F19,C04,CLT,DFW,34325.00000098087,41087.99999891118,6762.99999793031,4962.999996117258,1503,120,96,09:32 -> 11:24,
20,T02,F20,C04,DFW,CLT,43734.000000995125,50496.999998912805,6762.999997917679,4962.999995993771,1503,120,96,12:08 -> 14:01,
21,T02,F21,C04,CLT,DFW,53316.00000098022,60078.99999891183,6762.999997931613,4962.999995930159,1503,120,96,14:48 -> 16:41,
22,T02,F22,C05,DFW,ORD,62419.00000085496,68223.99999906107,5804.999998206105,4004.9999481604245,1290,120,96,17:20 -> 18:57,
23,T02,F23,C02,ORD,PHX,70780.00000240094,81187.99999761315,10407.999995212216,8607.999990958711,2313,120,96,19:39 -> 22:33,
24,T03,F24,C06,DFW,DEN,19860.0,24504.0,4644.0,2843.999998305667,1032,120,96,05:31 -> 06:48,
25,T03,F25,C06,DEN,ORD,27427.0,33844.0,6417.0,4616.999997073375,1426,120,96,07:37 -> 09:24,
