,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,I00,2962,50,98%,2,2,0%
1,I01,2399,50,98%,2,2,0%
2,I02,1565,50,97%,2,2,0%
3,I03,2244,48,98%,3,3,0%
4,I04,1227,50,96%,2,2,0%
5,I05,506,49,90%,2,2,0%
6,I06,398,49,88%,2,2,0%
7,I07,175,21,88%,2,2,0%
8,I08,169,50,70%,2,2,0%
9,I09,109,49,55%,2,2,0%
10,I10,76,40,47%,2,2,0%
11,I11,1913,16,99%,2,2,0%
12,I12,1051,50,95%,2,2,0%
13,I13,773,46,94%,2,2,0%
14,I14,457,49,89%,2,2,0%
15,I15,191,50,74%,2,2,0%
16,I16,83,50,40%,2,2,0%
17,I17,17,17,0%,2,2,0%
18,I18,1768,24,99%,2,2,0%
19,I19,2753,50,98%,2,2,0%
20,I20,435,44,90%,2,2,0%
21,I21,1222,42,97%,2,2,0%
22,I22,1800,50,97%,3,3,0%
23,I23,337,50,85%,2,2,0%
24,I24,2378,42,98%,3,3,0%
25,I25,339,49,86%,2,2,0%
26,I26,32,32,0%,2,2,0%
27,I27,2941,49,98%,2,2,0%
28,I28,1767,50,97%,2,2,0%
29,I29,1595,49,97%,2,2,0%
30,I30,893,50,94%,2,2,0%
31,I31,178,47,74%,2,2,0%
32,I32,22,22,0%,2,2,0%
33,I33,14,14,0%,2,2,0%
34,I34,1635,45,97%,3,3,0%
35,I35,149,49,67%,3,3,0%
36,I36,64,41,36%,2,2,0%
37,I37,2135,50,98%,2,2,0%
38,I38,1679,50,97%,2,2,0%
39,I39,467,50,89%,2,2,0%
40,I40,283,49,83%,2,2,0%
41,I41,418,45,89%,2,2,0%
42,I42,47,47,0%,2,2,0%
43,I43,47,47,0%,2,2,0%
44,I44,1800,50,97%,2,2,0%
45,I45,748,43,94%,2,2,0%
46,I46,579,40,93%,2,2,0%
47,I47,325,50,85%,2,2,0%
48,I48,486,17,97%,2,2,0%
49,I49,549,46,92%,3,3,0%
50,I50,214,48,78%,3,3,0%
51,I51,106,50,53%,2,2,0%
52,I52,109,47,57%,3,3,0%
53,I53,49,49,0%,2,2,0%
54,I54,2740,49,98%,2,2,0%
55,I55,1886,48,97%,2,2,0%
56,I56,2750,50,98%,3,3,0%
57,I57,1854,37,98%,2,2,0%
58,I58,676,50,93%,2,2,0%
59,I59,835,50,94%,3,3,0%
60,I60,582,50,91%,2,2,0%
61,I61,67,49,27%,2,2,0%
62,I62,10,10,0%,2,2,0%
63,I63,11,11,0%,2,2,0%
64,I64,2201,48,98%,2,2,0%
65,I65,1251,50,96%,2,2,0%
66,I66,1695,24,99%,2,2,0%
67,I67,397,50,87%,2,2,0%
68,I68,2581,46,98%,3,3,0%
69,I69,835,50,94%,3,3,0%
70,I70,394,48,88%,2,2,0%
71,I71,760,50,93%,3,3,0%
72,I72,2093,48,98%,3,3,0%
73,I73,69,50,28%,2,2,0%
74,I74,21,21,0%,2,2,0%
75,I75,2351,25,99%,3,3,0%
76,I76,8,8,0%,2,2,0%
77,I77,2740,49,98%,2,2,0%
78,I78,1861,49,97%,2,2,0%
79,I79,2377,48,98%,2,2,0%
80,I80,435,44,90%,2,2,0%
81,I81,974,50,95%,3,3,0%
82,I82,1863,50,97%,3,3,0%
83,I83,893,50,94%,3,3,0%
84,I84,582,49,92%,2,2,0%
85,I85,1891,48,97%,3,3,0%
86,I86,249,49,80%,2,2,0%
87,I87,457,45,90%,3,3,0%
88,I88,82,42,49%,2,2,0%
89,I89,7,7,0%,2,2,0%
90,I90,2771,48,98%,3,3,0%
91,I91,2093,48,98%,3,3,0%
92,I92,4,4,0%,2,2,0%
93,I93,2753,50,98%,2,2,0%
94,I94,1768,24,99%,2,2,0%
95,I95,2379,50,98%,2,2,0%
96,I96,2201,50,98%,3,3,0%
97,I97,835,49,94%,2,2,0%
98,I98,397,50,87%,2,2,0%
99,I99,586,49,92%,3,3,0%
100,I100,188,50,73%,2,2,0%
101,I101,1635,45,97%,3,3,0%
102,I102,883,50,94%,3,3,0%
103,I103,161,50,69%,2,2,0%
104,I104,2386,50,98%,3,3,0%
105,I105,5,5,0%,2,2,0%
106,I106,1800,50,97%,2,2,0%
107,I107,1296,36,97%,2,2,0%
108,I108,2611,50,98%,3,3,0%
109,I109,2611,50,98%,3,3,0%
110,I110,510,49,90%,2,2,0%
111,I111,149,46,69%,2,2,0%
112,I112,1953,50,97%,3,3,0%
113,I113,248,48,81%,2,2,0%
114,I114,69,47,32%,2,2,0%
115,I115,394,50,87%,3,3,0%
116,I116,161,29,82%,3,3,0%
117,I117,4,4,0%,2,2,0%
118,I118,1476,24,98%,2,2,0%
119,I119,1486,47,97%,2,2,0%
120,I120,397,50,87%,2,2,0%
121,I121,1152,50,96%,3,3,0%
122,I122,544,48,91%,2,2,0%
123,I123,2457,50,98%,3,3,0%
124,I124,49,49,0%,2,2,0%
125,I125,66,49,26%,2,2,0%
126,I126,2267,41,98%,2,2,0%
127,I127,1301,36,97%,2,2,0%
128,I128,1913,44,98%,3,3,0%
129,I129,720,46,94%,2,2,0%
130,I130,2962,49,98%,3,3,0%
131,I131,495,45,91%,2,2,0%
132,I132,13,13,0%,2,2,0%
133,I133,4,4,0%,2,2,0%
134,I134,2611,48,98%,2,2,0%
135,I135,1148,49,96%,2,2,0%
136,I136,1283,44,97%,3,3,0%
137,I137,1523,48,97%,3,3,0%
138,I138,502,50,90%,2,2,0%
139,I139,485,15,97%,2,2,0%
140,I140,1283,44,97%,3,3,0%
141,I141,1523,48,97%,3,3,0%
142,I142,106,50,53%,2,2,0%
143,I143,268,48,82%,3,3,0%
144,I144,47,47,0%,2,2,0%
145,I145,1233,49,96%,2,2,0%
146,I146,1423,32,98%,3,3,0%
147,I147,1176,16,99%,2,2,0%
148,I148,1222,42,97%,2,2,0%
149,I149,1800,50,97%,3,3,0%
150,I150,1226,49,96%,3,3,0%
151,I151,337,50,85%,2,2,0%
152,I152,365,50,86%,2,2,0%
153,I153,65,49,25%,2,2,0%
154,I154,1915,39,98%,3,3,0%
155,I155,1346,50,96%,3,3,0%
156,I156,10,10,0%,2,2,0%
157,I157,2,2,0%,2,2,0%
158,I158,2378,40,98%,2,2,0%
159,I159,1257,47,96%,2,2,0%
160,I160,822,26,97%,2,2,0%
161,I161,387,49,87%,3,3,0%
162,I162,90,50,44%,2,2,0%
163,I163,1012,50,95%,3,3,0%
164,I164,67,36,46%,2,2,0%
165,I165,2104,50,98%,2,2,0%
166,I166,1201,47,96%,2,2,0%
167,I167,1030,49,95%,2,2,0%
168,I168,490,46,91%,2,2,0%
169,I169,14,14,0%,2,2,0%
170,I170,35,35,0%,3,3,0%
171,I171,1505,49,97%,4,4,0%
172,I172,29,29,0%,3,3,0%
173,I173,4,4,0%,2,2,0%
174,I174,1908,46,98%,2,2,0%
175,I175,1267,48,96%,2,2,0%
176,I176,1800,50,97%,3,3,0%
177,I177,844,50,94%,2,2,0%
178,I178,1523,48,97%,3,3,0%
179,I179,359,50,86%,2,2,0%
180,I180,80,50,38%,2,2,0%
181,I181,1660,50,97%,3,3,0%
182,I182,22,22,0%,2,2,0%
183,I183,701,50,93%,3,3,0%
184,I184,607,49,92%,3,3,0%
185,I185,150,48,68%,2,2,0%
186,I186,49,49,0%,3,3,0%
187,I187,1772,50,97%,3,3,0%
188,I188,910,49,95%,3,3,0%
189,I189,5,5,0%,2,2,0%
190,I190,1233,49,96%,2,2,0%
191,I191,1792,32,98%,2,2,0%
192,I192,1943,49,97%,3,3,0%
193,I193,735,50,93%,2,2,0%
194,I194,300,31,90%,2,2,0%
195,I195,175,21,88%,2,2,0%
196,I196,1635,50,97%,4,4,0%
197,I197,466,49,89%,3,3,0%
198,I198,2104,50,98%,4,4,0%
199,I199,80,50,38%,2,2,0%
200,I200,1635,45,97%,3,3,0%
201,I201,2195,49,98%,3,3,0%
202,I202,161,50,69%,2,2,0%
203,I203,2329,49,98%,3,3,0%
204,I204,1112,49,96%,3,3,0%
205,I205,2740,50,98%,3,3,0%
206,I206,1587,50,97%,3,3,0%
207,I207,14,14,0%,2,2,0%
208,I208,4,4,0%,2,2,0%
209,I209,2267,41,98%,2,2,0%
210,I210,2321,50,98%,2,2,0%
211,I211,2971,50,98%,3,3,0%
212,I212,1005,50,95%,2,2,0%
213,I213,113,50,56%,2,2,0%
214,I214,2,2,0%,2,2,0%
215,I215,2753,50,98%,2,2,0%
216,I216,1768,24,99%,2,2,0%
217,I217,1823,50,97%,2,2,0%
218,I218,668,47,93%,2,2,0%
219,I219,2550,46,98%,3,3,0%
220,I220,2071,50,98%,3,3,0%
221,I221,285,49,83%,2,2,0%
222,I222,2090,38,98%,3,3,0%
223,I223,67,49,27%,2,2,0%
224,I224,37,37,0%,2,2,0%
225,I225,102,48,53%,3,3,0%
226,I226,82,42,49%,3,3,0%
227,I227,74,40,46%,3,3,0%
228,I228,14,14,0%,2,2,0%
229,I229,330,35,89%,3,3,0%
230,I230,69,50,28%,3,3,0%
231,I231,290,46,84%,3,3,0%
232,I232,4,4,0%,2,2,0%
233,I233,2306,38,98%,2,2,0%
234,I234,2165,49,98%,2,2,0%
235,I235,970,36,96%,2,2,0%
236,I236,1011,24,98%,2,2,0%
237,I237,1476,26,98%,3,3,0%
238,I238,65,49,25%,2,2,0%
239,I239,1259,41,97%,3,3,0%
240,I240,710,48,93%,3,3,0%
241,I241,546,48,91%,3,3,0%
242,I242,71,46,35%,2,2,0%
243,I243,1635,50,97%,3,3,0%
244,I244,237,50,79%,3,3,0%
245,I245,5,5,0%,2,2,0%
246,I246,2,2,0%,2,2,0%
247,I247,1476,24,98%,2,2,0%
248,I248,1917,50,97%,2,2,0%
249,I249,1007,50,95%,2,2,0%
250,I250,602,48,92%,3,3,0%
251,I251,283,49,83%,2,2,0%
252,I252,403,50,88%,3,3,0%
253,I253,936,50,95%,4,4,0%
254,I254,569,50,91%,3,3,0%
255,I255,162,48,70%,2,2,0%
256,I256,68,45,34%,2,2,0%
257,I257,2165,50,98%,3,3,0%
258,I258,2740,50,98%,3,3,0%
259,I259,2968,43,99%,3,3,0%
260,I260,4,4,0%,2,2,0%
261,I261,1772,50,97%,2,2,0%
262,I262,962,36,96%,2,2,0%
263,I263,648,49,92%,2,2,0%
264,I264,549,46,92%,3,3,0%
265,I265,1523,48,97%,3,3,0%
266,I266,1523,46,97%,3,3,0%
267,I267,235,50,79%,2,2,0%
268,I268,1423,30,98%,3,3,0%
269,I269,132,50,62%,2,2,0%
270,I270,549,46,92%,3,3,0%
271,I271,214,48,78%,3,3,0%
272,I272,1229,49,96%,3,3,0%
273,I273,17,17,0%,3,3,0%
274,I274,2,2,0%,2,2,0%
275,I275,2092,46,98%,2,2,0%
276,I276,981,50,95%,2,2,0%
277,I277,992,42,96%,2,2,0%
278,I278,2267,41,98%,3,3,0%
279,I279,760,47,94%,2,2,0%
280,I280,2457,49,98%,3,3,0%
281,I281,507,49,90%,3,3,0%
282,I282,1615,50,97%,3,3,0%
283,I283,264,48,82%,2,2,0%
284,I284,176,39,78%,2,2,0%
285,I285,1637,50,97%,2,2,0%
286,I286,2221,16,99%,2,2,0%
287,I287,1958,50,97%,3,3,0%
288,I288,1090,45,96%,2,2,0%
289,I289,1087,50,95%,2,2,0%
290,I290,1051,46,96%,3,3,0%
291,I291,639,47,93%,2,2,0%
292,I292,701,50,93%,2,2,0%
293,I293,196,50,74%,3,3,0%
294,I294,1623,50,97%,3,3,0%
295,I295,112,49,56%,2,2,0%
296,I296,12,12,0%,2,2,0%
297,I297,2398,50,98%,3,3,0%
298,I298,141,46,67%,3,3,0%
299,I299,12,12,0%,2,2,0%
300,I300,1863,50,97%,2,2,0%
301,I301,1798,50,97%,2,2,0%
302,I302,1007,46,95%,2,2,0%
303,I303,128,50,61%,2,2,0%
304,I304,2399,48,98%,4,4,0%
305,I305,131,49,63%,2,2,0%
306,I306,668,44,93%,4,4,0%
307,I307,18,18,0%,2,2,0%
308,I308,2750,48,98%,2,2,0%
309,I309,1758,50,97%,2,2,0%
310,I310,2750,49,98%,3,3,0%
311,I311,710,50,93%,2,2,0%
312,I312,2175,48,98%,3,3,0%
313,I313,161,27,83%,2,2,0%
314,I314,322,49,85%,3,3,0%
315,I315,40,40,0%,2,2,0%
316,I316,2448,46,98%,2,2,0%
317,I317,1768,24,99%,2,2,0%
318,I318,2239,41,98%,2,2,0%
319,I319,1074,48,96%,2,2,0%
320,I320,2221,19,99%,3,3,0%
321,I321,331,50,85%,2,2,0%
322,I322,1635,45,97%,3,3,0%
323,I323,2381,34,99%,3,3,0%
324,I324,209,50,76%,2,2,0%
325,I325,264,50,81%,3,3,0%
326,I326,2109,48,98%,3,3,0%
327,I327,1087,50,95%,3,3,0%
328,I328,32,32,0%,2,2,0%
329,I329,1283,42,97%,2,2,0%
330,I330,2092,46,98%,2,2,0%
331,I331,3262,49,98%,3,3,0%
332,I332,2070,50,98%,2,2,0%
333,I333,900,49,95%,2,2,0%
334,I334,1880,48,97%,3,3,0%
335,I335,428,49,89%,2,2,0%
336,I336,2227,33,99%,3,3,0%
