Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,MCO,LGA,19860.0,26745.0,6885,5085,1530,160,128,05:31 -> 07:25,0
T00,F01,C00,LGA,MSP,42393.0,49764.0,7371,5571,1638,160,128,11:46 -> 13:49,0
T00,F02,C00,MSP,DEN,72103.89902298129,77017.89902298129,4914,3114,1092,160,128,20:01 -> 21:23,1
T01,F03,C01,DCA,ORD,20940.0,25359.0,4419,2619,982,200,160,05:49 -> 07:02,0
T01,F04,C01,ORD,EWR,52119.0,57312.0,5193,3393,1154,200,160,14:28 -> 15:55,0
T01,F05,C01,EWR,ORD,62555.0,67748.0,5193,3393,1154,200,160,17:22 -> 18:49,0
T02,F06,C02,LAS,DFW,19860.0,27483.0,7623,5823,1694,200,160,05:31 -> 07:38,0
T02,F07,C02,DFW,ORD,29763.0,35568.0,5805,4005,1290,200,160,08:16 -> 09:52,0
T02,F08,C02,ORD,DFW,60218.0,66023.0,5805,4005,1290,200,160,16:43 -> 18:20,0
T03,F09,C03,DCA,DEN,19920.0,30580.0,10660,8860,2369,160,128,05:32 -> 08:29,0
T03,F10,C03,DEN,DFW,53475.49076845991,58119.49076845991,4644,2844,1032,160,128,14:51 -> 16:08,1
T03,F11,C04,DFW,DTW,55192.882303294275,62329.882303294275,7137,5337,1586,160,128,15:19 -> 17:18,1
T03,F12,C04,DTW,MCO,82836.0,89779.0,6943,5143,1543,160,128,23:00 -> 00:56 (+1),0
T04,F13,C05,MIA,JFK,20880.0,28786.0,7906,6106,1757,160,128,05:48 -> 07:59,0
T04,F14,C05,JFK,MIA,58680.0,66586.0,7906,6106,1757,160,128,16:18 -> 18:29,0
T05,F15,C06,ORD,ATL,20040.0,24432.0,4392,2592,976,120,96,05:34 -> 06:47,0
T05,F16,C06,ATL,ORD,55044.0,59436.0,4392,2592,976,120,96,15:17 -> 16:30,0
T05,F17,C01,ORD,PHL,79724.0,84620.0,4896,3096,1088,120,96,22:08 -> 23:30,0
T06,F18,C07,FLL,PHL,20460.0,27660.0,7200,5400,1600,200,160,05:41 -> 07:41,0
T06,F19,C07,PHL,ORD,46096.0,50992.0,4896,3096,1088,200,160,12:48 -> 14:09,0
T06,F20,C06,ORD,PHL,77808.0,82704.0,4896,3096,1088,200,160,21:36 -> 22:58,0
T06,F21,C01,PHL,ORD,87944.0,92840.0,4896,3096,1088,200,160,00:25 (+1) -> 01:47 (+1),0
T07,F22,C08,LGA,ATL,19920.0,25428.0,5508,3708,1224,200,160,05:32 -> 07:03,0
T07,F23,C08,ATL,BOS,47964.0,54808.0,6844,5044,1521,200,160,13:19 -> 15:13,0
T07,F24,C08,BOS,CLT,57347.0,62612.0,5265,3465,1170,200,160,15:55 -> 17:23,0
T08,F25,C09,LGA,DFW,19980.0,30019.0,10039,8239,2231,160,128,05:33 -> 08:20,0
T08,F26,C09,DFW,FLL,34280.0,42371.0,8091,6291,1798,160,128,09:31 -> 11:46,0
T08,F27,C10,FLL,DFW,64570.0,72661.0,8091,6291,1798,160,128,17:56 -> 20:11,0
T08,F28,C02,DFW,JFK,83357.0,93410.0,10053,8253,2234,160,128,23:09 -> 01:56 (+1),0
T09,F29,C11,LAS,MSP,19980.0,29371.0,9391,7591,2087,200,160,05:33 -> 08:09,0
T09,F30,C11,MSP,CLT,37149.0,43881.0,6732,4932,1496,200,160,10:19 -> 12:11,0
T09,F31,C12,CLT,MSP,63075.0,69807.0,6732,4932,1496,200,160,17:31 -> 19:23,0
T10,F32,C13,DCA,FLL,19800.0,26325.0,6525,4725,1450,200,160,05:30 -> 07:18,0
T10,F33,C09,FLL,ORD,61380.49474176732,69952.49474176732,8572,6772,1905,200,160,17:03 -> 19:25,1
T10,F34,C07,ORD,DFW,84637.0,90442.0,5805,4005,1290,200,160,23:30 -> 01:07 (+1),0
T11,F35,C14,CLT,MSP,20220.0,26952.0,6732,4932,1496,120,96,05:37 -> 07:29,0
T11,F36,C14,MSP,CLT,58691.0,65423.0,6732,4932,1496,120,96,16:18 -> 18:10,0
T11,F37,C08,CLT,BOS,81526.0,86791.0,5265,3465,1170,120,96,22:38 -> 00:06 (+1),0
T12,F38,C15,LGA,MCO,19800.0,26685.0,6885,5085,1530,200,160,05:30 -> 07:24,0
T12,F39,C15,MCO,CLT,39157.0,42554.0,3397,1597,755,200,160,10:52 -> 11:49,0
T12,F40,C11,CLT,DFW,50783.0,57546.0,6763,4963,1503,200,160,14:06 -> 15:59,0
T12,F41,C03,DFW,SFO,82551.0,93130.0,10579,8779,2351,200,160,22:55 -> 01:52 (+1),0
T13,F42,C16,DFW,ORD,20700.0,26505.0,5805,4005,1290,120,96,05:45 -> 07:21,0
T13,F43,C16,ORD,DFW,31087.0,36892.0,5805,4005,1290,120,96,08:38 -> 10:14,0
T13,F44,C11,DFW,BWI,65790.0,74583.0,8793,6993,1954,120,96,18:16 -> 20:43,0
T13,F45,C17,BWI,ATL,77773.0,81944.0,4171,2371,927,120,96,21:36 -> 22:45,0
