Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ORD,LAX,24420,37029,12609,6,4,06:47 -> 10:17,01:00,1
T00,F01,C00,LAX,ORD,45752,58361,12609,6,4,12:42 -> 16:12,,0
T00,F02,C01,ORD,ATL,80336,84728,4392,6,4,22:18 -> 23:32,,0
T01,F03,C02,ORD,ATL,20040,24432,4392,8,6,05:34 -> 06:47,,0
T01,F04,C02,ATL,ORD,46785,51177,4392,8,6,12:59 -> 14:12,,0
T01,F05,C00,ORD,ATL,73831,78223,4392,8,6,20:30 -> 21:43,01:00,1
T01,F06,C03,ATL,ORD,88172,92564,4392,8,4,00:29 (+1) -> 01:42 (+1),03:00,1
T02,F07,C04,ORD,LAX,20580,33189,12609,8,6,05:43 -> 09:13,,0
T02,F08,C04,LAX,ORD,44859,57468,12609,8,6,12:27 -> 15:57,,0
T02,F09,C02,ORD,LAX,61431,74040,12609,8,6,17:03 -> 20:34,,0
T03,F10,C05,LAX,ORD,20760,33369,12609,8,6,05:46 -> 09:16,,0
T03,F11,C05,ORD,ATL,47026,51418,4392,8,6,13:03 -> 14:16,,0
T03,F12,C06,ATL,ORD,80747,85139,4392,8,8,22:25 -> 23:38,02:00,1
