Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,ORD,ATL,20820,25212,4392,2592,976,6,4,05:47 -> 07:00,0
T00,F01,C00,ATL,ORD,37535,41927,4392,2592,976,6,4,10:25 -> 11:38,0
T00,F02,C00,ORD,ATL,63902,68294,4392,2592,976,6,4,17:45 -> 18:58,0
T00,F03,C00,ATL,ORD,74350,78742,4392,2592,976,6,4,20:39 -> 21:52,0
T01,F04,C01,ORD,ATL,20040,24432,4392,2592,976,6,4,05:34 -> 06:47,0
T01,F05,C01,ATL,ORD,46287,50679,4392,2592,976,6,4,12:51 -> 14:04,1
T01,F06,C01,ORD,LAX,65711,78320,12609,10809,2802,6,4,18:15 -> 21:45,0
T02,F07,C02,LAX,ORD,28080,40689,12609,10809,2802,8,6,07:48 -> 11:18,1
T02,F08,C02,ORD,LAX,54799,67408,12609,10809,2802,8,6,15:13 -> 18:43,0
T03,F09,C03,ORD,LAX,20460,33069,12609,10809,2802,8,6,05:41 -> 09:11,0
T03,F10,C03,LAX,ORD,47227,59836,12609,10809,2802,8,6,13:07 -> 16:37,1
T03,F11,C04,ORD,LAX,55072,67681,12609,10809,2802,8,6,15:17 -> 18:48,0
