Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,SFO,PHX,19860,24567,4707,2907,1046,160,128,05:31 -> 06:49
T00,F01,C00,PHX,ATL,40215,51685,11470,9670,2549,160,128,11:10 -> 14:21
T00,F02,C01,ATL,DFW,73436,78719,5283,3483,1174,160,128,20:23 -> 21:51
T01,F03,C02,PHX,SFO,20040,24747,4707,2907,1046,200,160,05:34 -> 06:52
T01,F04,C02,SFO,PHX,57287,61994,4707,2907,1046,200,160,15:54 -> 17:13
T01,F05,C02,PHX,DFW,67237,73505,6268,4468,1393,200,160,18:40 -> 20:25
T02,F06,C03,ATL,ORD,19920,24312,4392,2592,976,200,160,05:32 -> 06:45
T02,F07,C03,ORD,DEN,54321,60738,6417,4617,1426,200,160,15:05 -> 16:52
T03,F08,C04,LAX,DFW,20160,29083,8923,7123,1983,160,128,05:36 -> 08:04
T03,F09,C04,DFW,LAX,58357,67280,8923,7123,1983,160,128,16:12 -> 18:41
T04,F10,C05,LAS,DFW,20700,28323,7623,5823,1694,160,128,05:45 -> 07:52
T04,F11,C05,DFW,ATL,54287,59570,5283,3483,1174,160,128,15:04 -> 16:32
T04,F12,C00,ATL,DFW,81466,86749,5283,3483,1174,160,128,22:37 -> 00:05 (+1)
T05,F13,C06,ORD,JFK,19860,25201,5341,3541,1187,120,96,05:31 -> 07:00
T05,F14,C06,JFK,ORD,43298,48639,5341,3541,1187,120,96,12:01 -> 13:30
T05,F15,C06,ORD,SFO,76349,89682,13333,11533,2963,120,96,21:12 -> 00:54 (+1)
T06,F16,C07,LAS,SFO,20220,23208,2988,1188,664,160,128,05:37 -> 06:26
T06,F17,C07,SFO,LAS,45179,48167,2988,1188,664,160,128,12:32 -> 13:22
T06,F18,C07,LAS,SFO,72547,75535,2988,1188,664,160,128,20:09 -> 20:58
T07,F19,C08,LAX,DFW,20700,29623,8923,7123,1983,200,160,05:45 -> 08:13
T07,F20,C08,DFW,LAX,37933,46856,8923,7123,1983,200,160,10:32 -> 13:00
T07,F21,C04,LAX,DFW,72778,81701,8923,7123,1983,200,160,20:12 -> 22:41
T08,F22,C09,DFW,DEN,19860,24504,4644,2844,1032,120,96,05:31 -> 06:48
T08,F23,C09,DEN,PHX,58332,62688,4356,2556,968,120,96,16:12 -> 17:24
T08,F24,C09,PHX,DEN,70935,75291,4356,2556,968,120,96,19:42 -> 20:54
T08,F25,C03,DEN,ORD,81059,87476,6417,4617,1426,120,96,22:30 -> 00:17 (+1)
T09,F26,C10,ATL,LAS,20820,33438,12618,10818,2804,200,160,05:47 -> 09:17
T09,F27,C10,LAS,ATL,44127,56745,12618,10818,2804,200,160,12:15 -> 15:45
T09,F28,C05,ATL,PHX,80669,92139,11470,9670,2549,200,160,22:24 -> 01:35 (+1)
T10,F29,C11,CLT,PHX,20880,33696,12816,11016,2848,160,128,05:48 -> 09:21
T10,F30,C11,PHX,CLT,68551,81367,12816,11016,2848,160,128,19:02 -> 22:36
T11,F31,C12,ATL,DEN,20700,29367,8667,6867,1926,120,96,05:45 -> 08:09
T11,F32,C12,DEN,DFW,61085,65729,4644,2844,1032,120,96,16:58 -> 18:15
T12,F33,C13,ATL,ORD,20640,25032,4392,2592,976,200,160,05:44 -> 06:57
T12,F34,C13,ORD,ATL,28394,32786,4392,2592,976,200,160,07:53 -> 09:06
T12,F35,C13,ATL,ORD,42798,47190,4392,2592,976,200,160,11:53 -> 13:06
T12,F36,C13,ORD,SFO,58835,72168,13333,11533,2963,200,160,16:20 -> 20:02
T13,F37,C14,DEN,DFW,20100,24744,4644,2844,1032,120,96,05:35 -> 06:52
T13,F38,C14,DFW,DEN,39493,44137,4644,2844,1032,120,96,10:58 -> 12:15
