Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,SFO,PHX,19860,24567,24
I01,F01,PHX,ATL,40215,51685,32
I02,F02,ATL,DFW,73436,78719,82
I03,F03,PHX,SFO,20040,24747,47
I04,F04,SFO,PHX,57287,61994,97
I05,F00-F05,SFO,DFW,19860,73505,63
I06,F05,PHX,DFW,67237,73505,56
I07,F06,ATL,ORD,19920,24312,3
I08,F07,ORD,DEN,54321,60738,58
I09,F08,LAX,DFW,20160,29083,54
I10,F09,DFW,LAX,58357,67280,47
I11,F10,LAS,DFW,20700,28323,4
I12,F10-F11,LAS,ATL,20700,59570,53
I13,F11,DFW,ATL,54287,59570,29
I14,F12,ATL,DFW,81466,86749,128
I15,F13,ORD,JFK,19860,25201,2
I16,F14,JFK,ORD,43298,48639,20
I17,F14-F15,JFK,SFO,43298,89682,46
I18,F15,ORD,SFO,76349,89682,50
I19,F16,LAS,SFO,20220,23208,74
I20,F17,SFO,LAS,45179,48167,19
I21,F18,LAS,SFO,72547,75535,128
I22,F19,LAX,DFW,20700,29623,7
I23,F20,DFW,LAX,37933,46856,107
I24,F21,LAX,DFW,72778,81701,100
I25,F22,DFW,DEN,19860,24504,11
I26,F23,DEN,PHX,58332,62688,50
I27,F24,PHX,DEN,70935,75291,64
I28,F22-F25,DFW,ORD,19860,87476,42
I29,F25,DEN,ORD,81059,87476,54
I30,F26,ATL,LAS,20820,33438,84
I31,F27,LAS,ATL,44127,56745,47
I32,F28,ATL,PHX,80669,92139,160
I33,F29,CLT,PHX,20880,33696,54
I34,F30,PHX,CLT,68551,81367,75
I35,F31,ATL,DEN,20700,29367,34
I36,F32,DEN,DFW,61085,65729,66
I37,F33,ATL,ORD,20640,25032,4
I38,F34,ORD,ATL,28394,32786,27
I39,F35,ATL,ORD,42798,47190,54
I40,F36,ORD,SFO,58835,72168,160
I41,F37,DEN,DFW,20100,24744,3
I42,F38,DFW,DEN,39493,44137,39
I43,F39,DEN,PHX,60240,64596,96
I44,F04-F40,SFO,DFW,57287,90707,63
I45,F40,PHX,DFW,84439,90707,33
I46,F41,LAX,ORD,20040,32649,11
I47,F42,ORD,DFW,57654,63459,160
I48,F10-F43,LAS,ATL,20700,74608,24
I49,F19-F43,LAX,ATL,20700,74608,60
I50,F43,DFW,ATL,69325,74608,76
I51,F44,DEN,CLT,19980,29646,32
I52,F45,CLT,DEN,32081,41747,96
I53,F07-F46,ORD,ATL,54321,75504,77
I54,F46,DEN,ATL,66837,75504,48
I55,F47,SFO,DFW,20460,31039,23
I56,F48,DFW,SFO,45683,56262,160
I57,F49,SFO,DFW,61266,71845,160
I58,F50,JFK,CLT,19980,23895,33
I59,F51,CLT,JFK,27345,31260,21
I60,F52,JFK,CLT,50948,54863,66
I61,F44-F53,DEN,DFW,19980,74661,63
I62,F53,CLT,DFW,67898,74661,33
I63,F54,DEN,DFW,20040,24684,14
I64,F55,DFW,DEN,39328,43972,88
I65,F56,DEN,LAS,46040,50580,128
I66,F57,LAS,ATL,64976,77594,128
I67,F58,ATL,JFK,20760,26259,7
I68,F58-F59,ATL,CLT,20760,36040,54
I69,F59,JFK,CLT,32125,36040,106
I70,F60,CLT,JFK,42845,46760,44
I71,F13-F61,ORD,CLT,19860,71161,47
I72,F61,JFK,CLT,67246,71161,113
I73,F44-F62,DEN,JFK,19980,90758,35
I74,F62,CLT,JFK,86843,90758,125
I75,F63,LAS,ATL,20940,33558,3
I76,F63-F64,LAS,ORD,20940,63881,40
I77,F64,ATL,ORD,59489,63881,17
I78,F41-F65,LAX,DFW,20040,76817,50
I79,F65,ORD,DFW,71012,76817,46
I80,F66,CLT,JFK,20460,24375,34
I81,F66-F67,CLT,ORD,20460,48699,22
I82,F67,JFK,ORD,43358,48699,18
I83,F68,ORD,JFK,81476,86817,96
I84,F69,ATL,DFW,20100,25383,24
I85,F54-F70,DEN,ORD,20040,44365,44
I86,F70,DFW,ORD,38560,44365,4
I87,F41-F71,LAX,ATL,20040,61980,30
I88,F71,ORD,ATL,57588,61980,12
I89,F72,ATL,ORD,64983,69375,10
I90,F70-F73,DFW,JFK,38560,87593,49
I91,F72-F73,ATL,JFK,64983,87593,70
I92,F73,ORD,JFK,82252,87593,41
I93,F74,JFK,ATL,19980,25479,7
I94,F75,ATL,ORD,33747,38139,41
I95,F14-F76,JFK,DEN,43298,61933,19
I96,F33-F76,ATL,DEN,20640,61933,78
I97,F76,ORD,DEN,55516,61933,12
I98,F77,ORD,ATL,20580,24972,43
I99,F78,ATL,ORD,29645,34037,14
I100,F41-F79,LAX,ATL,20040,54427,29
I101,F79,ORD,ATL,50035,54427,14
I102,F80,ATL,ORD,73211,77603,96
I103,F81,LAX,DFW,20940,29863,49
I104,F69-F82,ATL,LAS,20100,46289,53
I105,F82,DFW,LAS,38666,46289,75
I106,F17-F83,SFO,ATL,45179,72487,47
I107,F83,LAS,ATL,59869,72487,48
I108,F84,PHX,DFW,19920,26188,8
I109,F85,DFW,LAS,33336,40959,42
I110,F86,LAS,DFW,43461,51084,7
I111,F54-F87,DEN,ATL,20040,72538,26
I112,F87,DFW,ATL,67255,72538,38
I113,F34-F88,ORD,DFW,28394,90587,73
I114,F88,ATL,DFW,85304,90587,23
I115,F89,JFK,DEN,19800,31540,34
I116,F31-F90,ATL,JFK,20700,60880,34
I117,F90,DEN,JFK,49140,60880,32
I118,F91,JFK,ATL,65845,71344,54
I119,F92,LAS,DEN,20880,25420,15
I120,F93,DEN,ATL,52752,61419,128
I121,F11-F94,DFW,DEN,54287,75927,26
I122,F71-F94,ORD,DEN,57588,75927,46
I123,F77-F94,ORD,DEN,20580,75927,34
I124,F94,ATL,DEN,67260,75927,22
I125,F95,DEN,ATL,82440,91107,128
I126,F96,CLT,DFW,19860,26623,2
I127,F19-F97,LAX,LAS,20700,48200,43
I128,F97,DFW,LAS,40577,48200,53
I129,F17-F98,SFO,DFW,45179,79523,26
I130,F98,LAS,DFW,71900,79523,36
I131,F99,SFO,PHX,21000,25707,12
I132,F29-F100,CLT,DFW,20880,49072,33
I133,F100,PHX,DFW,42804,49072,33
I134,F47-F101,SFO,LAX,20460,73094,66
I135,F101,DFW,LAX,64171,73094,13
I136,F101-F102,DFW,ORD,64171,93432,22
I137,F102,LAX,ORD,80823,93432,106
I138,F103,LAS,DFW,20580,28203,41
I139,F96-F104,CLT,LAS,19860,61706,36
I140,F104,DFW,LAS,54083,61706,124
I141,F17-F105,SFO,DFW,45179,82740,25
I142,F105,LAS,DFW,75117,82740,135
I143,F106,DFW,ATL,20460,25743,9
I144,F107,ATL,PHX,39367,50837,53
I145,F108,LAS,DFW,19920,27543,67
I146,F96-F109,CLT,LAX,19860,53252,20
I147,F109,DFW,LAX,44329,53252,49
I148,F09-F110,DFW,ORD,58357,86779,44
I149,F110,LAX,ORD,74170,86779,84
