Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,4,JFK,ATL,19920.0,25419.0,0.0,0.0,05:32 -> 07:03
I01,I01,F01,F01,4,ATL,JFK,42591.0,48090.0,0.0,0.0,11:49 -> 13:21
I02,I02,F02,F02,4,JFK,ATL,53099.0,58598.0,0.0,0.0,14:44 -> 16:16
I03,I03,F03,F03,4,DFW,ORD,20280.0,26085.0,0.0,0.0,05:38 -> 07:14
I04,I04,F04,F04,4,ORD,LAX,60213.0,72822.0,0.0,0.0,16:43 -> 20:13
I05,I05,F05,F05,4,DFW,ATL,30600.0,35883.0,10800.0,737.4,08:30 -> 09:58
I06,I06,F06,F06,4,ATL,ORD,59002.0,63394.0,0.0,0.0,16:23 -> 17:36
I07,I07,F07,F07,4,LAX,DFW,21000.0,29923.0,0.0,0.0,05:50 -> 08:18
I08,I08,F08,F08,4,DFW,ATL,35857.0,41140.0,0.0,0.0,09:57 -> 11:25
I09,I09,F09,F09,4,ATL,JFK,74966.0,80465.0,0.0,0.0,20:49 -> 22:21
I10,I10,F10,F10,4,JFK,DFW,19860.0,29913.0,0.0,0.0,05:31 -> 08:18
I11,I11,F10-F11,F10-F11,2,JFK,LAX,19860.0,61662.0,7200.0,245.8,05:31 -> 17:07
I12,I12,F11,F11,4,DFW,LAX,52739.0,61662.0,7200.0,491.6,14:38 -> 17:07
I13,I13,F12,F12,6,LAX,DFW,81508.0,90431.0,0.0,0.0,22:38 -> 01:07 (+1)
I14,I14,F13,F13,6,ORD,ATL,20700.0,25092.0,0.0,0.0,05:45 -> 06:58
I15,I15,F14,F14,6,ATL,DFW,37443.0,42726.0,0.0,0.0,10:24 -> 11:52
I16,I16,F15,F15,6,DFW,ATL,50291.0,55574.0,0.0,0.0,13:58 -> 15:26
