Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ORD,ATL,24420,28812,4392,6,0,06:47 -> 08:00,01:00,1
T00,F01,C00,ATL,ORD,37535,41927,4392,6,4,10:25 -> 11:38,,0
T00,F02,C00,ORD,ATL,63902,68294,4392,6,4,17:45 -> 18:58,,0
T00,F03,C00,ATL,ORD,74350,78742,4392,6,4,20:39 -> 21:52,,0
T01,F09,C03,ORD,LAX,20460,33069,12609,6,6,05:41 -> 09:11,,0
T01,F10,C03,LAX,ORD,43627,56236,12609,6,6,12:07 -> 15:37,01:00,1
T01,F06,C04,ORD,LAX,65711,78320,12609,6,4,18:15 -> 21:45,,0
T02,F07,C02,LAX,ORD,20880,33489,12609,8,6,05:48 -> 09:18,,0
T02,F08,C01,ORD,LAX,54799,67408,12609,8,6,15:13 -> 18:43,,0
T03,F04,C01,ORD,ATL,20820,25212,4392,8,8,05:47 -> 07:00,00:13,2
T03,F05,C01,ATL,ORD,46287,50679,4392,8,4,12:51 -> 14:04,01:00,1
T03,F11,C02,ORD,LAX,55072,67681,12609,8,6,15:17 -> 18:48,,0
