index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,ATL,24420.0,28812.0,4392.0,2591.999999509744,976,6,0,06:47 -> 08:00,01:00,1
1,T00,F01,C00,ATL,ORD,37535.0,41927.0,4392.0,2591.9999994496025,976,6,4,10:25 -> 11:38,,0
2,T00,F02,C00,ORD,ATL,63902.0,68294.0,4392.0,2592.0,976,6,4,17:45 -> 18:58,,0
3,T00,F03,C00,ATL,ORD,74350.0,78742.0,4392.0,2592.0,976,6,4,20:39 -> 21:52,,0
4,T01,F09,C03,ORD,LAX,20460.0,33069.0,12609.0,10809.00000308457,2802,6,6,05:41 -> 09:11,,0
5,T01,F10,C03,LAX,ORD,43627.0,56236.0,12609.0,10809.000005399437,2802,6,6,12:07 -> 15:37,01:00,1
6,T01,F06,C01,ORD,LAX,65711.0,78320.0,12609.0,10809.000005509559,2802,6,4,18:15 -> 21:45,,0
7,T02,F07,C02,LAX,ORD,20880.0,33489.0,12609.0,10808.999996676155,2802,8,6,05:48 -> 09:18,,0
8,T02,F08,C02,ORD,LAX,54799.0,67408.0,12609.0,10809.000007320547,2802,8,6,15:13 -> 18:43,,0
9,T03,F04,C01,ORD,ATL,20820.0,25212.0,4392.0,2591.9999994152336,976,8,8,05:47 -> 07:00,00:13,2
10,T03,F05,C01,ATL,ORD,46287.0,50679.0,4392.0,2591.999999448018,976,8,4,12:51 -> 14:04,01:00,1
11,T03,F11,C04,ORD,LAX,55072.0,67681.0,12609.0,10808.99991256308,2802,8,6,15:17 -> 18:48,,0
