Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F06,C03,DFW,ATL,20640.0,25923.0,5283.0,160,160,05:44 -> 07:12,,0
T00,F14,C03,ATL,DFW,43286.0,48569.0,5283.0,160,128,12:01 -> 13:29,,0
T00,F08,C03,DFW,ORD,75976.0,81781.0,5805.0,160,160,21:06 -> 22:43,,0
T00,F03,C01,ORD,ATL,83581.0,87973.0,4392.0,160,128,23:13 -> 00:26 (+1),00:04,2
T01,F04,C02,ORD,LAX,19980.0,32589.0,12609.0,120,96,05:33 -> 09:03,,0
T01,F05,C02,LAX,ORD,57781.0,70390.0,12609.0,120,96,16:03 -> 19:33,,0
T02,F00,C00,DFW,ORD,19860.0,25665.0,5805.0,200,128,05:31 -> 07:07,,0
T02,F01,C00,ORD,ATL,41313.0,45705.0,4392.0,200,200,11:28 -> 12:41,,0
T02,F02,C00,ATL,ORD,67456.0,71848.0,4392.0,200,128,18:44 -> 19:57,,0
T03,F09,C04,ATL,DFW,20160.0,25443.0,5283.0,160,128,05:36 -> 07:04,,0
T03,F10,C04,DFW,ATL,54717.0,60000.0,5283.0,160,128,15:11 -> 16:40,,0
T03,F11,C04,ATL,DFW,80370.0,85653.0,5283.0,160,128,22:19 -> 23:47,,0
T04,F12,C05,ATL,ORD,20820.0,25212.0,4392.0,160,128,05:47 -> 07:00,,0
T04,F13,C05,ORD,ATL,47610.261192770515,52002.261192770515,4392.0,160,56,13:13 -> 14:26,03:47,1
T04,F07,C05,ATL,DFW,55254.0,60537.0,5283.0,160,160,15:20 -> 16:48,,0
T04,F15,C05,DFW,ATL,62337.0,67620.0,5283.0,160,128,17:18 -> 18:47,01:34,2
