entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
C00,12,12,0%,14,14,0%,4,4,0%
C01,5,5,0%,4,4,0%,4,4,0%
C02,29,29,0%,45,45,0%,4,4,0%
C03,25,25,0%,34,34,0%,5,5,0%
C04,7,7,0%,9,9,0%,4,4,0%
C05,41,41,0%,70,70,0%,4,4,0%
C06,10,10,0%,11,11,0%,5,5,0%
C07,24,24,0%,42,42,0%,5,5,0%
C08,6,6,0%,6,6,0%,5,5,0%
C09,6,6,0%,6,6,0%,5,5,0%
C10,50,43,14%,90,72,20%,5,5,0%
C11,35,35,0%,61,61,0%,5,5,0%
C12,5,5,0%,4,4,0%,4,4,0%
C13,10,10,0%,13,13,0%,5,5,0%
C14,20,20,0%,32,32,0%,7,7,0%
C15,11,11,0%,18,18,0%,5,5,0%
C16,9,9,0%,11,11,0%,4,4,0%
C17,11,11,0%,15,15,0%,2,2,0%
C18,24,24,0%,35,35,0%,6,6,0%
C19,16,16,0%,23,23,0%,7,7,0%
C20,11,11,0%,12,12,0%,5,5,0%
C21,31,31,0%,46,46,0%,6,6,0%
C22,39,36,8%,76,69,9%,5,5,0%
C23,39,36,8%,76,69,9%,5,5,0%
C24,9,9,0%,11,11,0%,4,4,0%
C25,39,39,0%,62,62,0%,4,4,0%
C26,50,39,22%,101,63,38%,5,5,0%
C27,7,7,0%,8,8,0%,5,5,0%
C28,12,12,0%,17,17,0%,4,4,0%
C29,26,26,0%,43,43,0%,5,5,0%
C30,6,6,0%,5,5,0%,5,5,0%
C31,3,3,0%,2,2,0%,2,2,0%
C32,7,7,0%,8,8,0%,4,4,0%
C33,42,31,26%,92,60,35%,7,7,0%
C34,16,16,0%,22,22,0%,6,6,0%
C35,8,8,0%,10,10,0%,5,5,0%
C36,15,15,0%,21,21,0%,2,2,0%
C37,8,8,0%,9,9,0%,6,6,0%
C38,15,15,0%,20,20,0%,5,5,0%
C39,11,11,0%,14,14,0%,5,5,0%
C40,6,6,0%,6,6,0%,5,5,0%
C41,9,9,0%,10,10,0%,5,5,0%
C42,50,40,20%,101,72,29%,6,6,0%
C43,12,12,0%,15,15,0%,6,6,0%
C44,24,24,0%,34,34,0%,5,5,0%
C45,5,5,0%,4,4,0%,4,4,0%
C46,60,30,50%,119,46,61%,4,4,0%
C47,5,5,0%,5,5,0%,4,4,0%
C48,16,16,0%,22,22,0%,5,5,0%
C49,8,8,0%,9,9,0%,4,4,0%
C50,6,6,0%,6,6,0%,5,5,0%
C51,7,7,0%,7,7,0%,4,4,0%
C52,38,38,0%,69,69,0%,4,4,0%
C53,5,5,0%,4,4,0%,4,4,0%
C54,34,34,0%,66,66,0%,6,6,0%
C55,6,6,0%,7,7,0%,5,5,0%
C56,14,14,0%,18,18,0%,4,4,0%
C57,64,43,33%,136,74,46%,5,5,0%
C58,9,9,0%,11,11,0%,4,4,0%
C59,5,5,0%,4,4,0%,4,4,0%
C60,12,12,0%,15,15,0%,5,5,0%
C61,5,5,0%,5,5,0%,4,4,0%
C62,15,15,0%,21,21,0%,5,5,0%
C63,7,7,0%,8,8,0%,4,4,0%
C64,17,17,0%,23,23,0%,5,5,0%
C65,17,17,0%,27,27,0%,5,5,0%
C66,38,38,0%,69,69,0%,4,4,0%
C67,9,9,0%,11,11,0%,4,4,0%
C68,18,18,0%,28,28,0%,4,4,0%
C69,6,6,0%,6,6,0%,5,5,0%
C70,15,15,0%,21,21,0%,4,4,0%
C71,17,17,0%,21,21,0%,5,5,0%
C72,26,26,0%,46,46,0%,4,4,0%
C73,40,40,0%,69,69,0%,4,4,0%
C74,9,9,0%,10,10,0%,4,4,0%
C75,6,6,0%,6,6,0%,5,5,0%
C76,8,8,0%,10,10,0%,4,4,0%
C77,17,17,0%,24,24,0%,4,4,0%
C78,5,5,0%,6,6,0%,4,4,0%
C79,74,39,47%,165,67,59%,5,5,0%
C80,6,6,0%,8,8,0%,5,5,0%
C81,21,21,0%,30,30,0%,4,4,0%
C82,17,17,0%,21,21,0%,6,6,0%
